
[00:00:00.000 --> 00:00:05.200]  各位大型節目的各位朋友你們好
[00:00:05.200 --> 00:00:08.080]  歡迎大家參加我們三藩市報道會
[00:00:08.080 --> 00:00:10.080]  網上的午堂崇拜
[00:00:10.080 --> 00:00:13.600]  今天我們繼續思想約翰福音的信息
[00:00:13.600 --> 00:00:15.920]  我們來到約翰福音第十六章
[00:00:15.920 --> 00:00:17.920]  十二節至十五節
[00:00:17.920 --> 00:00:21.360]  題目叫做啟示與真理
[00:00:21.360 --> 00:00:24.080]  在開始思想這條聖經之前
[00:00:24.080 --> 00:00:26.480]  請我們同心低頭或同禱告
[00:00:26.480 --> 00:00:29.440]  慈悲讓我天父的滿心感謝你
[00:00:29.440 --> 00:00:34.080]  你藉著聖經向我們啟示
[00:00:34.080 --> 00:00:38.240]  你自己的創造和你的救贖
[00:00:38.240 --> 00:00:42.000]  你更加拆顯聖靈在我們心裏
[00:00:42.000 --> 00:00:44.000]  引導我們進入真理
[00:00:44.000 --> 00:00:47.840]  求聖靈在我們個人心裏動功
[00:00:47.840 --> 00:00:51.040]  藉著你的話語去提醒、勸勉、教導
[00:00:51.040 --> 00:00:53.040]  安慰、督責我們
[00:00:53.040 --> 00:00:54.560]  我們這樣禱告
[00:00:54.560 --> 00:00:56.080]  是奉耶穌基督的名求
[00:00:56.480 --> 00:01:01.200]  葡萄園教會是一個靈恩派的教會
[00:01:01.200 --> 00:01:04.080]  創始人叫John Wimber
[00:01:04.080 --> 00:01:06.640]  他開始這個教會的時候
[00:01:06.640 --> 00:01:08.880]  是一個非常有趣的經歷
[00:01:08.880 --> 00:01:10.880]  在1978年
[00:01:10.880 --> 00:01:15.280]  在Uberlinda的Calvary Chapel教會裏面
[00:01:15.280 --> 00:01:16.320]  是一個牧會
[00:01:16.320 --> 00:01:19.760]  到了1981年母親節那天
[00:01:19.760 --> 00:01:23.280]  他們教會請了一個年輕的牧師來正道
[00:01:23.280 --> 00:01:26.320]  誰知這個牧師一上台
[00:01:26.320 --> 00:01:28.720]  就大聲地說出方言來
[00:01:28.720 --> 00:01:32.480]  台下的人竟然一邊應聲起舞
[00:01:32.480 --> 00:01:33.840]  一邊說方言
[00:01:33.840 --> 00:01:35.840]  一邊大聲呼喊
[00:01:35.840 --> 00:01:39.120]  用John Wimber他自己的話
[00:01:39.120 --> 00:01:42.080]  那時看上去就像戰場一樣
[00:01:42.080 --> 00:01:44.720]  很多人躺在地上滾來滾去
[00:01:44.720 --> 00:01:47.760]  好像很緊張很刺激那樣
[00:01:47.760 --> 00:01:50.160]  很不習慣
[00:01:50.160 --> 00:01:51.680]  很不舒服
[00:01:51.680 --> 00:01:54.880]  但見到會友很投入
[00:01:54.880 --> 00:01:57.440]  連他自己的太太也是一樣
[00:01:57.440 --> 00:01:59.920]  她當時是做私琴的
[00:01:59.920 --> 00:02:01.440]  她不知道在做什麼
[00:02:01.440 --> 00:02:05.920]  於是就繼續用猛烈的彈琴去作興
[00:02:05.920 --> 00:02:07.840]  過了一晚
[00:02:07.840 --> 00:02:09.840]  她沒辦法入睡
[00:02:09.840 --> 00:02:13.040]  整晚希望讀聖經
[00:02:13.040 --> 00:02:14.880]  從聖經裏面找到答案
[00:02:14.880 --> 00:02:17.920]  究竟這些是聖靈的工作還是邪靈的工作
[00:02:17.920 --> 00:02:20.800]  但看來看去都得不到答案
[00:02:20.800 --> 00:02:23.680]  到早上五點左右
[00:02:23.680 --> 00:02:25.680]  她已經筋疲力倦
[00:02:25.680 --> 00:02:27.680]  非常苦惱
[00:02:27.680 --> 00:02:29.680]  突然在這時候電話響了
[00:02:29.680 --> 00:02:32.960]  對方有一個陌生的男子
[00:02:32.960 --> 00:02:34.720]  只說了一句話
[00:02:34.720 --> 00:02:35.680]  是我
[00:02:35.680 --> 00:02:37.680]  就斷了線
[00:02:37.680 --> 00:02:40.000]  John Wimber覺得這個電話很古怪
[00:02:40.000 --> 00:02:43.200]  但他肯定這個是神打給他的
[00:02:43.200 --> 00:02:45.200]  向他特別的啟示
[00:02:45.200 --> 00:02:47.680]  證明這個是聖靈的工作
[00:02:47.680 --> 00:02:49.680]  是神打電話給他
[00:02:49.680 --> 00:02:51.680]  作為一個啟示
[00:02:51.680 --> 00:02:53.680]  就因為這個緣故
[00:02:53.680 --> 00:02:56.720]  他就開始了第三波的靈因運動
[00:02:56.720 --> 00:02:58.720]  開創了葡萄園教會
[00:02:58.720 --> 00:03:01.680]  我看完這個故事之後
[00:03:01.680 --> 00:03:03.680]  我不禁會問
[00:03:03.680 --> 00:03:05.680]  把整個信仰
[00:03:05.680 --> 00:03:10.720]  建基在一個這麼古怪的經歷裏面
[00:03:10.720 --> 00:03:12.720]  是不是太過牙醫呢
[00:03:12.720 --> 00:03:14.720]  這個不是我作出來的故事
[00:03:14.720 --> 00:03:16.720]  如果大家有機會可以看看
[00:03:16.720 --> 00:03:18.720]  John Wimber寫的書
[00:03:18.720 --> 00:03:20.720]  Power Encounter
[00:03:20.720 --> 00:03:22.720]  他親自所作的見證
[00:03:22.720 --> 00:03:24.720]  同葡萄園
[00:03:24.720 --> 00:03:26.720]  同一個信仰
[00:03:26.720 --> 00:03:28.720]  有密切關係的有所謂
[00:03:28.720 --> 00:03:30.720]  Kansas City的先知
[00:03:30.720 --> 00:03:32.720]  在1984年
[00:03:32.720 --> 00:03:34.720]  有一個叫Mike Bickel的人創立的
[00:03:34.720 --> 00:03:36.720]  除了Mike Bickel之外
[00:03:36.720 --> 00:03:38.720]  還有Paul King
[00:03:38.720 --> 00:03:40.720]  John Paul Jackson
[00:03:40.720 --> 00:03:42.720]  Bob Jones
[00:03:42.720 --> 00:03:44.720]  通常這些人稱為Kansas City Prophet
[00:03:44.720 --> 00:03:48.720]  在1990年加入了葡萄園的組織
[00:03:48.720 --> 00:03:50.720]  他們每個人都以為自己是先知
[00:03:50.720 --> 00:03:52.720]  神對他們有特別的啟示
[00:03:52.720 --> 00:03:54.720]  即是他們所說的東西
[00:03:54.720 --> 00:03:56.720]  他們所說的語言
[00:03:56.720 --> 00:03:58.720]  就是神的話語
[00:03:58.720 --> 00:04:00.720]  其中有些很古靈精怪
[00:04:00.720 --> 00:04:02.720]  比方來說
[00:04:02.720 --> 00:04:06.720]  如果你想分辨哪些是真正的聖靈的工作
[00:04:06.720 --> 00:04:08.720]  哪些是假的邪靈的工作
[00:04:08.720 --> 00:04:10.720]  你只要吃牛肉就能分辨出來
[00:04:10.720 --> 00:04:16.720]  吃牛肉可以分辨真假聖靈?
[00:04:16.720 --> 00:04:18.720]  而這些所謂的先知
[00:04:18.720 --> 00:04:20.720]  大多數都沒有受過神學訓練
[00:04:20.720 --> 00:04:22.720]  Vera的發言人Jack Deer
[00:04:22.720 --> 00:04:26.720]  曾經在Dallas神樂院教書
[00:04:26.720 --> 00:04:28.720]  他公開的說法
[00:04:28.720 --> 00:04:30.720]  這些先知所說的有些古怪
[00:04:30.720 --> 00:04:32.720]  但不等於他們所說的不是真的
[00:04:32.720 --> 00:04:36.720]  我想到其中一個叫Paul King的人
[00:04:36.720 --> 00:04:38.720]  他的故事更加古怪
[00:04:38.720 --> 00:04:42.720]  他母親在44歲時患上癌症
[00:04:42.720 --> 00:04:44.720]  有一天有天使向他啟示
[00:04:44.720 --> 00:04:46.720]  你不用怕
[00:04:46.720 --> 00:04:48.720]  你的病不止於死
[00:04:48.720 --> 00:04:50.720]  而且你還會懷孕生子
[00:04:50.720 --> 00:04:52.720]  當你生了兒子時
[00:04:52.720 --> 00:04:54.720]  就改名叫Paul
[00:04:54.720 --> 00:04:56.720]  他就像是士多保羅一樣
[00:04:56.720 --> 00:05:00.720]  他母親聽到這個啟示
[00:05:00.720 --> 00:05:04.720]  果然之間他的病就康復了
[00:05:04.720 --> 00:05:06.720]  又生了一個嬰兒
[00:05:06.720 --> 00:05:08.720]  所以就生了Paul King
[00:05:08.720 --> 00:05:10.720]  他一直活到60歲
[00:05:10.720 --> 00:05:14.720]  而Paul King本人屢次從天使口中得到特別啟示
[00:05:14.720 --> 00:05:16.720]  在1950年的時候
[00:05:16.720 --> 00:05:18.720]  有天使對他說
[00:05:18.720 --> 00:05:20.720]  喂 上帝說
[00:05:20.720 --> 00:05:24.720]  祂妒忌你這個美妻
[00:05:24.720 --> 00:05:28.720]  祂吩咐你跟她斷絕來往
[00:05:28.720 --> 00:05:32.720]  因為上帝覺得你太太很美
[00:05:32.720 --> 00:05:37.720]  他就決定跟每個美妻分手
