
[00:00:00.000 --> 00:00:03.760]  第十六至二十節
[00:00:03.760 --> 00:00:07.640]  我們可以打出剛才的聖經
[00:00:07.640 --> 00:00:10.840]  大家可以一起再讀一次
[00:00:10.840 --> 00:00:14.760]  這段聖經所記載主耶穌所說的話
[00:00:14.760 --> 00:00:19.760]  記載在馬太福音第十章十六至二十節
[00:00:19.760 --> 00:00:21.560]  找到的時候我們一起讀
[00:00:21.560 --> 00:00:22.560]  請讀
[00:00:22.560 --> 00:00:27.680]  我猜你們去如同羊進入狼群
[00:00:27.680 --> 00:00:33.280]  所以你們要靈巧像蛇,純良像甲子
[00:00:33.280 --> 00:00:35.360]  你們要防備人
[00:00:35.360 --> 00:00:39.000]  因為他們要把你們交給公會
[00:00:39.000 --> 00:00:42.080]  也要在會堂裡邊打你們
[00:00:42.080 --> 00:00:44.640]  並且你們要為我的緣故
[00:00:44.640 --> 00:00:47.760]  被送到諸侯君王面前
[00:00:47.760 --> 00:00:51.160]  對他們和外邦人作見證
[00:00:51.160 --> 00:00:53.200]  你們被交的時候
[00:00:53.200 --> 00:00:56.200]  不要思慮怎樣說話
[00:00:56.200 --> 00:00:58.600]  或說什麼話
[00:00:58.600 --> 00:01:03.080]  到那時候必似給你們當說的話
[00:01:03.080 --> 00:01:05.840]  因為不是你們自己說的
[00:01:05.840 --> 00:01:10.800]  乃是你們腹的靈在你們裡頭說的
[00:01:10.800 --> 00:01:15.640]  幾十年前信耶穌的時候
[00:01:15.640 --> 00:01:18.920]  所有基督徒跟我說信耶穌好呀
[00:01:18.920 --> 00:01:21.800]  信耶穌你有平安喜樂
[00:01:21.800 --> 00:01:23.200]  是不是
[00:01:23.200 --> 00:01:25.200]  我們祈禱的時候也希望主呀
[00:01:25.200 --> 00:01:29.040]  給我們健康呀 平安呀 喜樂呀
[00:01:29.040 --> 00:01:31.040]  給我們前途似錦呀
[00:01:31.040 --> 00:01:33.520]  給我們兒孫孝順呀
[00:01:33.520 --> 00:01:38.360]  給我們的子女有成就呀
[00:01:38.360 --> 00:01:40.360]  這些很多時候都是我們
[00:01:40.360 --> 00:01:43.320]  在我們祈禱的時候的內容
[00:01:43.320 --> 00:01:45.440]  今天就宏觀一點 是不是
[00:01:45.440 --> 00:01:47.840]  又紀念到日本的地震
[00:01:47.840 --> 00:01:51.040]  我們又紀念到本土
[00:01:51.040 --> 00:01:52.120]  我們的政權
[00:01:52.120 --> 00:01:55.880]  我們為我們在上的祈禱等等
[00:01:55.880 --> 00:02:00.680]  很多時候我們都在編織一幅很美麗的圖畫
[00:02:00.680 --> 00:02:03.160]  但其實在我們日常的生活上面
[00:02:03.160 --> 00:02:06.920]  是不是真的時常都是這麼美麗的呢?
[00:02:06.920 --> 00:02:08.520]  我記得早幾天
[00:02:08.520 --> 00:02:11.800]  開車的時候就聽到電台節目
[00:02:11.800 --> 00:02:13.800]  講整車的
[00:02:13.800 --> 00:02:16.440]  如果大家中午的時間有機會聽
[00:02:16.440 --> 00:02:20.680]  三星機都有個時段是講整車
[00:02:20.680 --> 00:02:22.680]  有個聽眾打電話
[00:02:22.680 --> 00:02:28.120]  上去電台講到關於他的車有什麼問題
[00:02:28.120 --> 00:02:29.640]  然後他就說
[00:02:29.640 --> 00:02:33.600]  我覺得應該可以這樣這樣就可以解決了
[00:02:33.600 --> 00:02:36.120]  節目主持人就告訴他 不行的
[00:02:36.120 --> 00:02:38.520]  你這樣整會整壞車的
[00:02:38.520 --> 00:02:40.280]  會有安全問題的
[00:02:40.280 --> 00:02:41.720]  他說我覺得沒問題的
[00:02:41.720 --> 00:02:44.200]  這樣整就可以矯正問題了
[00:02:44.200 --> 00:02:46.200]  那個主持人就說 不行的
[00:02:46.200 --> 00:02:48.440]  這裡有個整車師傅告訴你
[00:02:48.440 --> 00:02:51.000]  不行的 你這樣改了車的結構
[00:02:51.000 --> 00:02:53.000]  這樣令你的車危險的
[00:02:53.000 --> 00:02:55.000]  他就繼續在那裡講
[00:02:55.000 --> 00:02:58.840]  其實這樣整就可以解決那個問題了
[00:02:58.840 --> 00:02:59.800]  那個主持人就說
[00:02:59.800 --> 00:03:01.720]  其實你打電話上來就是想講你自己的事
[00:03:01.720 --> 00:03:03.720]  你不是問問題的
[00:03:03.720 --> 00:03:06.840]  有時候我們人生都是這樣
[00:03:06.840 --> 00:03:09.800]  當我們打一本聖經讀的時候
[00:03:09.800 --> 00:03:11.800]  我們讀到的上帝
[00:03:11.800 --> 00:03:15.080]  不是聖經裡面和我們講的那個上帝
[00:03:15.080 --> 00:03:16.440]  我們讀的耶穌
[00:03:16.440 --> 00:03:18.760]  不是聖經裡面和我們講的那個耶穌
[00:03:18.760 --> 00:03:21.080]  是我們心裡面想著的那個耶穌
[00:03:21.080 --> 00:03:23.080]  是我們心裡面想著的那個上帝
[00:03:23.080 --> 00:03:25.080]  不是聖經裡面所講的上帝
[00:03:25.080 --> 00:03:27.080]  所以這時候
[00:03:27.080 --> 00:03:29.640]  我忘記了神學訓練
[00:03:29.640 --> 00:03:33.560]  不知道大家在座當中有些做牧者經過神學訓練
[00:03:33.560 --> 00:03:35.560]  其實做神學訓練
[00:03:35.560 --> 00:03:38.200]  學一個很矛盾的學習
[00:03:38.200 --> 00:03:40.200]  是很難學的
[00:03:40.200 --> 00:03:42.840]  就是僕人領袖
[00:03:42.840 --> 00:03:47.960]  為什麼又僕人又領袖
[00:03:47.960 --> 00:03:50.760]  就是又要做帶領又要服侍
[00:03:50.760 --> 00:03:53.240]  其實這是一個很矛盾的身份
