
[00:00:00.000 --> 00:00:02.000]  我剛剛從香港回來
[00:00:02.000 --> 00:00:05.760]  我相信大家都知道香港的情況
[00:00:05.760 --> 00:00:10.960]  我相信頂姐妹心裏面也非常迫切
[00:00:10.960 --> 00:00:13.760]  是一個困局
[00:00:13.760 --> 00:00:16.000]  我們求神真的幫助
[00:00:16.000 --> 00:00:20.000]  也讓香港能夠找到一條出路
[00:00:20.000 --> 00:00:23.000]  然後是平安的出路
[00:00:23.000 --> 00:00:27.000]  我們求神也讓很多人有智慧
[00:00:27.000 --> 00:00:30.000]  智慧的表現
[00:00:30.000 --> 00:00:34.000]  我覺得是亞國書第三章裏面說得很清楚
[00:00:34.000 --> 00:00:37.000]  智慧的表現是用和平
[00:00:37.000 --> 00:00:41.000]  來栽種和平的樹
[00:00:41.000 --> 00:00:44.000]  然後結出和平的果
[00:00:44.000 --> 00:00:46.000]  我們求神帶領香港
[00:00:46.000 --> 00:00:51.000]  我也在香港和深水埗區的平安科論壇
[00:00:51.000 --> 00:00:54.000]  講了一個下令會
[00:00:54.000 --> 00:00:58.000]  我們中間不知道有沒有人從深水埗區過來
[00:00:58.000 --> 00:01:02.000]  有沒有?沒有啊?
[00:01:02.000 --> 00:01:08.000]  還有兩個講座和課程在香港
[00:01:08.000 --> 00:01:10.000]  感恩一切都順利
[00:01:10.000 --> 00:01:17.000]  我們都沒有遇到一些危險的情況
[00:01:17.000 --> 00:01:19.000]  或者緊張的情況
[00:01:19.000 --> 00:01:20.000]  感謝主
[00:01:20.000 --> 00:01:22.000]  其實人與人之間的關係
[00:01:22.000 --> 00:01:28.000]  我覺得很多時候是有些不同的因素來維持
[00:01:28.000 --> 00:01:36.000]  我覺得最多人用的是利益來維持人與人之間的關係
[00:01:36.000 --> 00:01:38.000]  大家覺不覺得呢?
[00:01:38.000 --> 00:01:42.000]  有時你和一個朋友相處的時候
[00:01:42.000 --> 00:01:48.000]  很可能他是為了在你身上可以拿到一些利益
[00:01:48.000 --> 00:01:54.000]  所以有些窮人其實是有一個特別的好處
[00:01:54.000 --> 00:01:57.000]  窮人有什麼好處呢?
[00:01:57.000 --> 00:01:59.000]  窮人最少有一個好處
[00:01:59.000 --> 00:02:05.000]  就是你知道和你結交朋友的人是出於真心
[00:02:05.000 --> 00:02:11.000]  如果你有錢就不知道和你做朋友的人到底哪些是真心
[00:02:11.000 --> 00:02:14.000]  哪些是和你的錢做朋友
[00:02:14.000 --> 00:02:19.000]  當然當你沒有錢的時候你才分得出來
[00:02:19.000 --> 00:02:21.000]  那時候就很悲慘
[00:02:21.000 --> 00:02:27.000]  弟弟和父母之間很多時候都是利益來掛帥
[00:02:27.000 --> 00:02:30.000]  這個其實不是很健康
[00:02:30.000 --> 00:02:34.000]  就是說你沒有時間和弟弟在一起
[00:02:34.000 --> 00:02:38.000]  弟弟和你的關係很疏遠
[00:02:38.000 --> 00:02:44.000]  但是你又覺得需要和他找一些東西來勾住那個關係
[00:02:44.000 --> 00:02:49.000]  所以你沒有時間陪他就給他錢買東西給他
[00:02:49.000 --> 00:02:55.000]  用錢來搭救其實這個是非常不健康的
[00:02:55.000 --> 00:03:00.000]  第二種的關係我稱它為用權力
[00:03:00.000 --> 00:03:05.000]  或者用壓制或者用懼怕恐慌來建立關係
[00:03:05.000 --> 00:03:09.000]  我們說說小朋友
[00:03:09.000 --> 00:03:12.000]  小朋友和你之間的關係疏遠
[00:03:12.000 --> 00:03:17.000]  而你用高壓的手段經常和他交往的話
[00:03:17.000 --> 00:03:20.000]  他見到你就好像老鼠見到貓
[00:03:20.000 --> 00:03:24.000]  哇 爸爸回來了 走呀
[00:03:24.000 --> 00:03:27.000]  這種也是不健康的
[00:03:27.000 --> 00:03:30.000]  利益的關係不健康
[00:03:30.000 --> 00:03:35.000]  懼怕或者壓制的關係不健康
[00:03:35.000 --> 00:03:41.000]  今天什麼關係才是最健康的呢?
[00:03:41.000 --> 00:03:45.000]  用什麼要素來建立關係才是最健康的呢?
[00:03:45.000 --> 00:03:50.000]  我覺得人和神之間的關係和人和人之間的關係
