
[00:00:00.000 --> 00:00:07.520]  今天和大家去思想的經文就是《讓福音》
[00:00:07.520 --> 00:00:11.520]  隨便走 我們先讀經文
[00:00:11.520 --> 00:00:15.280]  一到十一節 不是很長的 我們慢慢讀出來
[00:00:15.280 --> 00:00:20.720]  第三天 在加里尼的迦那有取親的筵席
[00:00:20.720 --> 00:00:27.680]  耶穌的母親在那裡 耶穌和他的門徒也被請去戶籍
[00:00:27.680 --> 00:00:34.160]  走用盡了 耶穌的母親對他說 他們沒有走了
[00:00:34.160 --> 00:00:41.280]  耶穌說 母親 我與你有什麼相干 我的時候還沒有到
[00:00:41.280 --> 00:00:47.760]  他母親對傭人說 他告訴你們什麼 你們就做什麼
[00:00:47.760 --> 00:00:53.840]  照猶太人潔淨的規矩 有六口石缸擺在那裡
[00:00:53.840 --> 00:00:58.960]  每口可以乘兩三桶水 耶穌對傭人說
[00:00:58.960 --> 00:01:04.960]  把缸倒滿了水 他們就倒滿了 直到缸口
[00:01:04.960 --> 00:01:10.800]  耶穌又說 現在可以掏出來 送給管賢直的
[00:01:10.800 --> 00:01:16.400]  他們就送了去 管賢直的上了那水邊的走
[00:01:16.400 --> 00:01:22.000]  並不知道是哪裡來的 只有掏水的傭人知道
[00:01:22.000 --> 00:01:29.040]  管賢直的便叫新郎來 對他說 人都是先擺上好酒
[00:01:29.040 --> 00:01:35.840]  等客喝足了 才擺上池的 你倒把好酒漏到如今
[00:01:35.840 --> 00:01:42.720]  這是耶穌所行的頭一件神蹟 是在加里里的迦那行的
[00:01:42.720 --> 00:01:47.920]  顯出他的榮耀來 他的門徒就信他了
[00:01:47.920 --> 00:01:54.000]  這個星期我們叫做顯現節的第四個主日
[00:01:54.000 --> 00:01:58.480]  今年是由一月開始 一月六日就是顯現日
[00:01:58.480 --> 00:02:05.840]  由一月六日到現在 數到現在剛剛好就是第四個星期
[00:02:05.840 --> 00:02:13.840]  整個顯現期大概有六到九個主日 就要看壽苦節是什麼時候
[00:02:13.840 --> 00:02:19.760]  什麼叫顯現節呢 就是以伯利恆之星做的象徵
[00:02:19.760 --> 00:02:25.200]  就是耶穌基督出生的時候 那顆星出現
[00:02:25.200 --> 00:02:29.760]  然後東方的智者去尋找耶穌
[00:02:29.760 --> 00:02:37.360]  所以東方智者去見耶穌不是在聖誕節 是在顯現期
[00:02:37.360 --> 00:02:41.760]  因為他不是耶穌出生的時候出現在馬槽
[00:02:41.760 --> 00:02:45.600]  如果是在馬槽的話 他早就來了
[00:02:45.600 --> 00:02:48.160]  所以聖經有時候寫的搞錯了
[00:02:48.160 --> 00:02:54.320]  顯現就是耶穌基督榮耀顯在外邦
[00:02:54.320 --> 00:03:01.200]  在教會節期裏面 第一個主日通常是耶穌接受洗禮
[00:03:01.200 --> 00:03:05.280]  第二個主日就是迦那的婚宴
[00:03:05.280 --> 00:03:11.760]  而整個的重心就是顯出他的榮耀 門徒就信他
[00:03:11.760 --> 00:03:17.920]  顯出基督的榮耀 基督的榮耀在外邦裏面顯現出來
[00:03:17.920 --> 00:03:22.560]  我們今天看的經文就是「水變酒」
[00:03:22.560 --> 00:03:24.480]  就是耶穌基督的第一個神蹟
[00:03:24.480 --> 00:03:31.280]  我們留意到在約翰福音記載 迦那有一個取親的筵席
[00:03:31.280 --> 00:03:33.280]  耶穌的媽媽在那裏
[00:03:33.280 --> 00:03:35.520]  如果我們從經文裏面去看
[00:03:35.520 --> 00:03:41.120]  我們發現耶穌的媽媽在婚宴裏面地位相當重要
[00:03:41.120 --> 00:03:48.160]  可能是負責的 或是看場的 或是安排的人物
[00:03:48.160 --> 00:03:55.120]  因為他媽媽在那裏 所以耶穌和門徒都請他負責
[00:03:55.120 --> 00:03:59.280]  很明顯他媽媽的地位相當重要 在這場婚宴裏面
[00:03:59.280 --> 00:04:03.600]  猶太人的婚宴都相當重大的
[00:04:03.600 --> 00:04:07.440]  有時是幾天 例如在史詩記裏面
[00:04:07.440 --> 00:04:11.760]  我們看到差不多是十天的慶祝 飲宴
[00:04:11.760 --> 00:04:13.760]  一個很歡樂的日子
[00:04:13.760 --> 00:04:17.760]  而在這麼歡樂的日子裏面
[00:04:17.760 --> 00:04:21.760]  竟然用盡了酒
[00:04:21.760 --> 00:04:25.760]  剛才我們看的經文就是
[00:04:25.760 --> 00:04:30.560]  他媽媽跟他說 酒用盡了
[00:04:30.560 --> 00:04:33.760]  其實應該是管筵席的人
[00:04:33.760 --> 00:04:36.560]  管筵席的人可能他不知道
[00:04:36.560 --> 00:04:41.200]  可想而知他媽媽在這個婚宴裏面
[00:04:41.200 --> 00:04:43.760]  和主人的關係很密切
[00:04:43.760 --> 00:04:48.560]  他也知道酒沒有了 所以都掌握在他媽媽那裏
[00:04:48.560 --> 00:04:52.560]  而瑪利亞看到酒用盡
[00:04:52.560 --> 00:04:58.160]  去找耶穌 和耶穌說酒沒有了
[00:04:58.160 --> 00:05:00.960]  為什麼呢? 為什麼會找耶穌?
[00:05:00.960 --> 00:05:04.960]  為什麼不是找管筵席? 為什麼不是找其他人?
[00:05:04.960 --> 00:05:10.960]  有人相信這是很突然
[00:05:10.960 --> 00:05:14.960]  已經來不及再去準備
[00:05:14.960 --> 00:05:20.560]  耶穌的媽媽找耶穌去解決這個問題
[00:05:20.560 --> 00:05:23.360]  是要求還是怎樣呢?
[00:05:23.360 --> 00:05:25.360]  我們沒有辦法很清楚
[00:05:25.360 --> 00:05:30.560]  不過我們又發現耶穌的回答很奇怪
[00:05:30.560 --> 00:05:34.560]  他媽媽很心急 叫耶穌不要走
[00:05:34.560 --> 00:05:38.560]  一會兒很掃興 整個婚宴因為沒有酒的緣故
[00:05:38.560 --> 00:05:42.560]  人們可能會埋怨 怎麼搞的 怎麼預備婚宴
[00:05:42.560 --> 00:05:46.560]  這樣都沒有 他媽媽就很賞心
[00:05:46.560 --> 00:05:52.560]  可能她從家人很熟的關係很賞心
[00:05:52.560 --> 00:05:54.560]  和她兒子和耶穌說
[00:05:54.560 --> 00:05:58.560]  而耶穌的回應是說
[00:05:58.560 --> 00:06:02.560]  母親我與你有什麼相關?
[00:06:02.560 --> 00:06:04.560]  原文母親是用婦人的
[00:06:04.560 --> 00:06:08.560]  分兩字稱呼瑪利亞都是婦人
[00:06:08.560 --> 00:06:12.560]  一次在這裏 一次在十字架
[00:06:12.560 --> 00:06:14.560]  婦人是什麼意思呢?
[00:06:14.560 --> 00:06:16.560]  雖然這個字不是貶抑
[00:06:16.560 --> 00:06:18.560]  都是很有禮貌的
[00:06:18.560 --> 00:06:20.560]  這個字都很有禮貌
[00:06:20.560 --> 00:06:22.560]  縱然怎樣有禮貌都好
[00:06:22.560 --> 00:06:26.560]  叫媽媽做婦人都是不應該的
[00:06:26.560 --> 00:06:30.560]  因為沒有先例
[00:06:30.560 --> 00:06:32.560]  完全沒有先例就是
[00:06:32.560 --> 00:06:36.560]  一個兒子叫媽媽做婦人
[00:06:36.560 --> 00:06:40.560]  所以耶穌這樣和瑪利亞說話是很奇怪
[00:06:40.560 --> 00:06:46.560]  瑪利亞突然沒辦法和兒子說
[00:06:46.560 --> 00:06:50.560]  兒子說 婦人我與你有什麼相關?
[00:06:50.560 --> 00:06:52.560]  我與你有什麼相關就是
[00:06:52.560 --> 00:06:54.560]  你不要勉強我做什麼
[00:06:54.560 --> 00:06:58.560]  你的事還你的事 我的事還我的事
[00:06:58.560 --> 00:07:00.560]  更沒有禮貌 是吧
[00:07:00.560 --> 00:07:02.560]  怎麼可以這樣說呢
[00:07:02.560 --> 00:07:06.560]  起碼耶穌是瑪利亞育身的兒子
[00:07:06.560 --> 00:07:10.560]  把他養育了三十歲
[00:07:10.560 --> 00:07:12.560]  教導他
[00:07:12.560 --> 00:07:14.560]  這樣和他說
[00:07:14.560 --> 00:07:18.560]  約翰記載這件事是很有意思的
[00:07:18.560 --> 00:07:20.560]  耶穌這樣和媽媽說話
[00:07:20.560 --> 00:07:22.560]  關我什麼事呢
