
[00:00:00.000 --> 00:00:05.600]  如果有一位天使向你顯現
[00:00:05.600 --> 00:00:12.000]  告訴你,你無論有什麼願望都可以達成
[00:00:12.000 --> 00:00:18.000]  我不知道大家會選擇哪一樣東西
[00:00:18.000 --> 00:00:21.600]  大家都知道有一位古代的人物
[00:00:21.600 --> 00:00:24.400]  曾經是神向他顯現
[00:00:24.400 --> 00:00:27.800]  告訴他,你求的
[00:00:27.800 --> 00:00:35.000]  我會答應你,你可以求富貴榮華,可以求長壽
[00:00:35.000 --> 00:00:40.200]  但是這個人最後求了什麼,大家都知道
[00:00:40.200 --> 00:00:45.200]  可能你都想,如果我有這樣的幸運的機會
[00:00:45.200 --> 00:00:50.800]  能夠按我心所想的,就得著成就
[00:00:50.800 --> 00:00:56.800]  在這個這麼多變幻,這麼多艱難的人世間
[00:00:56.800 --> 00:01:05.800]  如果我的願望能夠成就,那就萬事無憂
[00:01:05.800 --> 00:01:12.800]  其實你想想,所羅門是得到他所想的
[00:01:12.800 --> 00:01:18.800]  不過我懷疑,他到最後可能會想
[00:01:18.800 --> 00:01:22.800]  他都還沒看夠盡夠透
[00:01:22.800 --> 00:01:28.800]  因為他的生命最後都出了很大的亂子
[00:01:28.800 --> 00:01:32.800]  或者我們今天在基督裡的人,我們應該知道
[00:01:32.800 --> 00:01:39.800]  自己其實不需要有什麼特別的期望
[00:01:39.800 --> 00:01:44.800]  以至叫神為我們來成就這些東西
[00:01:44.800 --> 00:01:45.800]  為什麼呢?
[00:01:45.800 --> 00:01:50.800]  因為其實在基督裡的人,照聖經告訴我們
[00:01:50.800 --> 00:01:57.800]  我們有了寶貴的信心,我們是因信蒙神能力保守的人
[00:01:57.800 --> 00:02:02.800]  我們所得到的是永不需殘,永不會扭壞的
[00:02:02.800 --> 00:02:09.800]  在基督裡一切屬靈的好處都已經賜給我們
[00:02:09.800 --> 00:02:12.800]  其實今天信仰最重要的一個問題
[00:02:12.800 --> 00:02:16.800]  就是到底你信的那一位是誰
[00:02:16.800 --> 00:02:19.800]  你對他有什麼認識,你對他有什麼期望
[00:02:19.800 --> 00:02:24.800]  如果你的期望是成為你信仰最重要的東西
[00:02:24.800 --> 00:02:26.800]  當你這個期望達不到的時候
[00:02:26.800 --> 00:02:30.800]  你的信仰都可能兵敗如山倒
[00:02:30.800 --> 00:02:32.800]  蕩然無存
[00:02:32.800 --> 00:02:37.800]  我們是不是真信,我們是不是真認識
[00:02:37.800 --> 00:02:41.800]  其實彼得書信前後書都是很清楚的
[00:02:41.800 --> 00:02:45.800]  是要鞏固弟兄姊妹在患難當中的信仰
[00:02:45.800 --> 00:02:48.800]  或者是政治的迫害,或者是經濟的困難
[00:02:48.800 --> 00:02:52.800]  或者是人際的困難,或者是其他你想象不到的困難
[00:02:52.800 --> 00:02:53.800]  總之就是困難
