
[00:00:00.000 --> 00:00:06.640]  回應剛才說的話 大家心知肚明
[00:00:06.640 --> 00:00:09.220]  很多困難和很多
[00:00:09.220 --> 00:00:12.760]  但是我發給大家的講義
[00:00:12.760 --> 00:00:15.700]  大家事先很希望你能夠預習
[00:00:15.700 --> 00:00:17.560]  千萬不要拿了就塞進抽屜
[00:00:17.560 --> 00:00:19.200]  到下次上課的時候
[00:00:19.200 --> 00:00:22.740]  順便拿多一份 再順便拿多一份給朋友
[00:00:22.740 --> 00:00:25.600]  你不如多讀原本的那本書
[00:00:25.600 --> 00:00:30.080]  現代的科技大家熟悉過我很多
[00:00:30.080 --> 00:00:32.840]  尤其是你手上那個萬能的手機
[00:00:32.840 --> 00:00:36.040]  正如一會兒我們開始的時候
[00:00:36.040 --> 00:00:38.000]  我就想過很多方法我們怎麼開始
[00:00:38.000 --> 00:00:40.200]  我本來很想提醒大家
[00:00:40.200 --> 00:00:43.120]  大家期望好好的開始 但是時間實在不夠
[00:00:43.120 --> 00:00:46.920]  而且你知道我們這一堂雖然叫第二堂
[00:00:46.920 --> 00:00:50.440]  但是整個課程已經幾乎過了四分之一
[00:00:50.440 --> 00:00:51.920]  總共都是八堂
[00:00:51.920 --> 00:00:55.080]  而這個課程實際要講的東西是很多很多
[00:00:55.080 --> 00:00:58.280]  我自己那個課學班講了一年多
[00:00:58.280 --> 00:01:02.040]  都才講了 另外兩班講的不得了
[00:01:02.040 --> 00:01:03.640]  當然那個詳細的講了
[00:01:03.640 --> 00:01:05.140]  大家如果有興趣
[00:01:05.140 --> 00:01:10.100]  最重要我上次集了很多心血在裏面的那個大表
[00:01:10.100 --> 00:01:11.760]  我們接著用這個大表的
[00:01:11.760 --> 00:01:17.000]  還有最好能夠預習
[00:01:17.000 --> 00:01:18.600]  其實學習什麼我們自己都是這樣
[00:01:18.600 --> 00:01:22.280]  預先要看 然後上課之前就用心聽
[00:01:22.280 --> 00:01:23.840]  事後就檢討
[00:01:23.840 --> 00:01:25.520]  如果不是就這樣坐的話
[00:01:25.520 --> 00:01:28.240]  抽空我講話不上課
[00:01:28.240 --> 00:01:31.040]  用你的手機也好 什麼都好
[00:01:31.040 --> 00:01:36.840]  透過班長預先拿到那三張
[00:01:36.840 --> 00:01:40.920]  那個比較宗教的那幾個人合作的
[00:01:40.920 --> 00:01:43.160]  我負責其中余道佛的那三張
[00:01:43.160 --> 00:01:47.320]  那三張請你看過或者拍了它也好
[00:01:47.320 --> 00:01:48.320]  抄了它 什麼都好
[00:01:48.320 --> 00:01:53.240]  你用你認為合適的方法預先研習
[00:01:53.240 --> 00:01:57.120]  我們堂上一定要講的就是檢討的部分
[00:01:57.120 --> 00:01:59.920]  就是儒家我們大概講一下表
[00:01:59.920 --> 00:02:02.160]  然後基督徒對儒家的看法
[00:02:02.160 --> 00:02:03.360]  那些就沒有東西要派了
[00:02:03.360 --> 00:02:05.120]  我那本書裏面我照講
[00:02:05.120 --> 00:02:07.120]  你預先看一下才好
[00:02:07.120 --> 00:02:09.920]  然後講完道家就講一下道家的檢討
[00:02:09.920 --> 00:02:13.360]  講完道教就講一下道教的檢討
[00:02:13.360 --> 00:02:15.040]  最複雜的就是佛教
[00:02:15.040 --> 00:02:17.520]  講完佛教大概的介紹
[00:02:17.520 --> 00:02:19.320]  只是佛教都要不知道多少時間
[00:02:19.320 --> 00:02:21.560]  我自己都認識得很皮毛
[00:02:21.560 --> 00:02:24.160]  所以希望大家真的要有興趣研習的
[00:02:24.160 --> 00:02:29.800]  就集中要發課 勉勉強強就算過了
