
[00:00:00.000 --> 00:00:06.460]  多謝施班將我們帶到上帝面前
[00:00:06.460 --> 00:00:10.100]  惟有主自己在外式敬拜
[00:00:10.100 --> 00:00:12.500]  以及在我們人生的中心
[00:00:12.500 --> 00:00:20.540]  今天是大齋節蒙灰的禮拜
[00:00:20.540 --> 00:00:23.540]  根據教會的年曆
[00:00:23.540 --> 00:00:26.340]  在受灰節四十之前
[00:00:26.340 --> 00:00:28.240]  我們有這個聖灰日
[00:00:28.240 --> 00:00:32.000]  我自己的教會不是來自這樣的傳統
[00:00:32.000 --> 00:00:34.840]  沒有一個是跟著教會的年曆
[00:00:34.840 --> 00:00:38.500]  來有不同的慶祝活動
[00:00:38.500 --> 00:00:41.040]  我非常欣賞年曆
[00:00:41.040 --> 00:00:45.040]  是將基督所成就的救恩
[00:00:45.040 --> 00:00:47.440]  按著不同的時段
[00:00:47.440 --> 00:00:51.000]  很豐盛和很具體地提醒我們
[00:00:51.000 --> 00:00:54.400]  聖灰日特別提醒我們
[00:00:54.400 --> 00:00:56.900]  在基督所成就的救恩裏面
[00:00:56.900 --> 00:00:59.640]  是一個非常重要的環節
[00:00:59.640 --> 00:01:00.840]  我今天選了一段經文
[00:01:00.840 --> 00:01:02.200]  我想將這個意思
[00:01:02.200 --> 00:01:04.200]  透過這段經文跟大家分享
[00:01:04.200 --> 00:01:05.800]  請大家翻開聖經
[00:01:05.800 --> 00:01:10.800]  《新約聖經》瓦國書第一章
[00:01:10.800 --> 00:01:13.800]  我們可以由第十二節
[00:01:13.800 --> 00:01:18.400]  一直讀到第十八節
[00:01:18.400 --> 00:01:20.400]  《新約聖經》後面的一部分
[00:01:20.400 --> 00:01:23.400]  《瓦國書》第一章
[00:01:23.400 --> 00:01:29.900]  《新約聖經》堂會所使用的經文版本是363頁
[00:01:29.900 --> 00:01:33.900]  《瓦國書》第一章第十二節到十八節
[00:01:33.900 --> 00:01:35.900]  一起讀出這段經文
[00:01:35.900 --> 00:01:39.400]  忍受試煉的人有福的
[00:01:39.400 --> 00:01:44.400]  因為他經過試煉必得生命的冠冕
[00:01:44.400 --> 00:01:47.900]  這是主應許給愛他之人的
[00:01:47.900 --> 00:01:50.900]  人被誘惑不可說
[00:01:50.900 --> 00:01:53.400]  我是被上帝誘惑
[00:01:53.400 --> 00:01:56.900]  因為上帝是不被惡誘惑的
[00:01:56.900 --> 00:01:58.900]  他也不誘惑人
[00:01:58.900 --> 00:02:01.400]  但每一個人被誘惑
[00:02:01.400 --> 00:02:05.900]  是因自己的私欲、天忍而被誘惑的
[00:02:05.900 --> 00:02:07.900]  私欲既懷了胎
