
[00:00:00.000 --> 00:00:06.280]  我上次和大家開始了《耳筆所書》
[00:00:06.280 --> 00:00:08.840]  講了《耳筆所書》的介紹
[00:00:08.840 --> 00:00:11.440]  我說《耳筆所書》告訴我們
[00:00:11.440 --> 00:00:15.880]  我們基督徒都有天上各樣屬靈的福氣
[00:00:15.880 --> 00:00:18.360]  非常之是福氣
[00:00:18.360 --> 00:00:23.000]  但是很多基督徒都不知道我們這麼有福氣
[00:00:23.000 --> 00:00:25.000]  我講了一個故事
[00:00:25.000 --> 00:00:27.000]  就是垃圾Mary
[00:00:27.000 --> 00:00:29.240]  她是億萬的夫婦
[00:00:29.240 --> 00:00:32.640]  但她不知道原來自己是這麼有福分
[00:00:32.640 --> 00:00:34.040]  這麼有錢
[00:00:34.040 --> 00:00:36.680]  她還是去垃圾堆
[00:00:36.680 --> 00:00:38.080]  來找垃圾
[00:00:38.080 --> 00:00:39.680]  來找東西吃
[00:00:39.680 --> 00:00:41.680]  這個真的很可惜
[00:00:41.680 --> 00:00:44.360]  其實很多基督徒都是一樣
[00:00:44.360 --> 00:00:48.480]  我們是有充充滿滿從神而來的福分
[00:00:48.480 --> 00:00:50.480]  但我們都不知道
[00:00:50.480 --> 00:00:52.160]  有一個人
[00:00:52.160 --> 00:00:54.440]  他住了在自己的房子裡
[00:00:54.440 --> 00:00:55.880]  住了很久
[00:00:55.880 --> 00:00:58.080]  他很厭煩自己的房子
[00:00:58.080 --> 00:00:59.320]  很厭倦
[00:00:59.320 --> 00:01:01.680]  所以他想賣掉這間房子
[00:01:01.680 --> 00:01:04.720]  然後買一間新的房子
[00:01:04.720 --> 00:01:06.720]  他自己喜歡的房子
[00:01:06.720 --> 00:01:08.720]  所以他請了一個經紀
[00:01:08.720 --> 00:01:10.720]  來幫他賣這間房子
[00:01:10.720 --> 00:01:12.000]  這個經紀說
[00:01:12.000 --> 00:01:13.000]  無所謂
[00:01:13.000 --> 00:01:15.480]  我可以幫你做一個廣告
[00:01:15.480 --> 00:01:18.240]  寫了描述了你的房子之後
[00:01:18.240 --> 00:01:19.520]  放上網上
[00:01:19.520 --> 00:01:22.000]  自然就有人來幫你買了
[00:01:22.000 --> 00:01:24.000]  這個房子主說好啊
[00:01:24.000 --> 00:01:25.360]  於是這個人
[00:01:25.360 --> 00:01:27.960]  過了幾天真的做了一個廣告
[00:01:27.960 --> 00:01:30.560]  他來讀給這個房主聽
[00:01:30.560 --> 00:01:32.560]  他讀完之後
[00:01:32.560 --> 00:01:33.720]  這個房主說
[00:01:33.720 --> 00:01:35.720]  你讀多一次給我聽
[00:01:35.720 --> 00:01:37.400]  他又讀多一次
[00:01:37.400 --> 00:01:38.800]  然後他說
[00:01:38.800 --> 00:01:40.520]  如果你沒有更改的話
[00:01:40.520 --> 00:01:42.520]  我就將這個廣告
[00:01:42.520 --> 00:01:44.520]  放上網上了
[00:01:44.520 --> 00:01:45.520]  這個房主說
[00:01:45.520 --> 00:01:46.520]  且慢
[00:01:46.520 --> 00:01:48.520]  他說我不賣了
[00:01:48.520 --> 00:01:51.320]  原來我的房子這麼好?
[00:01:51.320 --> 00:01:53.320]  我都不知道我的房子這麼好
[00:01:53.320 --> 00:01:54.520]  你做了一個廣告告訴我
[00:01:54.520 --> 00:01:55.520]  我才知道
[00:01:55.520 --> 00:01:58.520]  這間房子是我夢寐以求
[00:01:58.520 --> 00:02:01.520]  我想得到這樣的房子很久了
[00:02:01.520 --> 00:02:04.320]  我都不知道原來我自己就已經擁有
[00:02:04.320 --> 00:02:07.520]  我已經住在這間房子裡
[00:02:07.520 --> 00:02:11.520]  這個人真是身在福中不自福
[00:02:11.520 --> 00:02:13.520]  我本來想叫這篇道
[00:02:13.520 --> 00:02:15.520]  做身在福中不自福
[00:02:15.520 --> 00:02:17.520]  但是我後來又想了一下
[00:02:17.520 --> 00:02:18.520]  太廣泛了
[00:02:18.520 --> 00:02:20.520]  可以是任何的東西
[00:02:20.520 --> 00:02:22.520]  你可能有個好老公
[00:02:22.520 --> 00:02:25.520]  你不知道身在福中不自福
[00:02:25.520 --> 00:02:27.520]  你可能有個好老婆
