
[00:00:00.000 --> 00:00:05.000]  在星期二的時候
[00:00:05.000 --> 00:00:09.000]  我接到我們中華傳統洪磡基督教會
[00:00:09.000 --> 00:00:11.000]  我們另外一間禮拜堂
[00:00:11.000 --> 00:00:14.000]  他那個時候就發了一個信息
[00:00:14.000 --> 00:00:17.000]  問我拿這個禮拜講道的題目
[00:00:17.000 --> 00:00:20.000]  我不是調走了嗎
[00:00:20.000 --> 00:00:22.000]  他自己翻查記錄發現
[00:00:22.000 --> 00:00:24.000]  他問了我一個星期
[00:00:24.000 --> 00:00:26.000]  我下個星期才來洪磡
[00:00:26.000 --> 00:00:31.000]  想起澳門教會
[00:00:31.000 --> 00:00:35.000]  我們不能不感謝上帝
[00:00:35.000 --> 00:00:39.000]  給我們有回憶的能力
[00:00:39.000 --> 00:00:41.000]  我們總是會想到
[00:00:41.000 --> 00:00:43.000]  我們過去看到上帝怎樣帶領我們
[00:00:43.000 --> 00:00:46.000]  恩代我們憐憫我們
[00:00:46.000 --> 00:00:49.000]  讓我們可以由薩加都拉街
[00:00:49.000 --> 00:00:51.000]  一直來到這個地方
[00:00:51.000 --> 00:00:54.000]  有些人在薩加都拉街那個年代
[00:00:54.000 --> 00:00:56.000]  已經在教會裏面
[00:00:56.000 --> 00:00:58.000]  我記得是美族
[00:00:58.000 --> 00:01:01.000]  上一次我來的時候
[00:01:01.000 --> 00:01:03.000]  因為很久沒來過幾年
[00:01:03.000 --> 00:01:05.000]  他走過來就記得我是誰
[00:01:05.000 --> 00:01:07.000]  我真的驚訝
[00:01:07.000 --> 00:01:09.000]  還記得他是美族
[00:01:09.000 --> 00:01:11.000]  還有道太在後面
[00:01:11.000 --> 00:01:14.000]  我記得他坐在我們右手邊中間的位置
[00:01:14.000 --> 00:01:17.000]  一看到我來的時候
[00:01:17.000 --> 00:01:19.000]  他就會起來幫我握手
[00:01:19.000 --> 00:01:21.000]  今天早上跟他祈禱的時候
[00:01:21.000 --> 00:01:24.000]  他說他現在走不了了
[00:01:24.000 --> 00:01:27.000]  道太在去年十月已經離開世界了
