
[00:00:00.000 --> 00:00:08.120]  今天這個題目很長的 接納了差不多你
[00:00:08.120 --> 00:00:13.320]  剛才我覺得剛好一出生 到跟你差不多
[00:00:13.320 --> 00:00:16.840]  可以好好談 你跟他的關係怎樣呢
[00:00:16.840 --> 00:00:19.920]  都是你的幸福的 我想起碼一半
[00:00:19.920 --> 00:00:25.520]  如果你相信丈夫是微微應該多子女一分的
[00:00:25.520 --> 00:00:27.720]  應該他都是49分的
[00:00:27.720 --> 00:00:29.520]  不過很多時候我們算錯了
[00:00:29.520 --> 00:00:32.120]  很多時候體制都比丈夫重要
[00:00:32.120 --> 00:00:33.440]  所以這個就是一個問題
[00:00:33.440 --> 00:00:37.520]  為什麼很多人沒有生了小孩這麼痛苦呢
[00:00:37.520 --> 00:00:41.640]  就是因為他太期望在小孩裡拿到幸福
[00:00:41.640 --> 00:00:45.720]  他忘記了其實丈夫只是對你最長的時間
[00:00:45.720 --> 00:00:48.760]  小孩不是 小孩要放手
[00:00:48.760 --> 00:00:52.000]  差不多在香港來說 差不多18、19歲左右
[00:00:52.000 --> 00:00:54.440]  已經不是跟你這麼接近
[00:00:54.440 --> 00:00:57.720]  就算住在這間屋都是搭單的
[00:00:57.720 --> 00:01:00.720]  可能是酒店而已
[00:01:00.720 --> 00:01:03.840]  真的是酒店 他準備走的
[00:01:03.840 --> 00:01:05.560]  但是今天我們就開始
[00:01:05.560 --> 00:01:07.760]  今天我為了你的丈夫起見
[00:01:07.760 --> 00:01:11.360]  我口供全部都在這裡 待會給教會的
[00:01:11.360 --> 00:01:15.120]  你有興趣可以電郵或者拿相機拍他
[00:01:15.120 --> 00:01:18.000]  讓他回去看一下 我聽過這些東西
[00:01:18.000 --> 00:01:22.960]  但是我覺得我不想只是看你的處境
[00:01:22.960 --> 00:01:24.960]  我應該從這個角度看
[00:01:24.960 --> 00:01:28.280]  我的期望就是你聽完之後
[00:01:28.280 --> 00:01:29.720]  不是你改變了什麼
[00:01:29.720 --> 00:01:34.720]  而是你想一下你家裡欠了以前的什麼
[00:01:34.720 --> 00:01:36.800]  比如我自我介紹
[00:01:36.800 --> 00:01:40.680]  我教社工的時候是20多年前
[00:01:40.680 --> 00:01:45.240]  我有教一個主要的科目就是兒童的抑鬱
[00:01:45.240 --> 00:01:50.080]  或者青少年抑鬱
[00:01:50.080 --> 00:01:53.280]  其實我不是讀書這件事的
[00:01:53.280 --> 00:01:55.760]  我家裡就是這樣
[00:01:55.760 --> 00:01:58.600]  我太太去世10年了
[00:01:58.600 --> 00:01:59.920]  但是我們結婚的時候
[00:01:59.920 --> 00:02:05.000]  我們都有20年招呼過小孩在家裡住
[00:02:05.000 --> 00:02:08.800]  包括了大到大學的那些
[00:02:08.800 --> 00:02:11.640]  小到小學的那些
[00:02:11.640 --> 00:02:15.680]  我們差不多養大了20個小孩
[00:02:15.680 --> 00:02:21.680]  有些現在已經是博士和牧師了
