
[00:00:00.000 --> 00:00:16.000]  新聞記是摩西在他帶以色列人臨到進去英許美地加南之前
[00:00:16.000 --> 00:00:27.000]  摩西知道他要離開世界,留下給百姓的遺言
[00:00:27.000 --> 00:00:37.000]  所以不是一本律法書裏面記載很多規條
[00:00:37.000 --> 00:00:44.000]  然後叫我們很沉悶地閱讀
[00:00:44.000 --> 00:00:56.000]  如果這樣讀新聞記,我們就錯過了他本來很重要的訊息
[00:00:56.000 --> 00:01:03.000]  這是一位老人家,他肺腑之言
[00:01:03.000 --> 00:01:08.000]  他關心他帶領這班以色列人出了埃及
[00:01:08.000 --> 00:01:18.000]  經過了40年曠野的年遊,圍山苟蔭
[00:01:18.000 --> 00:01:26.000]  現在來到最後一步,武軍虧一季
[00:01:26.000 --> 00:01:33.000]  摩西說什麼呢?你打開新聞記,有沒有跟著讀?
[00:01:33.000 --> 00:01:39.000]  我不叫你舉手了,不過提一提你,好像你的良心那樣
[00:01:39.000 --> 00:01:42.000]  每兩個星期左右問一問你
[00:01:42.000 --> 00:01:46.000]  你發覺摩西跟他們講回歷史
[00:01:46.000 --> 00:01:51.000]  摩西不是講很遠以前的歷史
[00:01:51.000 --> 00:01:59.000]  因為他這班聽眾是出了埃及第二代的以色列人
[00:01:59.000 --> 00:02:06.000]  在這裏出生的,你跟他說舊時的鄉下,在新會那裏
[00:02:06.000 --> 00:02:09.000]  他都未回過去,說香港他都未必明白
[00:02:09.000 --> 00:02:12.000]  除非你帶他回去看過一下
[00:02:12.000 --> 00:02:18.000]  他才知道原來香港有很多東西都可能比多倫多好
[00:02:18.000 --> 00:02:25.000]  不是,摩西不是跟這班在曠野40年成長
[00:02:25.000 --> 00:02:30.000]  新的一代的以色列人,講回很久以前的事
[00:02:30.000 --> 00:02:36.000]  他從哪裡說起?你記得新聞記第一章開始
[00:02:36.000 --> 00:02:46.000]  他就是由西乃河列,由他們在出了埃及之後的三個月
[00:02:46.000 --> 00:02:53.000]  為什麼在曠野留了40年?從這裏開始講歷史
[00:02:53.000 --> 00:02:59.000]  40年的開始是因為他們不聽上帝的吩咐
[00:02:59.000 --> 00:03:03.000]  不肯進去加拿大
[00:03:03.000 --> 00:03:11.000]  但是40年的結束,上帝祝福他們,上帝幫助他們
[00:03:11.000 --> 00:03:25.000]  在不無之地,竟然能夠打贏了兩個加拿大出名的君王
[00:03:25.000 --> 00:03:28.000]  西弘和鄂
[00:03:28.000 --> 00:03:33.000]  在這一連串的歷史回顧當中
[00:03:33.000 --> 00:03:39.000]  Nelson是有一個很重要的訊息
[00:03:39.000 --> 00:03:46.000]  要提醒這一班年輕的以色列人
