
[00:00:00.000 --> 00:00:07.600]  今天要講第十章和第十一章的頭
[00:00:07.600 --> 00:00:12.600]  經常有人說我講到沒有人記得我講什麼
[00:00:12.600 --> 00:00:14.600]  所以問一下你們
[00:00:14.600 --> 00:00:19.400]  究竟士司記裡面一共有多少個士司
[00:00:19.400 --> 00:00:21.400]  記不記得?
[00:00:21.400 --> 00:00:24.800]  一共是十二個士司
[00:00:24.800 --> 00:00:28.400]  又記不記得我講了多少個士司?
[00:00:28.400 --> 00:00:30.400]  講了五個
[00:00:30.400 --> 00:00:32.400]  俄托列
[00:00:32.400 --> 00:00:35.000]  有伊忽、山加
[00:00:35.000 --> 00:00:37.800]  他們用的武器非常特別
[00:00:37.800 --> 00:00:41.000]  所以我叫他們做神外用的兵器
[00:00:41.000 --> 00:00:44.800]  還有第四位是呂士司
[00:00:44.800 --> 00:00:46.800]  是底波拉
[00:00:46.800 --> 00:00:49.600]  第五位是基奠
[00:00:49.600 --> 00:00:51.600]  我講了基奠很多故事
[00:00:51.600 --> 00:00:53.600]  所以大家應該記得他
[00:00:53.600 --> 00:00:58.000]  今天就要和大家講第六個、第七個
[00:00:58.000 --> 00:01:00.000]  和第八個
[00:01:00.000 --> 00:01:03.000]  第八個耶佛帕的故事我講不完
[00:01:03.000 --> 00:01:04.600]  我要下次再講
[00:01:04.600 --> 00:01:06.600]  但今天和大家講的是
[00:01:06.600 --> 00:01:09.600]  「陀拉艾爾耶佛帕」
[00:01:09.600 --> 00:01:14.600]  聖經裡面有很多Cinderella灰姑娘的故事
[00:01:14.600 --> 00:01:19.600]  好像美國的林肯總統
[00:01:19.600 --> 00:01:24.600]  就是由一個窮小子搖身一變成為白宮的主人
[00:01:24.600 --> 00:01:28.600]  在聖經裡面有很多故事
[00:01:28.600 --> 00:01:34.600]  有些人被人藐視、被人嫌棄
[00:01:34.600 --> 00:01:38.600]  但後來得到權勢、得到榮耀
[00:01:38.600 --> 00:01:42.600]  就好像聖經裡面的約瑟
[00:01:42.600 --> 00:01:47.600]  他被困在囚牢甚至是死囚
[00:01:47.600 --> 00:01:49.600]  但搖身一變
[00:01:49.600 --> 00:01:52.600]  變成了一人之下萬人之上
[00:01:52.600 --> 00:01:55.600]  變成了埃及的宰相
[00:01:55.600 --> 00:02:00.600]  很多人都很喜歡Cinderella灰姑娘的故事
[00:02:00.600 --> 00:02:03.600]  希望自己都能夠一樣
[00:02:03.600 --> 00:02:06.600]  有一天飛上枝頭變成鳳凰
[00:02:06.600 --> 00:02:10.600]  突然間有錢有權有勢
[00:02:10.600 --> 00:02:15.600]  今天的耶佛帕這個故事就是這樣的一個故事
[00:02:15.600 --> 00:02:18.600]  耶佛帕是被人藐視、被人嫌棄
[00:02:18.600 --> 00:02:23.600]  但後來成為了以色列人的民族英雄
[00:02:23.600 --> 00:02:27.600]  帶領以色列人勝過阿門人、勝過斐理士人
[00:02:27.600 --> 00:02:31.600]  其實耶佛帕就是一個耶穌基督的遇象
[00:02:31.600 --> 00:02:33.600]  耶穌基督的影子
[00:02:33.600 --> 00:02:38.600]  因為耶穌基督也是第一次來臨被人鄙視、藐視
[00:02:38.600 --> 00:02:45.600]  但他將會再次來臨得到他的榮耀、得到他的尊貴
[00:02:45.600 --> 00:02:49.600]  你說婆拉和艾爾呢?
[00:02:49.600 --> 00:02:52.600]  聖經裡沒有很多的經文
[00:02:52.600 --> 00:02:54.600]  但我今天會讓大家看到
[00:02:54.600 --> 00:02:57.600]  就算婆拉和艾爾的身上
[00:02:57.600 --> 00:03:00.600]  我們也能夠看到耶穌基督的影子
[00:03:00.600 --> 00:03:02.600]  你說真的?
[00:03:02.600 --> 00:03:04.600]  是的 我們一起來看看
[00:03:04.600 --> 00:03:07.600]  以色列人其實我們看到在三方面
[00:03:07.600 --> 00:03:11.600]  他們在屬靈上出現了很大的問題
[00:03:11.600 --> 00:03:13.600]  第一個問題是什麼?
[00:03:13.600 --> 00:03:15.600]  他們缺乏感恩
[00:03:15.600 --> 00:03:17.600]  經文告訴我們
[00:03:17.600 --> 00:03:21.600]  在婆拉和艾爾的帶領領導下
[00:03:21.600 --> 00:03:25.600]  以色列人有45年的太平
[00:03:25.600 --> 00:03:29.600]  差不多半個世紀的太平
[00:03:29.600 --> 00:03:32.600]  但以色列人沒有感謝神
[00:03:32.600 --> 00:03:36.600]  他們還繼續去拜偶像
[00:03:36.600 --> 00:03:38.600]  艾爾死了之後
[00:03:38.600 --> 00:03:41.600]  人民又回到去拜偶像
[00:03:41.600 --> 00:03:43.600]  他們根本沒有感恩
[00:03:43.600 --> 00:03:49.600]  他們沒有用這段時間增加和增進他們與神的關係
[00:03:49.600 --> 00:03:52.600]  他們沒有用這段時間來接近神
[00:03:52.600 --> 00:03:57.600]  到時斯死了他們又回到去犯他們的罪
[00:03:57.600 --> 00:03:59.600]  來拜偶像
[00:03:59.600 --> 00:04:01.600]  所以我們基督徒也是一樣
[00:04:01.600 --> 00:04:03.600]  我們要很小心
[00:04:03.600 --> 00:04:05.600]  我們是被神救贖
[00:04:05.600 --> 00:04:07.600]  我們要感謝神
[00:04:07.600 --> 00:04:09.600]  千萬不要忘記神
[00:04:09.600 --> 00:04:13.600]  很多基督徒在飯前都會謝飯
[00:04:13.600 --> 00:04:16.600]  這絕對符合聖經的教導
[00:04:16.600 --> 00:04:18.600]  馬太福音14:5
[00:04:18.600 --> 00:04:23.600]  耶穌基督五餅魚餵飽了五千人
[00:04:23.600 --> 00:04:26.600]  之前祂有謝飯有感謝天父
[00:04:26.600 --> 00:04:29.600]  馬太福音15:7
[00:04:29.600 --> 00:04:33.600]  七餅幾條魚餵飽了四千人
[00:04:33.600 --> 00:04:36.600]  耶穌基督同樣有感謝天父
[00:04:36.600 --> 00:04:39.600]  但是在飯後來謝飯
[00:04:39.600 --> 00:04:41.600]  也是符合聖經教導的
[00:04:41.600 --> 00:04:43.600]  在《新命記》的八章十節
[00:04:43.600 --> 00:04:44.600]  經文說
[00:04:44.600 --> 00:04:48.600]  你吃得飽足就要稱頌耶和華你的神
[00:04:48.600 --> 00:04:52.600]  因祂將那美地賜給你了
[00:04:52.600 --> 00:04:56.600]  神是給以色列人有流奶與墨之地
[00:04:56.600 --> 00:04:59.600]  還給他們很多的祝福
[00:04:59.600 --> 00:05:00.600]  使他們飽足
[00:05:00.600 --> 00:05:03.600]  但我們見到以色列人怎樣?
[00:05:03.600 --> 00:05:06.600]  就像今天在《時詩記》裡
[00:05:06.600 --> 00:05:08.600]  他們仍然不感恩
[00:05:08.600 --> 00:05:10.600]  仍然忘記了神
[00:05:10.600 --> 00:05:12.600]  所以我們要很小心
[00:05:12.600 --> 00:05:15.600]  詩人在詩篇69篇第30節
[00:05:15.600 --> 00:05:18.600]  說我要以詩歌讚美神的名
[00:05:18.600 --> 00:05:21.600]  以感謝稱祂偉大
[00:05:21.600 --> 00:05:24.600]  如果我們感謝神
[00:05:24.600 --> 00:05:27.600]  我們紀念神為我們所做
[00:05:27.600 --> 00:05:31.600]  我們就不會成為一個自私自我的人
[00:05:31.600 --> 00:05:36.600]  我們就不會跟隨我們生命中有很多的偶像
[00:05:36.600 --> 00:05:39.600]  除了以色列人他們缺乏感恩
[00:05:39.600 --> 00:05:41.600]  他們也缺乏服從
[00:05:41.600 --> 00:05:47.600]  如果他們從過去的經驗學到功課的話
[00:05:47.600 --> 00:05:50.600]  他們就不會去拜外邦人的神
[00:05:50.600 --> 00:05:53.600]  就不會犯罪
[00:05:53.600 --> 00:05:56.600]  在《時詩記》裡的七字是很重要的
[00:05:56.600 --> 00:05:58.600]  我跟大家說過
[00:05:58.600 --> 00:06:01.600]  在《時詩記》裡一共有七個惡性循環
[00:06:01.600 --> 00:06:06.600]  就是以色列人不斷在罪裡面循環
[00:06:06.600 --> 00:06:09.600]  他們犯罪、拜偶像
[00:06:09.600 --> 00:06:13.600]  神就差派敵人來攻擊他們
[00:06:13.600 --> 00:06:15.600]  當他們被敵人壓迫
[00:06:15.600 --> 00:06:18.600]  他們很辛苦地向神呼求
[00:06:18.600 --> 00:06:21.600]  神又差派士師來救他們
[00:06:21.600 --> 00:06:24.600]  但救了他們之後
[00:06:24.600 --> 00:06:27.600]  又忘記了神又犯罪
