
[00:00:00.000 --> 00:00:06.000]  各位早安 新年快樂
[00:00:06.000 --> 00:00:11.000]  每年的新年很多人都去求福
[00:00:11.000 --> 00:00:16.000]  特別是香港人如果不是返教會就去廟宇求福
[00:00:16.000 --> 00:00:23.000]  上頭炷香 你見很虛澄 香港台灣
[00:00:23.000 --> 00:00:27.000]  就是希望求一年的福氣或者一生的福氣
[00:00:27.000 --> 00:00:32.000]  就是財富 健康 求福其實無可厚非
[00:00:32.000 --> 00:00:36.000]  我們每個人都盼望有健康 有財富
[00:00:36.000 --> 00:00:42.000]  不過在過程裏面你會感覺到很多人
[00:00:42.000 --> 00:00:49.000]  就會將求福的對象當作提款機
[00:00:49.000 --> 00:00:53.000]  有求必應 求多少給多少
[00:00:53.000 --> 00:00:58.000]  在聖經裏面提到上帝是賜福的主
[00:00:58.000 --> 00:01:01.000]  上帝是不可以成為一個提款機
[00:01:01.000 --> 00:01:06.000]  所以真正賜福 上帝按他的心意將最好給我們
[00:01:06.000 --> 00:01:11.000]  未必一定要給夠錢 未必一定要給即時的健康
[00:01:11.000 --> 00:01:13.000]  因為神有計劃
[00:01:13.000 --> 00:01:20.000]  今日我講這段經文 區亞特拉教會裏面有一個教導
[00:01:20.000 --> 00:01:25.000]  耶駛別 在當時來說是一種西族文化
[00:01:25.000 --> 00:01:28.000]  求財富 求健康
[00:01:28.000 --> 00:01:33.000]  在教會很受歡迎 因為大家都很想
[00:01:33.000 --> 00:01:37.000]  但是在聖經裏面說
[00:01:37.000 --> 00:01:41.000]  這件事將財富代替了上帝
[00:01:41.000 --> 00:01:45.000]  人們的重心就放在金錢裏
[00:01:45.000 --> 00:01:47.000]  就是拜馬媒不要上帝
[00:01:47.000 --> 00:01:51.000]  於是責備他們說他們行淫
[00:01:51.000 --> 00:01:55.000]  淫亂的意思是他們心不喜歡上帝 喜歡金錢
[00:01:55.000 --> 00:01:57.000]  這是一個最大的問題
[00:01:57.000 --> 00:02:01.000]  今日我們先看這段經文 經文相當長
[00:02:01.000 --> 00:02:03.000]  我們先讀一次
[00:02:03.000 --> 00:02:09.000]  你要寫信給區亞特拉教會的使者說
[00:02:09.000 --> 00:02:16.000]  神的兒子那位眼睛如火焰 雙腳像發亮的銅的這樣說
[00:02:16.000 --> 00:02:22.000]  我知道你的行為 愛心 信心 勤勞 忍耐
[00:02:22.000 --> 00:02:27.000]  又知道你末後所行的善 比起初所行的更多
[00:02:27.000 --> 00:02:31.000]  然而有一件事我要責備你
[00:02:31.000 --> 00:02:38.000]  就是你容忍那自稱是先知的婦人 耶駛別教唆我的國人
[00:02:38.000 --> 00:02:43.000]  引誘他們犯淫亂 吃掣偶像之物
[00:02:43.000 --> 00:02:49.000]  我曾給他悔改的機會 他卻不肯悔改他的任何
[00:02:49.000 --> 00:02:53.000]  看吧 我要使他病倒在床上
[00:02:53.000 --> 00:02:58.000]  那些與他犯奸淫的人若不悔改他們的行為
[00:02:58.000 --> 00:03:02.000]  我又要使他們同受大患
[00:03:02.000 --> 00:03:05.000]  我又要殺死他的兒女
[00:03:05.000 --> 00:03:10.000]  宗教會就知道我是那察罕人 肺腑深長的
[00:03:10.000 --> 00:03:14.000]  我要照你們的行為報應各人
[00:03:14.000 --> 00:03:18.000]  至於你們其餘的推也推拉人
[00:03:18.000 --> 00:03:21.000]  就是一切不隨從者教訓
[00:03:21.000 --> 00:03:26.000]  不明白他們所謂 察但心無知理的人
[00:03:26.000 --> 00:03:32.000]  我告訴你們 我不會再把別的擔子放在你們身上
