
[00:00:00.000 --> 00:00:10.840]  自從我們教會COVID之後搬回我們租的地方15號Library Lane之後
[00:00:10.840 --> 00:00:16.520]  我們一直處於一個困難的狀態
[00:00:16.520 --> 00:00:17.800]  是什麼狀態呢?
[00:00:17.800 --> 00:00:27.640]  就是有關於這個地方如何繼續我們在互聯網上的時工的發展
[00:00:27.640 --> 00:00:30.720]  或者推廣
[00:00:30.720 --> 00:00:32.960]  這裡有一個最大的問題
[00:00:32.960 --> 00:00:37.480]  這個地方非常好
[00:00:37.480 --> 00:00:46.200]  但是我們收不到市政府的無線網絡服務
[00:00:46.200 --> 00:00:52.960]  因此影響到自從在COVID的時候開始有的網絡直播
[00:00:52.960 --> 00:00:59.480]  以及如何即時做一些交流的方法
[00:00:59.480 --> 00:01:06.080]  我們曾經想過很多技術性的問題
[00:01:06.080 --> 00:01:10.640]  譬如我們試過用手提電話的流動網絡
[00:01:10.640 --> 00:01:16.000]  不過很可惜我們所處的這個地方
[00:01:16.000 --> 00:01:20.280]  屬於手提網絡的Dead Spot
[00:01:20.280 --> 00:01:22.560]  收不到訊號
[00:01:22.560 --> 00:01:25.880]  因為訊號在這個地方無法進來
[00:01:25.880 --> 00:01:29.200]  即使在室內或室外也好
[00:01:29.200 --> 00:01:33.120]  也無法收到這裡的訊號
[00:01:33.120 --> 00:01:34.720]  我們又想過
[00:01:34.720 --> 00:01:36.200]  如果是這樣的緣故
[00:01:36.200 --> 00:01:41.120]  不如我們嘗試用一些流動網絡的放大器
[00:01:41.120 --> 00:01:44.000]  所以你們在過去一年多裡
[00:01:44.000 --> 00:01:50.360]  經常會看到有些新的東西出現
[00:01:50.360 --> 00:01:51.400]  但又不行
[00:01:51.400 --> 00:01:57.320]  因為加拿大這些流動網絡的頻譜
[00:01:57.320 --> 00:02:04.440]  不是那麼容易從室外帶進來放大訊號
[00:02:04.440 --> 00:02:06.400]  我們又做不到
[00:02:06.400 --> 00:02:08.000]  於是我們又想過
[00:02:08.000 --> 00:02:12.400]  不如找一條遠距離的天線
[00:02:12.400 --> 00:02:16.720]  我們買了兩條天線
[00:02:16.720 --> 00:02:20.560]  其中一條我們竟然發現它收很遠
[00:02:20.560 --> 00:02:22.440]  收很遠的就行
[00:02:22.440 --> 00:02:24.360]  收近的就不行
[00:02:24.360 --> 00:02:26.360]  但收遠的就沒有我們的份
[00:02:26.360 --> 00:02:28.560]  因為那不是市政府的網絡
[00:02:28.560 --> 00:02:31.360]  我們收到遠遠的也沒什麼作用
[00:02:31.360 --> 00:02:34.280]  所以又不行
[00:02:34.280 --> 00:02:40.920]  我後來就想過不如用衛星網絡
[00:02:40.920 --> 00:02:44.920]  但大家知道衛星網絡不是便宜的東西
[00:02:44.920 --> 00:02:48.160]  教會每個月也要花一筆錢
[00:02:48.160 --> 00:02:50.120]  少數怕長計
[00:02:50.120 --> 00:02:56.000]  所以一直搞到頭昏腦脹
[00:02:56.000 --> 00:03:01.360]  網絡這件事我覺得在這個年代很重要
[00:03:01.360 --> 00:03:05.640]  不過當我們去看俄巴底亞書的時候
[00:03:05.640 --> 00:03:10.600]  我就發現我們的上主的網絡是很厲害的
[00:03:10.600 --> 00:03:13.320]  尤其是他的雷達網
[00:03:13.320 --> 00:03:17.480]  他收信息的技術可以畫得非常準確
[00:03:17.480 --> 00:03:20.440]  因為他看的不只是外在的環境
[00:03:20.440 --> 00:03:23.880]  並且他能夠滲透人心
[00:03:23.880 --> 00:03:25.000]  有時我這樣想
[00:03:25.000 --> 00:03:30.120]  如果我們教會可以有一個像上帝一樣的雷達網
[00:03:30.120 --> 00:03:31.480]  或者信息網
[00:03:31.480 --> 00:03:33.760]  那我們就不用搞那麼久
[00:03:33.760 --> 00:03:37.480]  搞我們那個所謂上網的服務
[00:03:37.480 --> 00:03:40.800]  或者那個直播
[00:03:40.800 --> 00:03:43.760]  上帝的網絡厲害到一個地步
[00:03:43.760 --> 00:03:50.600]  真的讓我們看到上帝很能夠偷視人的罪的性情
[00:03:50.600 --> 00:03:58.360]  並且可以適當地施加拯救的挽回行動
[00:03:58.360 --> 00:04:00.000]  行動結果是怎麼樣呢
[00:04:00.000 --> 00:04:02.640]  這是另一個話題
