
[00:00:00.000 --> 00:00:07.000]  今晚我們一起思想馬拉基書第三講
[00:00:07.000 --> 00:00:11.000]  經文是在馬拉基書第二章
[00:00:11.000 --> 00:00:18.000]  今晚比較短的經文,但裏面有很多很重要很豐富的訊息
[00:00:18.000 --> 00:00:24.000]  馬拉基書第二章我們看第十節到第十六節
[00:00:24.000 --> 00:00:27.000]  短短的七節聖經
[00:00:27.000 --> 00:00:31.000]  第十節到第十六節
[00:00:31.000 --> 00:00:37.000]  既然這麼短,我們今天很多人行完山,這麼夠氣
[00:00:37.000 --> 00:00:44.000]  一起讀,不用開這麼大聲,你們會後悔的
[00:00:44.000 --> 00:00:50.000]  第十節我們一起讀到第十六節
[00:00:50.000 --> 00:00:52.000]  我們一起來
[00:00:52.000 --> 00:00:59.000]  我們豈不是都是一位父嗎?豈不是一位神所造的嗎?
[00:00:59.000 --> 00:01:09.000]  我們各人怎麼以鬼詐待弟兄,背棄了神與我們列祖所立的約呢?
[00:01:09.000 --> 00:01:19.000]  猶大人行事鬼詐,並且在以色列和耶路撒冷中行一件可憎的事
[00:01:19.000 --> 00:01:25.000]  因為猶大人實屬耶和華所喜愛的聖潔
[00:01:25.000 --> 00:01:30.000]  取侍奉愛邦神的女子為妻
[00:01:30.000 --> 00:01:38.000]  凡行者時的,無論何人,就是獻供物給萬君之耶和華
[00:01:38.000 --> 00:01:44.000]  耶和華也必從雅各的帳篷中剪除他
[00:01:44.000 --> 00:01:55.000]  你們又行了一件這樣的事,使前妻嘆息哭泣的眼淚,遮蓋耶和華的痕
[00:01:55.000 --> 00:02:04.000]  以致耶和華不再看顧供物,也不樂意從你們手中收納
[00:02:04.000 --> 00:02:09.000]  你們還說這是為什麼呢?
[00:02:09.000 --> 00:02:16.000]  因耶和華在你和你幼年所娶的妻中間作證
[00:02:16.000 --> 00:02:22.000]  她卻是你的配偶,又是你盟約的妻
[00:02:22.000 --> 00:02:25.000]  你卻以鬼詐待她
[00:02:25.000 --> 00:02:34.000]  雖然神有靈的餘力,能做個人,她不是單做一人嗎?
[00:02:34.000 --> 00:02:42.000]  何以只做一人呢?乃是她怨人不虔誠的後裔
[00:02:42.000 --> 00:02:51.000]  所以當謹守你們的心,誰也不可以鬼詐待年年所娶的妻
[00:02:51.000 --> 00:02:54.000]  耶和華以色列的神說:
[00:02:54.000 --> 00:03:02.000]  「丘妻的事,和以強暴待妻的人,都是我所恨惡的」
[00:03:02.000 --> 00:03:08.000]  所以當謹守你們的心,不可行鬼詐
[00:03:08.000 --> 00:03:14.000]  這是耶和華說的,我們一起祈禱求主幫我們
[00:03:14.000 --> 00:03:18.000]  萬君的主,我們再次恭敬
[00:03:18.000 --> 00:03:24.000]  戰經來到你的面前,打開你自己對我們所說的話
[00:03:24.000 --> 00:03:29.000]  我們求聖靈幫助我們每一個人的心裡有一個接受的土壤
[00:03:29.000 --> 00:03:33.000]  你對我們說的話,我們願意衷心的接受
[00:03:33.000 --> 00:03:36.000]  求主你自己光照我們的內心
[00:03:36.000 --> 00:03:40.000]  讓我們得到你自己的真理,我們自己會反省
[00:03:40.000 --> 00:03:44.000]  又求聖靈幫助我們的生命有所改變
[00:03:44.000 --> 00:03:47.000]  以致我們不是白白的聽你的說話
[00:03:47.000 --> 00:03:53.000]  主啊,二千多年前,以色列人聽了你的說話並沒有遵行
[00:03:53.000 --> 00:03:58.000]  主啊,我們今天再聽的時候,願我們的心不是像他們那樣
[00:03:58.000 --> 00:04:03.000]  願我們的心願意接受,不再和你博取
[00:04:03.000 --> 00:04:09.000]  我們知道你的說話都是有意思,你的說話都是帶著英氣
[00:04:09.000 --> 00:04:15.000]  求主打開我們的心,接受你自己對我們所說的話
[00:04:15.000 --> 00:04:18.000]  奉耶穌的名,祈禱,阿們
[00:04:18.000 --> 00:04:25.000]  這一段聖經雖然很短
[00:04:25.000 --> 00:04:31.000]  但是剛才大家讀的時候會重複出現一個字眼
[00:04:31.000 --> 00:04:38.000]  就是鬼咋,待你的弟兄,鬼咋,待你的妻子
[00:04:38.000 --> 00:04:43.000]  中文譯為鬼咋,有一點可圈可點,沒有錯到
[00:04:43.000 --> 00:04:48.000]  不過並沒有完全表達那個意思
[00:04:48.000 --> 00:04:52.000]  雖然是短短的幾節聖經
[00:04:52.000 --> 00:04:56.000]  這個字重複出現了五次
[00:04:56.000 --> 00:05:01.000]  可以看到整段裡面,這是一個很核心的觀念
[00:05:01.000 --> 00:05:05.000]  原來這個希伯來文是Bagat這個字
[00:05:05.000 --> 00:05:08.000]  Bagat這個字怎麼譯呢
[00:05:08.000 --> 00:05:12.000]  可以譯成鬼咋,不過不是最準確的譯法
[00:05:12.000 --> 00:05:19.000]  Bagat這個字當時是中東的人
[00:05:19.000 --> 00:05:28.000]  中東的人用衣服包著自己的動作所產生出來的字眼
[00:05:28.000 --> 00:05:34.000]  大家可能未去過也看過一些紀錄片
[00:05:34.000 --> 00:05:38.000]  中東人很喜歡包著,因為太陽的緣故
[00:05:38.000 --> 00:05:42.000]  產生了一種很神秘的民族感
[00:05:42.000 --> 00:05:46.000]  包著頭,有時候包著臉,有時候封衣服
[00:05:46.000 --> 00:05:49.000]  突然間兩隻眼全身都包著
[00:05:49.000 --> 00:05:51.000]  究竟是什麼意思呢
[00:05:51.000 --> 00:05:56.000]  當然包著是必須要,但是慢慢形成了一種感覺
[00:05:56.000 --> 00:05:59.000]  給人的感覺就是內裡乾坤,不知道包著什麼
[00:05:59.000 --> 00:06:01.000]  裡面不知道有什麼料子
[00:06:01.000 --> 00:06:04.000]  那時候沒有槍,可能有刀
[00:06:04.000 --> 00:06:08.000]  包著走過來,沒什麼,有一刀出來
[00:06:08.000 --> 00:06:13.000]  就是說遮掩,遮蓋,隱藏了一些東西
[00:06:13.000 --> 00:06:18.000]  令你有一種威脅感,這個就是Bagat這個字
[00:06:18.000 --> 00:06:20.000]  所以這個不是一個好的字眼
