
[00:00:00.000 --> 00:00:08.700]  今天我和大家分享的題目是《認識耶穌》
[00:00:08.700 --> 00:00:14.900]  我會從約翰福音第一章第一節至第十四節
[00:00:14.900 --> 00:00:19.400]  來講關於我們認識耶穌
[00:00:19.400 --> 00:00:23.140]  但是在我未進入正題之前
[00:00:23.140 --> 00:00:26.240]  我想首先和大家講一講
[00:00:26.240 --> 00:00:32.040]  作者使徒約翰讓我們先認識他
[00:00:32.040 --> 00:00:39.040]  然後我們再來看他如何教我們認識主耶穌
[00:00:39.040 --> 00:00:44.640]  使徒約翰當他開始跟隨耶穌做門徒的時候
[00:00:44.640 --> 00:00:47.440]  應該只有二十多歲
[00:00:47.440 --> 00:00:52.640]  他應該是門徒當中年紀最輕的一位
[00:00:52.640 --> 00:00:57.640]  他也是門徒當中活得最長的
[00:00:57.640 --> 00:01:01.840]  當他寫聖經最後那本書《啓示錄》的時候
[00:01:01.840 --> 00:01:06.240]  當時他應該是八十多乘九十歲
[00:01:06.240 --> 00:01:11.240]  因為那個年份應該是主後大概九十五年
[00:01:11.240 --> 00:01:13.640]  所以他跟隨了耶穌
[00:01:13.640 --> 00:01:17.940]  服侍耶穌有六十多年
[00:01:17.940 --> 00:01:20.340]  這位約翰在聖經裡面
[00:01:20.340 --> 00:01:23.540]  他從來沒有提過自己的名字
[00:01:23.540 --> 00:01:27.140]  但是他用這樣來形容自己
[00:01:27.140 --> 00:01:31.040]  他說是耶穌所愛的門徒
[00:01:31.040 --> 00:01:34.040]  這個實在是一個很寶貴的名字
[00:01:34.040 --> 00:01:37.040]  如果耶穌是特別愛你的話
[00:01:37.040 --> 00:01:39.140]  你都不需要叫自己的名字
[00:01:39.140 --> 00:01:44.840]  你就叫自己做耶穌所愛的門徒就更加好了
[00:01:44.840 --> 00:01:48.740]  果然是耶穌特別愛約翰
[00:01:48.740 --> 00:01:53.740]  而約翰也是特別著重愛
[00:01:53.740 --> 00:01:56.640]  他寫有關愛這個主題
[00:01:56.640 --> 00:01:58.440]  在約翰福音
[00:01:58.440 --> 00:02:01.740]  在約翰一書、二書、三書裡面
[00:02:01.740 --> 00:02:05.940]  「愛」字是提了八十次
[00:02:05.940 --> 00:02:09.940]  可以說他是一個愛的仕途
[00:02:09.940 --> 00:02:12.240]  但是請問大家
[00:02:12.240 --> 00:02:15.840]  這位約翰是否從年輕的時候
[00:02:15.840 --> 00:02:18.140]  已經很有愛心呢?
[00:02:18.140 --> 00:02:22.140]  是否他生出來就是一個充滿了愛的人呢?
[00:02:22.140 --> 00:02:24.840]  一點都不是
[00:02:24.840 --> 00:02:26.940]  他來跟隨耶穌的時候
[00:02:26.940 --> 00:02:30.440]  是和他的兄長雅各
[00:02:30.440 --> 00:02:34.140]  是兩個人一起來跟隨耶穌的
[00:02:34.140 --> 00:02:37.340]  他的父親叫西比泰
[00:02:37.340 --> 00:02:40.740]  他的母親叫瑪利亞
[00:02:40.740 --> 00:02:45.940]  但是他是瑪利亞的Solomai
[00:02:45.940 --> 00:02:48.640]  索羅米
[00:02:48.640 --> 00:02:52.540]  好像是和耶穌的母親瑪利亞
[00:02:52.540 --> 00:02:54.740]  有些親戚關係
[00:02:54.740 --> 00:02:58.640]  可能他是耶穌的堂弟
[00:02:58.640 --> 00:03:00.240]  表弟
[00:03:00.240 --> 00:03:02.440]  是有些關係的
[00:03:02.440 --> 00:03:05.440]  因為當時拿撒勒
[00:03:05.440 --> 00:03:09.140]  加利利一帶不是很多人住
[00:03:09.140 --> 00:03:12.940]  所以大家的家庭是很熟的
[00:03:12.940 --> 00:03:15.740]  彼此之間通婚成為親戚
[00:03:15.740 --> 00:03:17.740]  是一點都不奇怪的
[00:03:17.740 --> 00:03:21.440]  但是雅各和約翰
[00:03:21.440 --> 00:03:23.240]  自從耶穌呼召他們之後
[00:03:23.240 --> 00:03:27.440]  就一生跟隨耶穌來服侍神
[00:03:27.440 --> 00:03:30.140]  來將福音傳開
[00:03:30.140 --> 00:03:32.440]  但是他年輕的時候
[00:03:32.440 --> 00:03:37.140]  聖經說這兩兄弟有個花名
[00:03:37.140 --> 00:03:41.440]  他的花名叫做雷子
[00:03:41.440 --> 00:03:43.940]  雷就是行雷的雷
[00:03:43.940 --> 00:03:45.840]  雷子
[00:03:45.840 --> 00:03:49.440]  這是《馬開福音》第三章第十七節介紹
[00:03:49.440 --> 00:03:52.940]  他們兩個人有一個名字
[00:03:52.940 --> 00:03:56.540]  是他們性情非常之剛烈
[00:03:56.540 --> 00:04:02.040]  甚至可以說是相當暴躁的一個人
[00:04:02.040 --> 00:04:05.840]  在《路加福音》第九章第五十四節
[00:04:05.840 --> 00:04:07.340]  是記載了一件事
[00:04:07.340 --> 00:04:08.840]  我們可以看到
[00:04:08.840 --> 00:04:13.340]  這個年輕的約翰和他的哥哥雅各
[00:04:13.340 --> 00:04:15.640]  是否充滿了愛呢?
[00:04:15.640 --> 00:04:17.040]  不是
[00:04:17.040 --> 00:04:19.740]  在《路加福音》第九章
[00:04:19.740 --> 00:04:22.140]  是說耶穌帶著門徒
[00:04:22.140 --> 00:04:25.840]  去到撒瑪利亞的地方
