
[00:00:00.000 --> 00:00:10.000]  今天跟大家分享的經文是出自於約爾書的第三章
[00:00:10.000 --> 00:00:12.000]  第一節至第三節
[00:00:12.000 --> 00:00:17.000]  在希伯萊文的聖經裡面其實就是屬於第四章
[00:00:17.000 --> 00:00:23.000]  在希伯萊文聖經的篇章上面給我們多了一章
[00:00:23.000 --> 00:00:27.000]  其實在上一次我們也都已經講解過這個情況
[00:00:27.000 --> 00:00:36.000]  希望大家也會留意,不過我們盡量跟著去和合本和英語的版本的章節一起去演讀
[00:00:36.000 --> 00:00:47.000]  今天跟大家一起分享的經文題目是《夜和華日子對普世的啟示》
[00:00:47.000 --> 00:00:53.000]  希望我們能夠透過約爾書第三章第一節至第三節的裡面
[00:00:53.000 --> 00:00:56.000]  能夠有一個清楚的形式
[00:00:56.000 --> 00:01:01.000]  在聖經的歷史觀察當中
[00:01:01.000 --> 00:01:07.000]  如果我們要去辨別一個人是否真的屬於上帝的話
[00:01:07.000 --> 00:01:16.000]  其實不是在乎那個人怎樣稱呼自己是與神有什麼關係或什麼名分
[00:01:16.000 --> 00:01:24.000]  更加不是代表那個人是否曾經受過洗禮,經過了一些宗教禮儀
[00:01:24.000 --> 00:01:29.000]  他就一定成為神不折不扣的子民
[00:01:29.000 --> 00:01:34.000]  更加我們理解到的,從約爾書當中我們明白到
[00:01:34.000 --> 00:01:38.000]  不是視乎一個人他究竟他的獻祭有多少
[00:01:38.000 --> 00:01:41.000]  用今天的字眼就是他的奉獻有多少
[00:01:41.000 --> 00:01:45.000]  來去斷定那個人是否真的屬於主
[00:01:45.000 --> 00:01:51.000]  一個人有沒有能夠有上帝同樣的心態
[00:01:51.000 --> 00:01:55.000]  而去看待神的產業和神的子民
[00:01:55.000 --> 00:02:00.000]  這個反而是正正在聖經裡面讓我看到
[00:02:00.000 --> 00:02:06.000]  一個真正是否屬於神的子民的一個很重要的標記
[00:02:06.000 --> 00:02:08.000]  我再重複說一次
[00:02:08.000 --> 00:02:13.000]  最重要的如何去顯出一個人是屬於上帝的人
[00:02:13.000 --> 00:02:23.000]  去看看他有沒有用上帝同樣的心態去看待他的子民和上帝的產業
[00:02:23.000 --> 00:02:31.000]  請大家留意,在這裡我不是說到神的子民他們就是完美無瑕的
[00:02:31.000 --> 00:02:37.000]  於是我們作為一個認為屬神的子民的話
[00:02:37.000 --> 00:02:45.000]  我們就是很盲目地去總言之應以色列民的要求
[00:02:45.000 --> 00:02:47.000]  他們想做什麼就做什麼
[00:02:47.000 --> 00:02:49.000]  其實不是這樣的意思
[00:02:49.000 --> 00:02:52.000]  其實在聖經裡面讓我們看見
[00:02:52.000 --> 00:02:55.000]  特別在這個整個世界的歷史當中
[00:02:55.000 --> 00:02:57.000]  在這個歷史的舞台裡面
[00:02:57.000 --> 00:03:00.000]  我們更加清楚看得到的一件事
[00:03:00.000 --> 00:03:07.000]  耶穌說的確是揀選了以色列人成為他的選民
[00:03:07.000 --> 00:03:15.000]  但是原來耶和神是藉著他們這幫選民他們的優勝劣敗的行徑
[00:03:15.000 --> 00:03:19.000]  以及他們的靈命和心思
[00:03:19.000 --> 00:03:25.000]  去讓我們去反映出今天我們是不是真是屬於神的子民
[00:03:25.000 --> 00:03:31.000]  究竟當我們看到如果神的子民他們是失敗的時候
[00:03:31.000 --> 00:03:35.000]  我們會不會也都是真的落井下石
[00:03:35.000 --> 00:03:39.000]  趁火打劫並且是乘虛而入
[00:03:39.000 --> 00:03:43.000]  希望從他們身上可以逃脫一些利益呢
[00:03:43.000 --> 00:03:49.000]  還是我們是帶著好像上帝這樣的心態去看待他的子民
[00:03:49.000 --> 00:03:55.000]  能夠讓他的子民仍然可以明白到上帝的心意可以回轉呢
[00:03:55.000 --> 00:03:59.000]  而我們也有沒有這份好像上帝一樣的心智呢
[00:03:59.000 --> 00:04:02.000]  這個反而是一個最重要的因素
[00:04:02.000 --> 00:04:06.000]  在這個這樣的大前提之下
[00:04:06.000 --> 00:04:12.000]  我們就發現到上帝其實是透過一個很重要的日子
[00:04:12.000 --> 00:04:14.000]  我們在前文已經說過很多次的
[00:04:14.000 --> 00:04:17.000]  叫做耶和華的日子
[00:04:17.000 --> 00:04:21.000]  在這個上帝那麼重要的日子裡面
[00:04:21.000 --> 00:04:25.000]  親自在他預定的日子和時間
[00:04:25.000 --> 00:04:34.000]  來臨到這個世界向整個普世進行一次完整的審判
[00:04:34.000 --> 00:04:42.000]  在這個過程當中就讓真正屬神的子民能夠重新顯現被篩選出來
[00:04:42.000 --> 00:04:45.000]  並且回歸到上帝的當中
[00:04:45.000 --> 00:04:48.000]  所以今天我們去看這段經文
[00:04:48.000 --> 00:04:51.000]  來到第三章的第一節至第三節
[00:04:51.000 --> 00:04:59.000]  是打開了耶和華神在這個耶和華日子裡面的審判的發展
[00:04:59.000 --> 00:05:06.000]  我們就趁著在這一段的經文裡面讓我們去重新去看一下
[00:05:06.000 --> 00:05:08.000]  耶和華神的日子
[00:05:08.000 --> 00:05:13.000]  究竟對於我們今天在這個普世的世界裡面
[00:05:13.000 --> 00:05:15.000]  無論你是基督徒也好
[00:05:15.000 --> 00:05:17.000]  不是基督徒也好
[00:05:17.000 --> 00:05:18.000]  你是猶太人也好
[00:05:18.000 --> 00:05:20.000]  不是猶太人也好
[00:05:20.000 --> 00:05:26.000]  究竟我們當中有什麼東西需要我們學習和提醒我們呢?
[00:05:26.000 --> 00:05:29.000]  從而使我們能夠學懂如何跟從上帝
[00:05:29.000 --> 00:05:36.000]  這就是今天我想打開第三章的藥語書的最重要的思想時間表
[00:05:36.000 --> 00:05:39.000]  不如讓我們再次打開這段經文
[00:05:39.000 --> 00:05:43.000]  我們一起去讀讀這三節的經文
[00:05:43.000 --> 00:05:46.000]  藥語書的第三章第一至第三節
[00:05:46.000 --> 00:05:53.000]  到那天,我使由大和耶路撒冷被擄之人歸回的時候
[00:05:53.000 --> 00:05:59.000]  我要聚集萬民,帶他們下到約沙發谷
[00:05:59.000 --> 00:06:02.000]  在那裡施行審判
[00:06:02.000 --> 00:06:08.000]  因為他們將我的百姓,就是我的產業以色列
[00:06:08.000 --> 00:06:13.000]  分散在列國中,又分取我的土地
[00:06:13.000 --> 00:06:24.000]  並為我的百姓念光,將童子換妓女,賣童女,賣酒喝
[00:06:24.000 --> 00:06:28.000]  在這段的聖經裡面,我們會分為兩部分去看的
