
[00:00:00.000 --> 00:00:06.600]  當我在構思今天的講道內容的時候
[00:00:06.600 --> 00:00:11.900]  我心裏面浮現了兩個講題
[00:00:11.900 --> 00:00:16.660]  一是問題 一個是答案
[00:00:16.660 --> 00:00:20.640]  問題比較吸引眼球
[00:00:20.640 --> 00:00:24.080]  比較刺激 比較有時代性
[00:00:24.080 --> 00:00:29.540]  為何上帝不如我預期
[00:00:29.540 --> 00:00:34.920]  為何上帝不像我預期
[00:00:34.920 --> 00:00:41.960]  過去幾年很多信徒很想問
[00:00:41.960 --> 00:00:47.860]  但最後我用了答案
[00:00:47.860 --> 00:00:51.880]  答案是回到聖經
[00:00:51.880 --> 00:00:57.260]  不是李錦鵬的答案 是上帝的答案
[00:00:57.260 --> 00:01:01.100]  你問上帝為何不像你預期 不是我回答
[00:01:01.100 --> 00:01:07.240]  是上帝回答 自有恩傳 活水來
[00:01:07.240 --> 00:01:13.700]  新約四福音是四位作者用不同的角度
[00:01:13.700 --> 00:01:17.000]  不同的筆法 不同的重點
[00:01:17.000 --> 00:01:21.320]  去記述耶穌的生平的故事
[00:01:21.320 --> 00:01:25.820]  其中約翰福音被譽為
[00:01:25.820 --> 00:01:30.620]  神學的內涵是最豐富
[00:01:30.620 --> 00:01:34.960]  早上我和早堂的弟弟姐妹說
[00:01:34.960 --> 00:01:38.520]  如果今早碰到街坊朋友
[00:01:38.520 --> 00:01:41.940]  問你去教會 教會你信什麼
[00:01:41.940 --> 00:01:43.940]  你說我信耶穌 信耶穌不關我的事
[00:01:43.940 --> 00:01:48.220]  我告訴你 我信的是生命之道
[00:01:48.220 --> 00:01:51.420]  講解這件事 沒錯
[00:01:51.420 --> 00:01:54.080]  基督徒所信的是生命之道
[00:01:54.080 --> 00:01:58.580]  生命之道的概念是甚麼呢 約翰福音
[00:01:58.580 --> 00:02:04.160]  可能知道約翰福音的份量是多重
[00:02:04.160 --> 00:02:10.100]  約翰福音作者斯徒約翰是耶穌最愛的門徒
[00:02:10.100 --> 00:02:17.880]  耶穌在十字架上最後將他的母親交給約翰
[00:02:17.880 --> 00:02:23.000]  跟瑪利亞說 約翰當你是你的兒子
[00:02:23.000 --> 00:02:31.000]  約翰你要服侍 侍奉瑪利亞 當你媽媽一樣
[00:02:31.000 --> 00:02:35.600]  托父 可想而知 耶穌與約翰的關係是多麼密切
[00:02:35.600 --> 00:02:40.220]  所以約翰所描繪的基督 描繪尼西亞
[00:02:40.220 --> 00:02:43.100]  是特別深入的
[00:02:43.100 --> 00:02:48.980]  如果讀約翰福音可以看到一個很特別的寫作方式
[00:02:48.980 --> 00:02:51.300]  特別我是一個寫作人
[00:02:51.300 --> 00:02:58.600]  我特別會很重視聖經文學的筆法
[00:02:58.600 --> 00:03:01.500]  很善用所謂對比
[00:03:01.500 --> 00:03:06.540]  對比可以產生一個比較強機器的效果
[00:03:06.540 --> 00:03:12.220]  光明 光 黑暗 對比
[00:03:12.220 --> 00:03:19.020]  好木人面對迷失的羊 對比
[00:03:19.020 --> 00:03:25.020]  活水江河面對安確的心靈 對比
[00:03:25.020 --> 00:03:29.680]  這個對比是一個很特別的文學的寫法
[00:03:29.680 --> 00:03:35.940]  在世界上很多東西是共存的
[00:03:35.940 --> 00:03:41.060]  前幾天很特別 講章準備好了
[00:03:41.060 --> 00:03:44.520]  但我每天都去準備的
[00:03:44.520 --> 00:03:47.220]  人家說你準備講章要多久的
[00:03:47.220 --> 00:03:52.240]  我說我每分鐘都在準備
[00:03:52.240 --> 00:03:54.900]  我會準備到最後一分鐘
[00:03:54.900 --> 00:03:57.900]  所以看到一篇好文章
[00:03:57.900 --> 00:04:01.500]  有一位相識幾十年的君子之交
[00:04:01.500 --> 00:04:04.180]  前港大副學長 也是教育學院院長
[00:04:04.180 --> 00:04:06.620]  香港很出色的教育家
[00:04:06.620 --> 00:04:09.900]  程介銘教授寫了一篇文章在信部
[00:04:09.900 --> 00:04:16.220]  文章叫做「陰陽對立與共存並存」
[00:04:16.220 --> 00:04:17.260]  以為講什麼哲學
[00:04:17.260 --> 00:04:21.180]  不是 它講的是一個很重要的教學原則
[00:04:21.180 --> 00:04:23.140]  他說在中國的詞彙當中
[00:04:23.140 --> 00:04:26.300]  很多詞彙是對比的
[00:04:26.300 --> 00:04:27.780]  兩個極端在一起的
[00:04:27.780 --> 00:04:37.060]  陰陽 生死 和福 聚合 出入 呼吸
[00:04:37.060 --> 00:04:40.620]  很多東西都是兩個對比的
[00:04:40.620 --> 00:04:44.740]  他特別用陰陽來講教育
[00:04:44.740 --> 00:04:46.300]  在教學的光譜當中
[00:04:46.300 --> 00:04:50.060]  我們看到陽那方面
[00:04:50.060 --> 00:04:53.700]  耀眼的光芒 卓越的成績
[00:04:53.700 --> 00:04:55.780]  競爭力 經濟力
[00:04:55.780 --> 00:04:57.780]  教學就是這樣
[00:04:57.780 --> 00:05:01.260]  排名很光芒
[00:05:01.260 --> 00:05:04.100]  陰那方面是什麼呢
[00:05:04.100 --> 00:05:09.460]  人的道德 價值觀 性情
[00:05:09.460 --> 00:05:11.220]  這些似乎看不到的
[00:05:11.220 --> 00:05:13.460]  但教育光譜應該是並存著
[00:05:13.460 --> 00:05:15.940]  又有陰又有陽
[00:05:15.940 --> 00:05:17.220]  一篇很好的文章
[00:05:17.220 --> 00:05:21.060]  很值得我們父母來到去了解一下
[00:05:21.060 --> 00:05:25.500]  你的教育子女是不是只注重陽那方面
[00:05:25.500 --> 00:05:27.300]  沒有陰那方面呢
[00:05:27.300 --> 00:05:28.460]  有時候教會也是的
[00:05:28.460 --> 00:05:31.180]  我們特別在這十幾二十年
[00:05:31.180 --> 00:05:34.740]  很多教會追求卓越 追求成功
[00:05:34.740 --> 00:05:37.100]  耀眼的光芒
[00:05:37.100 --> 00:05:44.820]  但看不到信徒那種潛在的質素對比
[00:05:44.820 --> 00:05:49.660]  約翰第七章很特別
[00:05:49.660 --> 00:05:52.220]  約翰寫作功力很深
[00:05:52.220 --> 00:05:54.620]  特別看《和學保祐》的時候
[00:05:54.620 --> 00:05:57.820]  你會發覺很混亂
[00:05:57.820 --> 00:06:01.980]  當時是相當混亂的場合
[00:06:01.980 --> 00:06:03.500]  相當混亂的場景
[00:06:03.500 --> 00:06:06.700]  看見很多人在說話
[00:06:06.700 --> 00:06:08.940]  眾星喧鬧
[00:06:08.940 --> 00:06:12.420]  發覺很難聽到說什麼
[00:06:12.420 --> 00:06:14.140]  唯獨耶穌說話
[00:06:14.140 --> 00:06:15.100]  你聽不聽到
[00:06:15.100 --> 00:06:20.820]  這也挺有時空的交錯 平行時空
