
[00:00:00.000 --> 00:00:04.320]  各位網友你們好
[00:00:04.320 --> 00:00:07.400]  歡迎大家收看心靈雞當這個節目
[00:00:07.400 --> 00:00:09.080]  我是蘇慧印牧師
[00:00:09.080 --> 00:00:13.840]  從這一集開始我想和大家每次討論
[00:00:13.840 --> 00:00:17.560]  路加呼音的神聖作為我們靈修之用
[00:00:17.560 --> 00:00:21.440]  今天我想和大家討論路加呼音第一章
[00:00:21.440 --> 00:00:26.000]  第一至第四節人生的逆轉
[00:00:26.000 --> 00:00:34.000]  或者我們看看這一節我們所說的人生逆轉的經文
[00:00:34.000 --> 00:00:37.120]  路加呼音第一章第一至第四節
[00:00:37.120 --> 00:00:39.440]  提阿非羅大人
[00:00:39.440 --> 00:00:42.400]  有好些事提不作書
[00:00:42.400 --> 00:00:45.680]  述是在我們中間所成就的事
[00:00:45.680 --> 00:00:50.400]  是照全路的人從起初親眼看見
[00:00:50.400 --> 00:00:52.400]  又傳給我們的
[00:00:52.400 --> 00:00:57.200]  這些事我既從起頭都詳細考察了
[00:00:57.200 --> 00:01:01.200]  就定義按著次序寫給你
[00:01:01.200 --> 00:01:05.600]  使你知道所學之道都是確實的
[00:01:05.600 --> 00:01:09.360]  路加呼音的作者是路加醫生
[00:01:09.360 --> 00:01:12.320]  也是司徒行主保羅的好拍檔
[00:01:12.320 --> 00:01:16.880]  在《新若聖經》當中有兩本書都是出自他的手筆
[00:01:16.880 --> 00:01:19.440]  路加呼音叫做上集
[00:01:19.440 --> 00:01:22.160]  司徒行主可以說是下集
[00:01:22.160 --> 00:01:27.680]  路加呼音和司徒行主不但文字優美
[00:01:27.680 --> 00:01:30.160]  而且主題是非常鮮明
[00:01:30.160 --> 00:01:31.680]  非常精心
[00:01:31.680 --> 00:01:35.600]  路加呼音是講道成肉身
[00:01:35.600 --> 00:01:38.320]  住在人間的一個故事
[00:01:38.320 --> 00:01:41.680]  是說耶穌在這個世代的時候
[00:01:41.680 --> 00:01:43.920]  所完成的救贖大功
[00:01:43.920 --> 00:01:47.760]  因為耶穌基督的救贖我們的生命可以大大的改變
[00:01:47.760 --> 00:01:50.960]  我們稱之為人生的大逆轉
