
[00:00:00.000 --> 00:00:03.000]  《The Prince of Egypt》
[00:00:03.000 --> 00:00:15.000]  剛才那首歌是一套迪士尼電影《The Prince of Egypt》出埃及記的主題曲
[00:00:15.000 --> 00:00:20.000]  原唱的是Maria Kelly和Winnie Houston
[00:00:20.000 --> 00:00:24.000]  我自己最喜歡的兩位女歌手
[00:00:24.000 --> 00:00:29.000]  今天為我們剛才唱出這麼美麗的這首歌的
[00:00:29.000 --> 00:00:35.000]  是兩位姓吳的同學吳思琦和吳卓恩
[00:00:35.000 --> 00:00:39.000]  加上劉子豪的鋼琴伴奏
[00:00:39.000 --> 00:00:42.000]  我不是很喜歡教會不准人拍手
[00:00:42.000 --> 00:00:45.000]  不如我們拍手多謝他們好不好
[00:00:45.000 --> 00:00:51.000]  劉子豪躲在哪裡
[00:00:51.000 --> 00:00:56.000]  這首歌我是看完這套電影之後
[00:00:56.000 --> 00:01:03.000]  再看YouTube上Maria Kelly和Winnie Houston唱的時候
[00:01:03.000 --> 00:01:10.000]  我才明白歌詞裏面是一個很美麗的一幅圖畫
[00:01:10.000 --> 00:01:16.000]  他說我們在很多個晚上在黑暗當中祈禱的時候
[00:01:16.000 --> 00:01:19.000]  我們都覺得沒什麼希望
[00:01:19.000 --> 00:01:21.000]  人生沒什麼希望
[00:01:21.000 --> 00:01:23.000]  生活沒什麼盼望
[00:01:23.000 --> 00:01:26.000]  沒什麼值得開心的東西
[00:01:26.000 --> 00:01:27.000]  不單只是這樣
[00:01:27.000 --> 00:01:31.000]  我們甚至對於前面的路是有點驚慌
[00:01:31.000 --> 00:01:33.000]  Now we are not afraid
[00:01:33.000 --> 00:01:37.000]  不過我們現在不再需要驚怕
[00:01:37.000 --> 00:01:41.000]  雖然我們仍然有很多值得我們驚怕的東西
[00:01:41.000 --> 00:01:44.000]  但是他說我們可以move mountains
[00:01:44.000 --> 00:01:47.000]  我們可以搬開個山
[00:01:47.000 --> 00:01:49.000]  我們可以打開個海
[00:01:49.000 --> 00:01:51.000]  為什麼可以這樣做呢
[00:01:51.000 --> 00:01:55.000]  因為如果我們相信的話
[00:01:55.000 --> 00:01:59.000]  如果我們還對於上帝有信心的話
[00:01:59.000 --> 00:02:01.000]  我們就可以這樣做
[00:02:01.000 --> 00:02:05.000]  大家都一定很熟悉摩西的故事
[00:02:05.000 --> 00:02:08.000]  《出埃及記》由第一章開始
[00:02:08.000 --> 00:02:11.000]  講到以色列人怎樣的
[00:02:11.000 --> 00:02:17.000]  在希臘、埃及受到欺壓
[00:02:17.000 --> 00:02:21.000]  然後上帝聽到他們的呼聲
[00:02:21.000 --> 00:02:24.000]  叫一個本來是王子
[00:02:24.000 --> 00:02:28.000]  後來變成了一個陰犯
[00:02:28.000 --> 00:02:31.000]  逃走到沙漠的摩西
[00:02:31.000 --> 00:02:36.000]  跟他說你要帶我的百姓離開這個地方
[00:02:36.000 --> 00:02:39.000]  第一個反應當時摩西就說
[00:02:39.000 --> 00:02:42.000]  我?你真的找我?
[00:02:42.000 --> 00:02:43.000]  你不是說笑吧
[00:02:43.000 --> 00:02:45.000]  我都不會說話的
[00:02:45.000 --> 00:02:47.000]  我又不懂政治的
[00:02:47.000 --> 00:02:49.000]  我又沒讀過正正系
[00:02:49.000 --> 00:02:54.000]  我怎樣可以跟法老王
[00:02:54.000 --> 00:03:01.000]  要求把幾十萬的以色列人帶出來呢
[00:03:01.000 --> 00:03:03.000]  我怎樣可以這樣做呢
[00:03:03.000 --> 00:03:07.000]  然後整個故事充滿著miracles
[00:03:07.000 --> 00:03:10.000]  充滿著一個又一個的神蹟
[00:03:10.000 --> 00:03:14.000]  直到上帝真的把他的子民帶出來
[00:03:14.000 --> 00:03:16.000]  所以他這裡說
[00:03:16.000 --> 00:03:17.000]  Don't hope is frail
[00:03:17.000 --> 00:03:24.000]  雖然今天盼望好像很渺茫、遙遠
[00:03:24.000 --> 00:03:26.000]  It's hard to kill
[00:03:26.000 --> 00:03:29.000]  但是不可以抹殺的
[00:03:29.000 --> 00:03:34.000]  是我們不應該將它忘記的
[00:03:34.000 --> 00:03:37.000]  Who knows what miracles you can achieve
[00:03:37.000 --> 00:03:40.000]  when you believe somehow you will
[00:03:40.000 --> 00:03:44.000]  當你真是相信的時候
[00:03:44.000 --> 00:03:47.000]  當你真是有信心的時候
[00:03:47.000 --> 00:03:52.000]  你怎知道其實又有些什麼神蹟
[00:03:52.000 --> 00:03:57.000]  上帝可以利用你利用香港
[00:03:57.000 --> 00:04:01.000]  去做一些什麼他要做的事情呢
[00:04:01.000 --> 00:04:07.000]  所以今天我想跟大家一起去思想的
[00:04:07.000 --> 00:04:11.000]  是一段有關信心的聖經
[00:04:11.000 --> 00:04:13.000]  大家一想到信心的聖經
[00:04:13.000 --> 00:04:16.000]  一定會想到我現在要讀的這一段
[00:04:16.000 --> 00:04:20.000]  希伯來書第十一章
[00:04:20.000 --> 00:04:27.000]  是聖經裡面最清楚的解釋什麼叫做信心
[00:04:27.000 --> 00:04:31.000]  希伯來書第十一章裡面這樣說
[00:04:31.000 --> 00:04:35.000]  他說信是所望之事的實體
[00:04:35.000 --> 00:04:39.000]  是未見之事的確據
[00:04:39.000 --> 00:04:45.000]  古人在這個信裡面得到美好的證據
[00:04:45.000 --> 00:04:49.000]  我完全不太明白這一句話說什麼
[00:04:49.000 --> 00:04:52.000]  什麼叫做未見之事的實體
