
[00:00:00.000 --> 00:00:04.040]  聽慣了很長的那些 你自己回家想一下
[00:00:04.040 --> 00:00:06.460]  一個小時很夠了
[00:00:06.460 --> 00:00:11.840]  差不多我將話題分成10段左右
[00:00:11.840 --> 00:00:14.580]  有一些我想著重澄清的
[00:00:14.580 --> 00:00:16.460]  就是究竟做爸爸媽媽
[00:00:16.460 --> 00:00:20.180]  你的心理怎樣一個最好的狀態
[00:00:20.180 --> 00:00:22.740]  影響你的子女 因為子女學你的
[00:00:22.740 --> 00:00:24.780]  第一個研究就是說
[00:00:24.780 --> 00:00:28.700]  心情不好 甚至抑鬱症的父母
[00:00:28.700 --> 00:00:32.800]  他的兒子有八成機會都是患抑鬱症的
[00:00:32.800 --> 00:00:36.940]  所以情緒是傳染的
[00:00:36.940 --> 00:00:41.260]  所以就算你兒子考到最後也好 也要開開心心
[00:00:41.260 --> 00:00:44.200]  如果不是 你輸兩件事
[00:00:44.200 --> 00:00:48.660]  到不成輸 還是一個精神病人 輸兩件事
[00:00:48.660 --> 00:00:51.540]  剛才我有機會和一間很好的學校
[00:00:51.540 --> 00:00:55.000]  我想你聽過《聖保羅男女》的中學生
[00:00:55.000 --> 00:01:00.000]  講那個下午一個對談 講大家的壓力
[00:01:00.000 --> 00:01:02.080]  他們問得很好的問題
[00:01:02.080 --> 00:01:04.560]  但是我很欣賞他們的家長
[00:01:04.560 --> 00:01:07.840]  我想用了很多心血去栽培
[00:01:07.840 --> 00:01:11.680]  不過講這些很出名的學校 很多時候都不幸
[00:01:11.680 --> 00:01:17.080]  就是我們都遇到每年都有視覺失調的學生
[00:01:17.080 --> 00:01:20.480]  其實不是每個新生都可以拼到盡的
[00:01:20.480 --> 00:01:22.080]  很多都不行的
[00:01:22.080 --> 00:01:27.460]  除了他有些先兆是不做功課 或者是絕學
[00:01:27.460 --> 00:01:29.440]  更加恐怖的地方就是
[00:01:29.440 --> 00:01:33.600]  到大約現在很流行在中五至中六的時候
[00:01:33.600 --> 00:01:35.740]  是患了視覺失調
[00:01:35.740 --> 00:01:37.500]  我不知道你知不知道什麼叫做視覺失調
[00:01:37.500 --> 00:01:40.540]  就是說突然間他的記憶力
[00:01:40.540 --> 00:01:45.100]  和他對於預測的能力突然間都沒有了
[00:01:45.100 --> 00:01:49.560]  也都因為這樣就要放棄這個DSE的考試
[00:01:49.560 --> 00:01:53.000]  也可以說是準備不要再讀書了
[00:01:53.000 --> 00:01:57.360]  所以就算你幼稚園小學中學都讀得很好也好
[00:01:57.360 --> 00:01:59.340]  你都避不開一個問題就是
[00:01:59.340 --> 00:02:03.320]  他突然間發作一些事情是你控制不了
[00:02:03.320 --> 00:02:05.720]  也都沒有人可以治療到的東西
[00:02:05.720 --> 00:02:08.240]  但是我講一些比較開心的東西就是
[00:02:08.240 --> 00:02:10.480]  小孩多數都是正常的
[00:02:10.480 --> 00:02:14.560]  特別懶和頑皮的小孩多數都是正常的
[00:02:14.560 --> 00:02:16.800]  就是多數都是正常的
[00:02:16.800 --> 00:02:19.820]  很少精神有問題的 很少的
[00:02:19.820 --> 00:02:24.900]  很少看到考尾幾的跳樓 很少的
[00:02:24.900 --> 00:02:28.520]  所以你就很奇怪 搞錯了
[00:02:28.520 --> 00:02:31.380]  出事通常都是讀得很好的小孩
[00:02:31.380 --> 00:02:35.440]  所以有時候你就明白到不要走極端
[00:02:35.440 --> 00:02:37.860]  你一極端了就有第二個問題
[00:02:37.860 --> 00:02:41.880]  比如說你稱讚你的小孩很細心
[00:02:41.880 --> 00:02:44.880]  看完又看 很仔細
[00:02:44.880 --> 00:02:47.800]  不過細心的小孩是沒有膽的
[00:02:47.800 --> 00:02:52.060]  所以他們以後在大學要做一些
[00:02:52.060 --> 00:02:54.440]  突然間要做一些比較深的東西
[00:02:54.440 --> 00:02:58.480]  要用一些嘗試精神他們就不行了
[00:02:58.480 --> 00:03:01.380]  所以很多時候你發現到小學讀得好
[00:03:01.380 --> 00:03:03.880]  不代表中學讀得好
[00:03:03.880 --> 00:03:06.460]  中學讀得好都不代表大學讀得好
