
[00:00:00.000 --> 00:00:02.000]  各位觀眾 您好 大家好
[00:00:02.000 --> 00:00:06.640]  我是鄭中華 今天很高興能夠與各位一齊在這裡討論一下
[00:00:06.640 --> 00:00:12.680]  在今天的節目中 我們有請了一位很好的朋友 叫做鄭中華先生
[00:00:12.680 --> 00:00:19.120]  鄭中華先生 鄭中華先生 您好 大家好 我是鄭中華先生
[00:00:19.120 --> 00:00:26.820]  鄭中華先生 您好 大家好 我是鄭中華先生 今天很高興能夠與各位一齊討論一下
[00:00:26.820 --> 00:00:30.700]  去明白 去領悟 我們感謝我們的主耶穌
[00:00:30.700 --> 00:00:35.960]  祢成為了這個愛的弱士 以致我們因著信靠祢
[00:00:35.960 --> 00:00:41.840]  能夠得以進入上帝的愛裡面 讓我們能夠體會明白 知道
[00:00:41.840 --> 00:00:47.360]  我們盼望能夠透過我們一齊的思想 我們在教會裡面的生活
[00:00:47.360 --> 00:00:50.560]  弟兄姊妹之間的互相交接 教會裡面的事工
[00:00:50.560 --> 00:00:57.100]  我們能夠對祢的愛 祢的能力 有更加透徹的體會
[00:00:57.100 --> 00:01:01.600]  以致我們能夠在這個世界上繼續來發揮當有的作用
[00:01:01.600 --> 00:01:05.400]  我們紀念到接下來復活節會有洗禮
[00:01:05.400 --> 00:01:09.400]  我們求主幫助那些願意接受洗禮的弟兄姊妹
[00:01:09.400 --> 00:01:14.400]  他們始至不渝的從今開始
[00:01:14.400 --> 00:01:17.400]  堅定不移的做主的門徒
[00:01:17.400 --> 00:01:19.800]  成為洗上面的光和鹽
[00:01:19.800 --> 00:01:21.800]  以致發揮作用
[00:01:21.800 --> 00:01:24.300]  我們來觀禮的 我們來打氣的
[00:01:24.300 --> 00:01:27.300]  我們都明白 當我們已經經過了洗禮之後
[00:01:27.300 --> 00:01:31.600]  我們不要忽略 不要忘記我們在主面前的承諾
[00:01:31.600 --> 00:01:33.900]  叫我們能夠繼續持守
[00:01:33.900 --> 00:01:39.200]  以致我們能夠可以發揮到主門徒在這個黑暗世代的作用
[00:01:39.200 --> 00:01:41.700]  透過我們教會的讀經計劃
[00:01:41.700 --> 00:01:46.100]  叫我們能夠持之以恆的來閱讀你的話語
[00:01:46.100 --> 00:01:48.400]  讓你的話語成為我們心靈裡面的供應
[00:01:48.400 --> 00:01:50.000]  叫我們能夠得到力量
[00:01:50.000 --> 00:01:53.800]  透過少少的培訓 讓參加的弟兄姊妹
[00:01:53.800 --> 00:01:56.400]  透過牧師的教導
[00:01:56.400 --> 00:01:58.800]  讓大家能夠在接下來的日子
[00:01:58.800 --> 00:02:01.300]  來學習努力的成長
[00:02:01.300 --> 00:02:07.900]  當我們都參與這個難民的支援的時候
[00:02:07.900 --> 00:02:13.600]  我們都知道我們教會正在為一些難民申請
[00:02:13.600 --> 00:02:14.800]  我們求主幫助我們
[00:02:14.800 --> 00:02:16.900]  讓這一家基督徒的移民
[00:02:16.900 --> 00:02:22.200]  這一套基督徒的難民能夠進入到加拿大的國境裡面
[00:02:22.200 --> 00:02:26.300]  能夠得到一個自由的空間來讓他們成長
[00:02:26.300 --> 00:02:27.900]  而更加我們都不可以忽略的
