
[00:00:00.000 --> 00:00:09.000]  今晚這個題目較為學術性一點
[00:00:09.000 --> 00:00:16.000]  但我不希望將它純粹成為一個學術研討會的晚上
[00:00:16.000 --> 00:00:23.000]  其實主要因為這個部分是我今年年底最遲希望下年年初
[00:00:23.000 --> 00:00:30.000]  希望今年年底會出最後一章的四分之三
[00:00:30.000 --> 00:00:35.000]  不過當我預備今晚的時候
[00:00:35.000 --> 00:00:41.000]  我又發覺要將一個較為嚴肅的學術問題
[00:00:41.000 --> 00:00:45.000]  轉成為一個講座是有它的困難的
[00:00:45.000 --> 00:00:49.000]  最大的困難當然是資料上太多
[00:00:49.000 --> 00:00:52.000]  未必可以在這裡講完
[00:00:52.000 --> 00:00:57.000]  所以待會我講的時候可能會比較籠統地講一些看法
[00:00:57.000 --> 00:01:01.000]  但背後有很多的根據
[00:01:01.000 --> 00:01:07.000]  有機會你買我出的那本書來看
[00:01:07.000 --> 00:01:09.000]  我不是在賣廣告
[00:01:09.000 --> 00:01:12.000]  你就會看到裡面是引自於哪裡哪裡
[00:01:12.000 --> 00:01:15.000]  哪本書、哪些經典、第幾章、第幾節
[00:01:15.000 --> 00:01:17.000]  為了省時間的緣故
[00:01:17.000 --> 00:01:19.000]  有時候我不一定會講完第幾章、第幾節
[00:01:19.000 --> 00:01:25.000]  甚至不會逐句在《古蘭經》或《摩門經》讀出來
[00:01:25.000 --> 00:01:31.000]  第二就是我也想過
[00:01:31.000 --> 00:01:38.000]  也有人問過為何今晚不邀請摩門教的代表
[00:01:38.000 --> 00:01:42.000]  邀請一位伊斯蘭教的代表上來大家一起對話呢?
[00:01:42.000 --> 00:01:45.000]  我相信這是一個很好的意見
[00:01:45.000 --> 00:01:47.000]  不過也有它的困難
[00:01:47.000 --> 00:01:53.000]  首先第一個困難就是這裡是基督教的教堂
[00:01:53.000 --> 00:01:59.000]  這些代表未必喜歡來這裡
[00:01:59.000 --> 00:02:05.000]  可能有人會說為何你不去愛群島伊斯蘭教協會舉行呢?
[00:02:05.000 --> 00:02:07.000]  所以地點也是一個困難
[00:02:07.000 --> 00:02:09.000]  不過今晚我來到的時候
[00:02:09.000 --> 00:02:14.000]  我知道有不少摩門教的代表和朋友
[00:02:14.000 --> 00:02:17.000]  也有伊斯蘭教的代表和朋友在這裡
[00:02:17.000 --> 00:02:22.000]  他們能夠進來基督教教堂聽講座
[00:02:22.000 --> 00:02:26.000]  對於他們來說也是一個很大的突破
[00:02:26.000 --> 00:02:27.000]  也很不容易
[00:02:27.000 --> 00:02:30.000]  不如我們基督徒為他們拍掌好不好?
[00:02:30.000 --> 00:02:36.000]  我們歡迎他們進來
[00:02:36.000 --> 00:02:39.000]  我們一起來思想
[00:02:39.000 --> 00:02:41.000]  另外還有一個原因
[00:02:41.000 --> 00:02:44.000]  如果有代表在這裡坐下來講的時候
[00:02:44.000 --> 00:02:49.000]  氣氛會比較緊張
[00:02:49.000 --> 00:02:52.000]  將來會比較緊張
[00:02:52.000 --> 00:02:56.000]  因為不同的宗教總是有不同的看法
[00:02:56.000 --> 00:02:59.000]  很多時候會比較意氣和感情用事
[00:02:59.000 --> 00:03:01.000]  也未必是一個好的事
[00:03:01.000 --> 00:03:04.000]  但最大的問題我相信就是今晚所希望的內容
[00:03:04.000 --> 00:03:06.000]  一個全面講一講的內容
[00:03:06.000 --> 00:03:08.000]  如果是有對話的話
