
[00:00:00.000 --> 00:00:13.000]  今日的題目很有趣,叫做英雄莫問出處,副標題是朱紅扇城的記號
[00:00:13.000 --> 00:00:21.000]  究竟英雄莫問出處和朱紅扇城的記號又有什麼關係呢?
[00:00:21.000 --> 00:00:27.000]  希望在結束之前能夠給大家一個完美的答案
[00:00:27.000 --> 00:00:39.000]  我們講到約書亞得道神的命令帶領以色列人進入加南地,進入應許之地
[00:00:39.000 --> 00:00:46.000]  於是約書亞派了兩個探子進入加南地,去到耶利哥城
[00:00:46.000 --> 00:00:52.000]  他們兩個人躲在拉合的家裡
[00:00:52.000 --> 00:01:00.000]  拉合是一個怎樣的人呢?根據聖經告訴我們,他是妓女拉合
[00:01:00.000 --> 00:01:05.000]  在世人的眼光來看,他是一個徹底的失敗者
[00:01:05.000 --> 00:01:11.000]  首先因為他是一個妓女,其次因為他是阿摩利人
[00:01:11.000 --> 00:01:16.000]  聖經告訴我們,阿摩利人是極之邪惡
[00:01:16.000 --> 00:01:19.000]  在《創世記》15章16節
[00:01:19.000 --> 00:01:28.000]  他們邪惡到一個地步,他們願意將自己的子女獻給他們的神,獻給他們的偶像
[00:01:28.000 --> 00:01:37.000]  在約書亞記的第二章,記載了妓女拉合的故事
[00:01:37.000 --> 00:01:45.000]  經文說,在約書亞記的二章九節,他在神的面前害怕、驚慌
[00:01:45.000 --> 00:01:52.000]  害怕是新譯本的翻譯,驚慌是和合本的翻譯
[00:01:52.000 --> 00:01:56.000]  說他在神的面前膽戰心驚
[00:01:56.000 --> 00:02:04.000]  現今世代的基督徒很少說神的怒氣,很少說到神的憤怒
[00:02:04.000 --> 00:02:10.000]  但是聖經就真的告訴我們,我們應該在神的面前戰驚
[00:02:10.000 --> 00:02:15.000]  有很多很多的經文,多到我不能夠寫出來
[00:02:15.000 --> 00:02:19.000]  也多到不能夠在這裡一一讀給大家聽
[00:02:19.000 --> 00:02:23.000]  但是我就會留在這裏,這個講義在powerpoint
[00:02:23.000 --> 00:02:26.000]  大家可以download來看一看
[00:02:26.000 --> 00:02:32.000]  通常我們都喜歡說,我們敬畏神,我們尊敬神
[00:02:32.000 --> 00:02:38.000]  的確,我們是需要敬畏,但是我們也需要戰驚
[00:02:38.000 --> 00:02:45.000]  我們很多時候將神描述成為一個慈愛的老人
[00:02:45.000 --> 00:02:51.000]  不斷在等候,等候人來悔改,等候人來接受他
[00:02:51.000 --> 00:02:56.000]  我們喜歡說神的愛,我們不喜歡說神的公義
[00:02:56.000 --> 00:02:59.000]  神的公義會怎樣?
[00:02:59.000 --> 00:03:05.000]  罪一定要得到審判,罪一定要得到懲罰,這個就是公義
[00:03:05.000 --> 00:03:09.000]  但是愛和公義都是神的屬性
[00:03:09.000 --> 00:03:13.000]  我們不能夠只是拿著神的愛大做文章
[00:03:13.000 --> 00:03:19.000]  這個就是一般的成功神學的傳道人
[00:03:19.000 --> 00:03:22.000]  就是拿著神的愛,神要祝福人
[00:03:22.000 --> 00:03:25.000]  但是他們就不說神的公義
[00:03:25.000 --> 00:03:28.000]  我們不能夠將神的屬性分開
[00:03:28.000 --> 00:03:31.000]  我們不能夠只要愛,不愛公義
[00:03:31.000 --> 00:03:34.000]  神的愛不要神的公義
[00:03:34.000 --> 00:03:42.000]  如果是這樣的話,我們就不會得到一個真真正正的造物者
[00:03:42.000 --> 00:03:45.000]  我們所得到的神只不過是部分
[00:03:45.000 --> 00:03:49.000]  這不是聖經教我們神是怎樣
[00:03:49.000 --> 00:03:53.000]  我們要接受神是接受整個神,他所有的屬性
[00:03:53.000 --> 00:03:56.000]  不能夠將他的屬性分開
[00:03:56.000 --> 00:04:01.000]  所以這位神真是大而可畏
[00:04:01.000 --> 00:04:04.000]  在神的面前真是需要賤敬
[00:04:04.000 --> 00:04:07.000]  尤其是那些不接受神的人
[00:04:07.000 --> 00:04:13.000]  他們更加是應該在神的面前賤敬
[00:04:13.000 --> 00:04:16.000]  拉合是一個阿摩利人
[00:04:16.000 --> 00:04:20.000]  他本來是注定要滅亡
[00:04:20.000 --> 00:04:22.000]  就好像我們每一個基督徒
[00:04:22.000 --> 00:04:27.000]  當我們未接受耶穌基督之前,我們都是注定要滅亡
[00:04:27.000 --> 00:04:30.000]  在《創世記》的15章13節
[00:04:30.000 --> 00:04:32.000]  神對阿伯拉罕說
[00:04:32.000 --> 00:04:36.000]  你的子孫要去到一個陌生人的地方
[00:04:36.000 --> 00:04:38.000]  你要寄居在那裡
[00:04:38.000 --> 00:04:41.000]  又要服侍當地的人
[00:04:41.000 --> 00:04:44.000]  寓言就是說以色列人將會去到埃及
[00:04:44.000 --> 00:04:49.000]  成為奴隸四百年來侍奉埃及人
[00:04:49.000 --> 00:04:52.000]  在《創世記》的15章16節
[00:04:52.000 --> 00:04:56.000]  說到了第四代他們必回到此地
[00:04:56.000 --> 00:05:00.000]  因為阿摩利人的罪孽還沒有滿盈
[00:05:00.000 --> 00:05:04.000]  你說,哎呀,這個神真是惡了
[00:05:04.000 --> 00:05:09.000]  在這裡等候,等到阿摩利人罪冠滿盈
[00:05:09.000 --> 00:05:11.000]  然後就懲罰他們
[00:05:11.000 --> 00:05:15.000]  但是你可不可以從另外一個角度來看
[00:05:15.000 --> 00:05:18.000]  神是耐心地在這裡等候
[00:05:18.000 --> 00:05:22.000]  神說阿摩利人的罪孽被惡冠滿盈
[00:05:22.000 --> 00:05:25.000]  我繼續給他們機會來悔改
[00:05:25.000 --> 00:05:28.000]  我等候他們,給他們機會
[00:05:28.000 --> 00:05:31.000]  神等候了多久?
[00:05:31.000 --> 00:05:33.000]  根據聖經說
[00:05:33.000 --> 00:05:36.000]  以色列人去到埃及地那四百年
[00:05:36.000 --> 00:05:41.000]  神就等了四百年給阿摩利人來悔改
[00:05:41.000 --> 00:05:43.000]  其實不止了
[00:05:43.000 --> 00:05:45.000]  因為如果我們再想清楚
[00:05:45.000 --> 00:05:48.000]  以色列人因為他們反叛神
[00:05:48.000 --> 00:05:51.000]  他們不想進入迦南地
[00:05:51.000 --> 00:05:54.000]  所以他們在曠野漂流四十年
[00:05:54.000 --> 00:05:59.000]  如果加起來,神給了他們四百四十年來悔改
[00:05:59.000 --> 00:06:03.000]  你想想這位神是多憐憫多慈愛
[00:06:03.000 --> 00:06:07.000]  他是希望阿摩利人能夠悔改
[00:06:07.000 --> 00:06:13.000]  很多人都說,都罵聖經
[00:06:13.000 --> 00:06:17.000]  聖經怎能靠一個妓女來救以色列人
[00:06:17.000 --> 00:06:20.000]  但是在聖經裡
[00:06:20.000 --> 00:06:22.000]  拉合是被高舉
[00:06:22.000 --> 00:06:25.000]  在新約雅各書第二章
[00:06:25.000 --> 00:06:29.000]  雅各是舉了兩個信心的例子
[00:06:29.000 --> 00:06:33.000]  一個就是信心之父阿伯拉罕
[00:06:33.000 --> 00:06:35.000]  另外一個就是拉合
[00:06:35.000 --> 00:06:40.000]  所以我們看到聖經真的很重視拉合的信心
[00:06:40.000 --> 00:06:44.000]  兩位都是因為信心而得救
[00:06:44.000 --> 00:06:47.000]  兩位都是有信心的行為
[00:06:47.000 --> 00:06:51.000]  這就是雅各書第二章告訴我們
[00:06:51.000 --> 00:06:54.000]  同樣在希伯來書十一章
[00:06:54.000 --> 00:06:58.000]  說了有很多信心的人
[00:06:58.000 --> 00:07:02.000]  我們常說這是信心的龍虎榜
[00:07:02.000 --> 00:07:05.000]  在這個信心的龍虎榜有多少位女士
[00:07:05.000 --> 00:07:07.000]  有兩位
[00:07:07.000 --> 00:07:11.000]  一位就是阿伯拉罕的妻子薩拉
[00:07:11.000 --> 00:07:15.000]  另外一位就是我們今天的主角拉合
[00:07:15.000 --> 00:07:19.000]  另外在耶穌基督的家譜
[00:07:19.000 --> 00:07:21.000]  一共是說了五個女子
[00:07:21.000 --> 00:07:24.000]  在家譜裡很少說女子
[00:07:24.000 --> 00:07:26.000]  所以這是很特別的
[00:07:26.000 --> 00:07:29.000]  她的名字是和范戀倫的他媽
[00:07:29.000 --> 00:07:31.000]  范奸淫的別士巴
[00:07:31.000 --> 00:07:35.000]  和那位外邦的摩訶女子路德
[00:07:35.000 --> 00:07:37.000]  放在一起
[00:07:37.000 --> 00:07:38.000]  為什麼呢?
[00:07:38.000 --> 00:07:42.000]  因為這些都是被人看低
[00:07:42.000 --> 00:07:45.000]  甚至是犯罪的罪人
