
[00:00:00.000 --> 00:00:12.800]  今天和大家一起去看的經文是到《約爾書》的第二章第一節到第二節的經文
[00:00:12.800 --> 00:00:21.000]  今天和大家一起思想的題目就是《耶華華的日子響起的號角》
[00:00:21.000 --> 00:00:27.000]  今天的經文是由《約爾書》第二章一到二節
[00:00:27.000 --> 00:00:33.000]  上文的題目是《耶華華的日子響起的號角》
[00:00:33.000 --> 00:00:37.000]  讓我們一起先一同打開聖經
[00:00:37.000 --> 00:00:40.000]  我們會讀一次這段經文
[00:00:40.000 --> 00:00:44.000]  我們會看第二章第一節到第二節
[00:00:44.000 --> 00:00:48.000]  我們一起打開讀和合本的版本
[00:00:48.000 --> 00:00:52.000]  你們要在石安吹角
[00:00:52.000 --> 00:00:56.000]  在我聖山吹出大聲
[00:00:56.000 --> 00:00:59.000]  國中的居民都要發戰
[00:00:59.000 --> 00:01:03.000]  因為耶華的日子將到
[00:01:03.000 --> 00:01:05.000]  已經臨近
[00:01:05.000 --> 00:01:09.000]  那日是黑暗幽冥
[00:01:09.000 --> 00:01:12.000]  蜜雲污黑的日子
[00:01:12.000 --> 00:01:16.000]  好像神光鋪滿山嶺
[00:01:16.000 --> 00:01:20.000]  有得大隊蝗蟲又大又強
[00:01:20.000 --> 00:01:22.000]  從來沒有這樣的
[00:01:22.000 --> 00:01:27.000]  以後直到萬代也必沒有
[00:01:27.000 --> 00:01:30.000]  不知道大家有沒有聽過廣東話裡邊
[00:01:30.000 --> 00:01:32.000]  有一句俗語就是說
[00:01:32.000 --> 00:01:34.000]  當你無道
[00:01:34.000 --> 00:01:37.000]  其實這句話的意思就是說
[00:01:37.000 --> 00:01:39.000]  那個人根本不理會你
[00:01:39.000 --> 00:01:40.000]  或者用英文說
[00:01:40.000 --> 00:01:42.000]  I don't care
[00:01:42.000 --> 00:01:46.000]  不要以為只有一些不相信主的人
[00:01:46.000 --> 00:01:48.000]  不相信上帝的人
[00:01:48.000 --> 00:01:51.000]  他們才說當上帝無道
[00:01:51.000 --> 00:01:56.000]  其實在今天的基督教會裡邊
[00:01:56.000 --> 00:01:58.000]  其實有不少的人
[00:01:58.000 --> 00:02:03.000]  雖然他們同樣掛著一個叫做教徒的名堂
[00:02:03.000 --> 00:02:08.000]  但其實他們同樣對上帝都是無道的
[00:02:08.000 --> 00:02:10.000]  如果你不信的話
[00:02:10.000 --> 00:02:13.000]  就不要以為那些人說
[00:02:13.000 --> 00:02:15.000]  他們因為不信才當神無道
[00:02:15.000 --> 00:02:18.000]  其實有些相信神的人
[00:02:18.000 --> 00:02:20.000]  他都當神無道的
[00:02:20.000 --> 00:02:25.000]  因為當他們以為自己做了神的子民之後
[00:02:25.000 --> 00:02:29.000]  平日的生活其實就不需要上帝去參與的
[00:02:29.000 --> 00:02:32.000]  最好上帝就不要參與
[00:02:32.000 --> 00:02:34.000]  在我每一天的生活裡邊
[00:02:34.000 --> 00:02:36.000]  因為為什麼
[00:02:36.000 --> 00:02:38.000]  如果上帝在這裡
[00:02:38.000 --> 00:02:40.000]  他樣樣都看得不順眼的時候
[00:02:40.000 --> 00:02:43.000]  就會阻住我去做我想做的事
[00:02:43.000 --> 00:02:46.000]  於是乎怎麼樣呢
[00:02:46.000 --> 00:02:49.000]  他們很多時候就使出一個絕招
[00:02:49.000 --> 00:02:51.000]  這個絕招就是什麼
[00:02:51.000 --> 00:02:54.000]  就是嘗試去安撫上帝
[00:02:54.000 --> 00:02:56.000]  於是乎怎麼樣呢
[00:02:56.000 --> 00:02:59.000]  每個星期或星期日或星期六
