
[00:00:00.000 --> 00:00:03.080]  各位聖誕快樂
[00:00:03.080 --> 00:00:06.540]  有沒有人血糖低呢?
[00:00:06.540 --> 00:00:10.160]  我想坐了很久了 很累的 很睏的
[00:00:10.160 --> 00:00:12.160]  可能又很餓
[00:00:12.160 --> 00:00:14.580]  總之全部都不聽港島的
[00:00:14.580 --> 00:00:21.700]  陳牧師都叫了我15分鐘之內
[00:00:21.700 --> 00:00:23.700]  我看著那個鐘
[00:00:23.700 --> 00:00:28.680]  講聖誕日 港島是一個很高的光榮
[00:00:28.680 --> 00:00:34.900]  不容易有教會請像我這樣的人講到聖誕日的
[00:00:34.900 --> 00:00:38.560]  多數都是講普通的家庭主日多
[00:00:38.560 --> 00:00:41.780]  但是這個光彩引起我想起
[00:00:41.780 --> 00:00:45.340]  都要想一下這個光彩更加重要就是
[00:00:45.340 --> 00:00:49.400]  基督徒怎樣在生活裏面發光
[00:00:49.400 --> 00:00:53.320]  所以題目名叫繼續照耀
[00:00:53.320 --> 00:00:57.500]  我爸爸今年去世
[00:00:57.500 --> 00:01:01.080]  他死之前時常都想回鄉下
[00:01:01.080 --> 00:01:03.900]  看看自己的祖屋
[00:01:03.900 --> 00:01:08.900]  因為我爺爺是一個很出名的人 在開平
[00:01:08.900 --> 00:01:11.120]  十幾年前我跟他回去的時候
[00:01:11.120 --> 00:01:14.000]  我發現我認識的爸爸是兩個人來的
[00:01:14.000 --> 00:01:17.200]  他很耐性 很有笑容
[00:01:17.200 --> 00:01:18.480]  說東西不貴
[00:01:18.480 --> 00:01:20.900]  這些全部都是香港反過來講的
[00:01:20.900 --> 00:01:24.100]  他什麼都說貴 什麼都不可以等
[00:01:24.100 --> 00:01:27.420]  但是那裏不知道為什麼性格脾氣很好
[00:01:27.420 --> 00:01:31.260]  因為他喜歡鄉下 他喜歡自己的鄉下
[00:01:31.260 --> 00:01:33.120]  這就想起
[00:01:33.120 --> 00:01:37.740]  其實創造這個世界 耶穌都來過這個世界
[00:01:37.740 --> 00:01:40.300]  如果他來馬鞍山 今天他穿西裝來
[00:01:40.300 --> 00:01:44.520]  他見到馬鞍山廣場、恆安、瑤安那些人病
[00:01:44.520 --> 00:01:46.080]  你猜他怎麼做呢?
[00:01:46.080 --> 00:01:50.260]  他做過這些人類 他會馬上治他
[00:01:50.260 --> 00:01:52.900]  如果有人是傷殘
[00:01:52.900 --> 00:01:58.420]  是他創造的人類 他一定會令他走回來
[00:01:58.420 --> 00:02:02.420]  如果有人死了一個最愛的兒子
[00:02:02.420 --> 00:02:05.320]  他可能會令他復活
[00:02:05.320 --> 00:02:07.740]  但當然現在不是
[00:02:07.740 --> 00:02:13.500]  但是你如果想起曾經創造世界的神耶穌
[00:02:13.500 --> 00:02:17.860]  剛才讀聖經說「太初有道」 這個道是耶穌
[00:02:17.860 --> 00:02:20.440]  他向他創造的東西 他會不會負責任呢?
[00:02:20.440 --> 00:02:22.440]  他一定會負責任
[00:02:22.440 --> 00:02:25.760]  他負責任到他自己道成肉身
[00:02:25.760 --> 00:02:29.720]  看看這個世界的人是怎麼生活
[00:02:29.720 --> 00:02:34.080]  又經驗一下那些人最痛苦的是什麼
[00:02:34.080 --> 00:02:38.040]  不過有時候我們會誤會很多關於耶穌的東西
[00:02:38.040 --> 00:02:44.480]  就是很多人信教是想著長壽和富貴
[00:02:44.480 --> 00:02:46.480]  偏偏耶穌是沒有的
[00:02:46.480 --> 00:02:48.480]  他沒有給錢人
[00:02:48.480 --> 00:02:52.480]  也治好人的病又不覆診
[00:02:52.480 --> 00:02:54.480]  又沒有保養
[00:02:54.480 --> 00:02:57.760]  最後死了 又死了
[00:02:57.760 --> 00:03:01.420]  耶穌治好的人全部最後都死了
[00:03:01.420 --> 00:03:05.620]  所以其實他不是重視長壽 不是重視富貴
[00:03:05.620 --> 00:03:09.460]  他重視今天我們看的聖經所說的道成肉身
[00:03:09.460 --> 00:03:14.160]  住在我們中間是有恩典 有真理
[00:03:14.160 --> 00:03:18.560]  他要人 一樣東西比病治好更重要
[00:03:18.560 --> 00:03:21.620]  就是他要治好的人不要再犯罪
[00:03:21.620 --> 00:03:25.580]  否則會比病更辛苦
[00:03:25.580 --> 00:03:28.320]  會比病更辛苦
[00:03:28.320 --> 00:03:30.940]  他想人有一個形象
[00:03:30.940 --> 00:03:34.880]  因為人有靈性 有一個聖潔的形象
[00:03:34.880 --> 00:03:38.260]  這是他的目的 來這個世界的
[00:03:38.260 --> 00:03:40.440]  所以有時候很多人會對他失望
[00:03:40.440 --> 00:03:42.840]  為什麼他沒有拿到一些錢給我
[00:03:42.840 --> 00:03:44.840]  沒有給我長命
[00:03:44.840 --> 00:03:46.840]  但是他要的是一個形象
[00:03:46.840 --> 00:03:48.840]  一個聖潔的形象
[00:03:48.840 --> 00:03:52.240]  是像當時他創造的人類
[00:03:52.240 --> 00:03:56.240]  像上帝的形象的樣子
[00:03:56.240 --> 00:03:59.240]  所以今天很多朋友洗禮
[00:03:59.240 --> 00:04:01.240]  有一本很好的聖經送給你
[00:04:01.240 --> 00:04:03.240]  你看看
[00:04:03.240 --> 00:04:07.640]  四福音的時候 四個寫關於耶穌的
[00:04:07.640 --> 00:04:09.640]  都寫得很震撼
[00:04:09.640 --> 00:04:12.440]  馬太是一個瑞麗
[00:04:12.440 --> 00:04:14.440]  她看錢看得很厲害的人
[00:04:14.440 --> 00:04:16.440]  但是她寫
[00:04:16.440 --> 00:04:18.440]  是寫耶穌說
[00:04:18.440 --> 00:04:20.440]  凡勞苦擔重擔的人
