
[00:00:00.000 --> 00:00:09.000]  請聽我讀出一段耶穌基督教導我們要警醒等候祂再來的經文,
[00:00:09.000 --> 00:00:16.000]  在《馬太福音》第25章1到13節。
[00:00:16.000 --> 00:00:25.000]  那時天國好比十個童女拿著燈出去迎接新郎。
[00:00:25.000 --> 00:00:40.000]  其中有五個是愚絕的,五個是聰明的。愚絕的拿著燈卻不預備由,聰明的拿著燈又預備由,在氣鳴裡。
[00:00:40.000 --> 00:00:48.000]  新郎辭言的時候,他們都打頓睡著了。半夜有人喊著說:
[00:00:48.000 --> 00:00:56.000]  「新郎來了,你們出來迎接他。」那些童女就都起來收拾燈。
[00:00:56.000 --> 00:01:03.000]  愚絕的對那聰明的說:「請分點油給我們,因為我們的燈要滅了。」
[00:01:03.000 --> 00:01:12.000]  聰明的回答說:「恐怕不夠你我用的,不如你們自己到賣油的那裡去買吧。」
[00:01:12.000 --> 00:01:21.000]  他們去買的時候,新郎到了,拿預備好了的和他進去坐席。門就關了,
[00:01:21.000 --> 00:01:28.000]  其餘的童女隨後也來了,說:「主呀!主呀!給我們開門。」
[00:01:28.000 --> 00:01:41.000]  他卻回答說:「我實在告訴你們,我不認識你們,所以你們要警醒,因為那日子那時辰,你們不知道。」
[00:01:41.000 --> 00:01:51.000]  這個比喻到底是對哪些人說的呢?
[00:01:51.000 --> 00:01:56.000]  如果我們只看《馬太福音》就不容易找到答案的。
[00:01:56.000 --> 00:02:03.000]  但是我們如果看《路加福音》第十三章二十到三十節,
[00:02:03.000 --> 00:02:07.000]  或者我們今天就不夠時間來讀這一段,
[00:02:07.000 --> 00:02:16.000]  我們就會發現非常可能這個童女的比喻,
[00:02:16.000 --> 00:02:23.000]  就是對那些和她一起上耶路撒冷的門徒。
[00:02:23.000 --> 00:02:30.000]  而在沿途的時候,耶穌說了很多的道和比喻,
[00:02:30.000 --> 00:02:35.000]  其中有一個就是這個十個童女的比喻。
[00:02:35.000 --> 00:02:41.000]  你們回去可以看這段經文十三章路加福音二十到三十節。
[00:02:41.000 --> 00:02:46.000]  但是為什麼耶穌要說這個比喻呢?
[00:02:46.000 --> 00:02:54.000]  當時的聽者是帶著什麼問題來,而耶穌又想藉著這個比喻回答他什麼問題呢?
[00:02:54.000 --> 00:03:02.000]  原來當時耶穌基督已經進入了他人生最後一個階段,
[00:03:02.000 --> 00:03:07.000]  這群門徒跟從他已經有三年的時間。
[00:03:07.000 --> 00:03:14.000]  耶穌基督說到那個天國,說到他和天父的關係,
[00:03:14.000 --> 00:03:20.000]  和門徒不可能不知道的,這個是尼塞亞,
[00:03:20.000 --> 00:03:27.000]  就是那個要救贖他們脫離種種剝削壓迫能力的這個人。
[00:03:27.000 --> 00:03:36.000]  但是他們沒有看到任何的一個跡象,是顯示耶穌基督慢慢會得權的。
[00:03:36.000 --> 00:03:50.000]  事實上反對他的勢力越來越惡劣,耶路撒冷全部都是埋伏著拔劍囂張的,預備要將他置於死地的人。
[00:03:50.000 --> 00:03:55.000]  他們等這個尼塞亞等得太久了,
[00:03:55.000 --> 00:04:04.000]  就好像這個比喻裡面的那些童女一樣,等得很久了。
[00:04:04.000 --> 00:04:14.000]  耶穌用這個比喻來向他們提到一個很重要的一個信息,
[00:04:14.000 --> 00:04:26.000]  就是越是黑暗的時候,越是灰心的時候,你要小心,那個越是人子要回來的時候。
[00:04:26.000 --> 00:04:31.000]  他用這個比喻來講,他自己要再回來。
[00:04:31.000 --> 00:04:37.000]  這個比喻在我們現代人讀起來就覺得很古怪的,
[00:04:37.000 --> 00:04:48.000]  因為我們沒有那個經驗,是和這個比喻所描述的那種婚禮是相近的。
[00:04:48.000 --> 00:04:54.000]  所以如果我們讀得老實的話,我們就會覺得有沒有可能的,
[00:04:54.000 --> 00:05:01.000]  什麼婚禮是這樣的,新郎走了去哪裡,三更半夜都不見人。
[00:05:01.000 --> 00:05:12.000]  我們就會覺得這個比喻是生安白造,就是為著耶穌的教訓來製造出來的,原來不是。
[00:05:12.000 --> 00:05:17.000]  在巴勒斯坦地區,2000年前就好像今天一樣,
[00:05:17.000 --> 00:05:23.000]  那個婚禮每一個小節都好像這裡所描寫的,
