
[00:00:00.000 --> 00:00:11.000]  今晚我想短短的時間我們回到上一次的第20章
[00:00:11.000 --> 00:00:20.640]  最後那幾節應該是在第21章
[00:00:20.640 --> 00:00:31.280]  原來在希伯來文的聖經裏面 真是第44節之後是歸21章的 不是20章的
[00:00:31.280 --> 00:00:38.280]  其實你看的時候很明顯最後那幾節是和21章有關連
[00:00:38.280 --> 00:00:40.080]  不關20章的事
[00:00:40.080 --> 00:00:42.880]  我想再回到前面一點
[00:00:42.880 --> 00:00:54.600]  上次我們查的時候 開頭那三十多節都是神在跟他們說 以前我怎樣帶你們出埃及
[00:00:54.600 --> 00:01:00.280]  怎樣一路來拯救你們 一路的施恩典給你們
[00:01:00.280 --> 00:01:04.960]  但是你們這班人很忘恩負義
[00:01:04.960 --> 00:01:12.000]  一有機會就離棄神 一有機會就拜偶像 一有機會就想回到埃及
[00:01:12.000 --> 00:01:14.000]  真是令到神很生氣
[00:01:14.000 --> 00:01:21.640]  但是上一次我們查第20章的時候 去到第33、34節
[00:01:21.640 --> 00:01:25.560]  上一次我們去到尾的時候 我們查得比較快一點
[00:01:25.560 --> 00:01:31.040]  神在那裏給他們看將來的圖畫
[00:01:31.040 --> 00:01:35.240]  即是33節前面都是說過去的
[00:01:35.240 --> 00:01:38.440]  說到過去全部都是不好的
[00:01:38.440 --> 00:01:44.320]  因為那些以色列人千方百計的要離棄神
[00:01:44.320 --> 00:01:50.400]  但是我們在主的裏面 雖然過去有很多不好的事
[00:01:50.400 --> 00:01:55.840]  但是神的恩典是在以後會給他們的
[00:01:55.840 --> 00:01:57.840]  所以你看看第34節
[00:01:57.840 --> 00:02:02.240]  他說我必用大能的手和伸出來的蚌臂
[00:02:02.240 --> 00:02:07.240]  並傾出來的憤怒 將你們從萬民當中領出來
[00:02:07.240 --> 00:02:11.520]  從分散的列國當中 焦聚你們
[00:02:11.520 --> 00:02:21.000]  這句就帶領他們 幾千年前出埃及是一個平衡的
[00:02:21.000 --> 00:02:26.840]  那時候你們在埃及那麼慘 你們的呼聲我聽到
[00:02:26.840 --> 00:02:31.480]  但是你們離棄了我幾千年 不知道要用多久時間
[00:02:31.480 --> 00:02:34.160]  但是神沒有放棄他們
[00:02:34.160 --> 00:02:36.160]  這是神的恩典
[00:02:36.160 --> 00:02:39.360]  有一天我會再帶領你們出來
[00:02:39.360 --> 00:02:43.080]  帶領你們出來在列國當中
[00:02:43.080 --> 00:02:46.200]  這次你們不是全部去埃及
[00:02:46.200 --> 00:02:49.720]  這次你們是在世界各地打散
[00:02:49.720 --> 00:02:56.440]  但是我會在你們分散的列國當中聚集你們
[00:02:56.440 --> 00:02:59.960]  這句預言對當時的人來說
[00:02:59.960 --> 00:03:03.960]  是剛剛開始打散他們
[00:03:03.960 --> 00:03:09.160]  其實還有幾個月的時間 他們才會亡國
[00:03:09.160 --> 00:03:13.720]  所以這是說到將來 我們今天還沒有完全看到
[00:03:13.720 --> 00:03:17.640]  但是我們今天開始看到一些焦聚
[00:03:17.640 --> 00:03:22.240]  在世界各地的猶太人被焦聚回去
[00:03:22.240 --> 00:03:24.920]  回去哪裡 回去以色列的地方
[00:03:24.920 --> 00:03:30.520]  所以34節開始給他們希望
[00:03:30.520 --> 00:03:33.880]  然後去到第40節的時候
[00:03:33.880 --> 00:03:37.160]  就直接說他們將會復興
[00:03:37.160 --> 00:03:40.440]  在我的聖山就是以色列高處的山
[00:03:40.440 --> 00:03:43.400]  所有以色列全家都要侍奉我
[00:03:43.400 --> 00:03:45.400]  這個我們今天看不到的
[00:03:45.400 --> 00:03:48.280]  但是在將來我們會看到
[00:03:48.280 --> 00:03:51.800]  整個以色列家都認識耶和華
[00:03:51.800 --> 00:03:55.240]  不再在山上拜偶像
[00:03:55.240 --> 00:03:59.240]  在山上敬拜侍奉
[00:03:59.240 --> 00:04:02.200]  然後神說我在那裡會約納你們
[00:04:02.200 --> 00:04:04.680]  一切的聖物會在那裡約納你們
[00:04:04.680 --> 00:04:06.200]  第41節繼續說
[00:04:06.200 --> 00:04:08.920]  我要在萬民當中領你們出來
[00:04:08.920 --> 00:04:11.640]  在分散的列國當中焦聚你們
[00:04:11.640 --> 00:04:13.480]  再和他們說一次
[00:04:13.480 --> 00:04:15.000]  說會這樣做的
[00:04:15.000 --> 00:04:19.000]  那時我必約納你好像興香的祭
[00:04:19.000 --> 00:04:25.560]  你們在神的面前不再是那麼惱教那麼臭
[00:04:25.560 --> 00:04:27.880]  但是一個興香的祭
[00:04:27.880 --> 00:04:32.680]  要在外邦人眼前在你身上顯為聖
[00:04:32.680 --> 00:04:36.120]  他們會再一次彰顯在他們身上
[00:04:36.120 --> 00:04:38.440]  彰顯神的聖潔
[00:04:38.440 --> 00:04:42.520]  這個猶太人從來都沒有的
[00:04:42.520 --> 00:04:45.720]  我要領你們進入以色列地
[00:04:45.720 --> 00:04:48.440]  就是我起誓應許賜給你們列祖之地
[00:04:48.440 --> 00:04:52.600]  那時你們就知道我是耶和華
[00:04:52.600 --> 00:04:56.200]  所以這裡是上一次我們第20章
[00:04:56.200 --> 00:04:59.240]  尾那裡是給他們一個希望
[00:04:59.240 --> 00:05:02.120]  這個我們查書的時候也是的
[00:05:02.120 --> 00:05:05.880]  神是罵完懲罰完審判完之後
[00:05:05.880 --> 00:05:08.440]  就因為是很愛惜
[00:05:08.440 --> 00:05:10.040]  所以好像我們打完
[00:05:10.040 --> 00:05:11.160]  我們這些兒子不是打了
[00:05:11.160 --> 00:05:11.960]  在美國不能打
[00:05:11.960 --> 00:05:14.920]  罵完罵完很生氣了
[00:05:14.920 --> 00:05:16.760]  真的想把他們扔掉
[00:05:16.760 --> 00:05:18.600]  但是你的心還是愛他們
[00:05:18.600 --> 00:05:19.720]  所以到最後的時候
[00:05:19.720 --> 00:05:20.760]  還是告訴他們
[00:05:20.760 --> 00:05:22.040]  我還是愛你們
[00:05:22.040 --> 00:05:24.200]  我要帶你們回來
[00:05:24.200 --> 00:05:28.280]  然後我們去到45節
[00:05:28.280 --> 00:05:29.880]  就好像我們停在那裡
[00:05:29.880 --> 00:05:32.760]  我們說這個不是在第20章
[00:05:32.760 --> 00:05:34.520]  應該是第21章
[00:05:34.520 --> 00:05:35.800]  我剛才說
[00:05:35.800 --> 00:05:38.920]  原來我這幾天才知道
[00:05:38.920 --> 00:05:42.200]  原來在希伯來的聖經裡面
[00:05:42.200 --> 00:05:44.440]  是45節開始
[00:05:44.440 --> 00:05:46.040]  是落在第21章
[00:05:46.040 --> 00:05:47.560]  不知道為什麼英文聖經
[00:05:47.560 --> 00:05:49.000]  是把它放在第20章
[00:05:49.000 --> 00:05:49.720]  很奇怪
[00:05:49.720 --> 00:05:51.240]  不合適在那裡
[00:05:51.240 --> 00:05:52.760]  好了我們開始看
[00:05:52.760 --> 00:05:53.480]  46節
[00:05:53.480 --> 00:05:57.880]  人子啊你要面向南方
[00:05:57.880 --> 00:06:04.120]  向南下御賢攻擊南方田野的樹林
[00:06:04.120 --> 00:06:05.720]  這裡提到御賢
[00:06:05.720 --> 00:06:09.080]  其實整個20章45節
[00:06:09.080 --> 00:06:12.120]  一直到21章32節
[00:06:12.120 --> 00:06:14.840]  是有6個的御賢在這裡
[00:06:14.840 --> 00:06:16.760]  裡面全部所說的東西
[00:06:16.760 --> 00:06:18.040]  都是還沒有發生的
[00:06:18.040 --> 00:06:20.520]  當時有一些的御賢
[00:06:20.520 --> 00:06:21.800]  就是幾年之後
[00:06:21.800 --> 00:06:23.240]  五年之後
[00:06:23.240 --> 00:06:26.760]  當巴比倫來攻打耶路撒冷的時候
[00:06:26.760 --> 00:06:28.600]  那時候就出現了
[00:06:28.600 --> 00:06:30.600]  但是這裡所說的東西
[00:06:30.600 --> 00:06:31.400]  全部都是
[00:06:31.400 --> 00:06:32.920]  要不就是五年之後
[00:06:32.920 --> 00:06:34.760]  要不就是末世的時候
[00:06:34.760 --> 00:06:37.480]  全部對他們那時候來說
[00:06:37.480 --> 00:06:39.160]  是御賢來的
[00:06:39.160 --> 00:06:40.200]  第一個御賢
[00:06:40.200 --> 00:06:41.240]  第一個御賢就是
[00:06:41.240 --> 00:06:45.080]  上帝的火將會燒向猶大國
[00:06:45.080 --> 00:06:46.520]  大家看第98頁
[00:06:46.520 --> 00:06:47.400]  筆記那裡
[00:06:47.400 --> 00:06:50.840]  45節到49節
[00:06:50.840 --> 00:06:51.720]  第20章
[00:06:51.720 --> 00:06:53.960]  是火
[00:06:53.960 --> 00:06:55.720]  用到火這件事
[00:06:55.720 --> 00:06:59.240]  一會我們看第21章
[00:06:59.240 --> 00:07:00.680]  大多數的蝙蝠
[00:07:00.680 --> 00:07:03.560]  是會用刀或者是用劍
[00:07:03.560 --> 00:07:05.320]  所以第21章
[00:07:05.320 --> 00:07:08.600]  也都叫做是刀劍的詩
[00:07:08.600 --> 00:07:11.640]  現在在第20章尾的時候
[00:07:11.640 --> 00:07:13.720]  這裡神是說用火
[00:07:13.720 --> 00:07:17.960]  但是他要以西傑先向南面來看
[00:07:17.960 --> 00:07:19.320]  而且這裡一說
[00:07:19.320 --> 00:07:20.760]  說了三次
[00:07:20.760 --> 00:07:22.040]  第46節
[00:07:22.040 --> 00:07:24.440]  你要面向南方
[00:07:24.440 --> 00:07:26.600]  然後向南
[00:07:26.600 --> 00:07:28.040]  說你的御賢
[00:07:28.040 --> 00:07:31.640]  攻擊南方的田野和樹林
[00:07:31.640 --> 00:07:32.600]  第47節
[00:07:32.600 --> 00:07:35.640]  對南方的樹林說了四次
[00:07:36.120 --> 00:07:39.000]  這裡說了四次向南
