
[00:00:00.000 --> 00:00:08.640]  上一次我和大家講了以色列人是怎樣過約旦河
[00:00:08.640 --> 00:00:12.320]  神是挑釁約書亞
[00:00:12.320 --> 00:00:16.640]  要叫以色列人的祭司抬著約櫃
[00:00:16.640 --> 00:00:18.960]  踏足進入約旦河
[00:00:18.960 --> 00:00:23.040]  要距離以色列人2000蚤的距離
[00:00:23.040 --> 00:00:26.640]  讓他們清楚能夠望見神的約櫃
[00:00:26.640 --> 00:00:31.520]  而當祭司踏足進入約旦河
[00:00:31.520 --> 00:00:33.520]  約旦河水就分開
[00:00:33.520 --> 00:00:35.520]  以色列人就可以過去
[00:00:35.520 --> 00:00:38.640]  今天我們看到在這一章的書
[00:00:38.640 --> 00:00:42.080]  神是叫以色列人來紀念這件事
[00:00:42.080 --> 00:00:44.800]  紀念這個神蹟奇事
[00:00:44.800 --> 00:00:49.360]  我們將來的希望都是建立在過去
[00:00:49.360 --> 00:00:52.320]  神怎樣來祝福保守我們
[00:00:52.320 --> 00:00:57.920]  所以神是要清楚地叫以色列人來紀念祂的作為
[00:00:57.920 --> 00:01:02.080]  祂也清楚地給約書亞指示
[00:01:02.080 --> 00:01:06.080]  怎樣來建立這個紀念碑
[00:01:06.080 --> 00:01:08.080]  我們剛才讀過的經文
[00:01:08.080 --> 00:01:13.280]  其實一個紀念、一個記號
[00:01:13.280 --> 00:01:15.280]  本身是沒有什麼特別的
[00:01:15.280 --> 00:01:21.120]  但是記號所指著的另外一件事就很重要了
[00:01:21.120 --> 00:01:23.680]  就好像那堆石頭一樣
[00:01:23.680 --> 00:01:25.920]  沒有什麼意思的
[00:01:25.920 --> 00:01:30.160]  但是指著的是神與以色列人同在
[00:01:30.160 --> 00:01:32.960]  神怎樣來保守以色列人
[00:01:32.960 --> 00:01:34.960]  在約翰福音裡面
[00:01:34.960 --> 00:01:39.200]  所有的神蹟奇事都有一個特別的名稱
[00:01:39.200 --> 00:01:43.200]  叫他們做記號、標記
[00:01:43.200 --> 00:01:47.600]  這個就是意思說在約翰福音裡面的神蹟奇事
[00:01:47.600 --> 00:01:51.040]  後面都有一個很特別的教訓
[00:01:51.040 --> 00:01:54.080]  我在Pasadena的一間教會
[00:01:54.080 --> 00:01:56.080]  以前講道的時候
[00:01:56.080 --> 00:01:59.520]  我也講過約書亞記裡面的神蹟
[00:01:59.520 --> 00:02:07.440]  我已經將這個系列放進了我們CCAC粵語部的APP裡面
