
[00:00:00.000 --> 00:00:08.000]  我們多謝敬拜小組用詩歌來目讓我們
[00:00:08.000 --> 00:00:13.000]  我們學習查經的時候有一個叫做歸納查經法
[00:00:13.000 --> 00:00:16.000]  歸納查經法有三個步驟
[00:00:16.000 --> 00:00:18.000]  首先我們觀察經文
[00:00:18.000 --> 00:00:20.000]  接著我們去解釋
[00:00:20.000 --> 00:00:22.000]  然後應用
[00:00:22.000 --> 00:00:28.000]  這個歸納的查經方法是幫助我們明白聖經裏面的信息
[00:00:28.000 --> 00:00:30.000]  當我們觀察經文的時候
[00:00:30.000 --> 00:00:32.000]  觀察越是入微
[00:00:32.000 --> 00:00:35.000]  我們的解釋越是正確
[00:00:35.000 --> 00:00:37.000]  我們的應用越是貼切
[00:00:37.000 --> 00:00:40.000]  我們觀察的時候就要提問
[00:00:40.000 --> 00:00:42.000]  特別是一些敘述的經文
[00:00:42.000 --> 00:00:44.000]  譬如福音書這一類的
[00:00:44.000 --> 00:00:47.000]  我們就會問出有六個問題
[00:00:47.000 --> 00:00:52.000]  何人何事何故何處何事何法
[00:00:52.000 --> 00:00:55.000]  這六個問題當我們發問的時候
[00:00:55.000 --> 00:01:00.000]  我們就會了解到經文裏面的中心思想和意義
[00:01:00.000 --> 00:01:05.000]  我們就用這六個問題來思想今天這個主題
[00:01:05.000 --> 00:01:07.000]  目讓會眾
[00:01:07.000 --> 00:01:09.000]  反過來講的話
[00:01:09.000 --> 00:01:11.000]  會眾的目讓
[00:01:11.000 --> 00:01:13.000]  首先我們問第一個問題
[00:01:13.000 --> 00:01:15.000]  何人
[00:01:15.000 --> 00:01:17.000]  什麼人才是目人呢
[00:01:17.000 --> 00:01:19.000]  我們往往有觀念
[00:01:19.000 --> 00:01:23.000]  就說牧師、傳道、生命導師
[00:01:23.000 --> 00:01:25.000]  當然這些是全職的牧人
[00:01:25.000 --> 00:01:31.000]  教會所聘請回來的全職的牧人來目讓會眾
[00:01:31.000 --> 00:01:34.000]  但是按照著我們所讀的經文
[00:01:34.000 --> 00:01:40.000]  使徒彼得他當時在教會裏面的身份是長老
[00:01:40.000 --> 00:01:44.000]  他寫信給當時的宗教會
[00:01:44.000 --> 00:01:49.000]  對宗教會的弟兄姊妹來勸勉
[00:01:49.000 --> 00:01:51.000]  他說我這作長老的
[00:01:51.000 --> 00:01:56.000]  勸你們中間和我一同做長老的人
[00:01:56.000 --> 00:02:01.000]  就說是他寫信給當時帶領教會的弟兄姊妹
[00:02:01.000 --> 00:02:05.000]  他說做基督受苦的見證
[00:02:05.000 --> 00:02:09.000]  這一班當時教會的長老
[00:02:09.000 --> 00:02:15.000]  他們都是看過耶穌基督在世上的時候所忍受的苦難
[00:02:15.000 --> 00:02:20.000]  而且他們身處在一個困難、苦難的環境裏面
[00:02:20.000 --> 00:02:23.000]  為基督來做見證
[00:02:23.000 --> 00:02:24.000]  不單止這樣
[00:02:24.000 --> 00:02:29.000]  他說同享後來所要顯現的榮耀
[00:02:29.000 --> 00:02:33.000]  同享這個字就是我們一般團契的希臘文
[00:02:33.000 --> 00:02:35.000]  Cornelia這個字
[00:02:35.000 --> 00:02:41.000]  和我們大家一齊來分享將來在基督耶穌裏面的榮耀
[00:02:41.000 --> 00:02:44.000]  他這個觀念上來說
[00:02:44.000 --> 00:02:51.000]  牧養教會不單是受薪的、全職的傳道人
[00:02:51.000 --> 00:02:54.000]  牧養教會
[00:02:54.000 --> 00:02:58.000]  我們要將這個觀念推廣一點來思想一下
[00:02:58.000 --> 00:03:02.000]  究竟誰才是牧人呢?
[00:03:02.000 --> 00:03:06.000]  在仕途彼得的觀念裏面來看的話
[00:03:06.000 --> 00:03:09.000]  不單止是他一個是牧人
[00:03:11.000 --> 00:03:16.000]  而且在不同身處的環境裏面
[00:03:16.000 --> 00:03:21.000]  我們受派去牧養我們指定的範圍
[00:03:21.000 --> 00:03:24.000]  譬如你是一個主一學的老師
[00:03:24.000 --> 00:03:31.000]  主託付你二十個兒童主一學的學員
[00:03:31.000 --> 00:03:35.000]  青少年的學員或者成人的學員
[00:03:35.000 --> 00:03:38.000]  這二十個學生
[00:03:38.000 --> 00:03:41.000]  在這三個月、這一季裏面
[00:03:41.000 --> 00:03:45.000]  就是主託付給我去牧養的羊群
[00:03:45.000 --> 00:03:49.000]  於是我就有這個小牧人的功能
[00:03:49.000 --> 00:03:54.000]  在裏面用神的話語、用愛心來牧養
[00:03:54.000 --> 00:03:58.000]  如果你是唱詩班的、敬拜小祖的
[00:03:58.000 --> 00:04:00.000]  神給你有音樂的恩賜
[00:04:00.000 --> 00:04:06.000]  你在音樂裏面透過詩歌來得到心靈裏面有一個牧養
[00:04:06.000 --> 00:04:09.000]  然後你帶領我們敬拜的時候
[00:04:09.000 --> 00:04:12.000]  就用詩歌來牧養我們
