
[00:00:00.000 --> 00:00:05.680]  今天要分享的是一個德高望重的宗教領袖
[00:00:05.680 --> 00:00:12.880]  他竟然要三更半夜 夜媽媽去找耶穌
[00:00:12.880 --> 00:00:14.560]  為什麼呢?
[00:00:14.560 --> 00:00:17.360]  你可能有求教於人的經驗
[00:00:17.360 --> 00:00:20.000]  但你有沒有試過要鬼鬼祟祟
[00:00:20.000 --> 00:00:22.880]  要夜媽媽去找呢?
[00:00:22.880 --> 00:00:25.280]  究竟他為什麼要夜媽媽呢?
[00:00:25.280 --> 00:00:28.800]  他有沒有找對的人呢?
[00:00:28.800 --> 00:00:31.360]  我們現在就試試時光倒流
[00:00:31.360 --> 00:00:37.040]  我將大家一起帶到二千多年前耶穌的家
[00:00:37.040 --> 00:00:39.760]  耶穌在一個小村莊
[00:00:39.760 --> 00:00:42.240]  晚上當然沒有街燈
[00:00:42.240 --> 00:00:46.560]  其實耶穌可能已經準備睡覺
[00:00:46.560 --> 00:00:52.480]  怎麼會在晚上突然有人敲門
[00:00:52.480 --> 00:00:55.120]  可能是耶穌走出去看
[00:00:55.120 --> 00:00:57.600]  一應門看到一個人
[00:00:57.600 --> 00:01:02.400]  一看樣子就知道他是一類人
[00:01:02.400 --> 00:01:07.200]  也經過介紹就知道他是非等閒之輩
[00:01:07.200 --> 00:01:08.400]  聖經這樣說
[00:01:08.400 --> 00:01:11.040]  在《若行福音》三章一節
[00:01:11.040 --> 00:01:15.440]  有一個法利塞人名叫尼哥底姆
[00:01:15.440 --> 00:01:18.240]  是猶太人的官
[00:01:18.240 --> 00:01:20.480]  一說到法利塞人
[00:01:20.480 --> 00:01:23.440]  又不知道大家有什麼感覺
[00:01:24.320 --> 00:01:26.960]  有姐妹很坦白說
[00:01:26.960 --> 00:01:28.160]  是壞人
[00:01:28.160 --> 00:01:30.880]  法利塞人就是壞人
[00:01:30.880 --> 00:01:32.960]  我們現代的信徒
[00:01:32.960 --> 00:01:34.720]  很多人都是這樣想的
[00:01:34.720 --> 00:01:36.480]  有負面的印象
[00:01:36.480 --> 00:01:38.560]  但可能因為他看了聖經
[00:01:38.560 --> 00:01:40.880]  他知道法利塞人也是壞人
[00:01:40.880 --> 00:01:43.520]  在《馬太福音》二十三章
[00:01:43.520 --> 00:01:45.200]  有很多節經文
[00:01:45.200 --> 00:01:47.760]  一路耶穌都是罵法利塞人的
[00:01:47.760 --> 00:01:50.800]  我只是抽節錄幾句給大家看
[00:01:50.800 --> 00:01:53.040]  在二十三章第十三節
[00:01:53.040 --> 00:01:58.160]  你們這群假冒為善的民事和法利塞人有禍了
[00:01:58.160 --> 00:02:00.560]  因為你們正當人前
[00:02:00.560 --> 00:02:04.800]  將天國的門關了
[00:02:04.800 --> 00:02:07.120]  自己不進去
[00:02:07.120 --> 00:02:08.880]  也不讓其他人進去
[00:02:08.880 --> 00:02:10.720]  法利塞人是這樣的
[00:02:10.720 --> 00:02:12.240]  另外二十三節
[00:02:12.240 --> 00:02:14.480]  我們看第三行最後
[00:02:14.480 --> 00:02:18.000]  在律法上更重要的事
[00:02:18.000 --> 00:02:21.440]  就是公義、憐憫、信實
[00:02:21.440 --> 00:02:24.000]  你們反而不做
[00:02:24.000 --> 00:02:25.920]  就是做律法上的事
[00:02:25.920 --> 00:02:30.400]  但是公義、憐憫、信實反而不做
[00:02:30.400 --> 00:02:32.960]  第二十七節第三行
[00:02:32.960 --> 00:02:36.800]  你們好像粉色的墳墓
[00:02:36.800 --> 00:02:37.840]  即是怎樣
[00:02:37.840 --> 00:02:39.360]  外面好看
[00:02:39.360 --> 00:02:45.120]  裡面裝了死人的骨頭和一切的污穢
[00:02:45.120 --> 00:02:47.120]  哇 耶穌都罵得很白
