
[00:00:00.000 --> 00:00:02.000]  請主來平安
[00:00:02.000 --> 00:00:04.000]  這篇第一篇
[00:00:04.000 --> 00:00:06.000]  我猜想你們很多人都懂得背
[00:00:06.000 --> 00:00:08.000]  讀了很多次了
[00:00:08.000 --> 00:00:10.000]  很熟悉的一篇詩篇
[00:00:10.000 --> 00:00:12.000]  我也是從很小就開始背
[00:00:12.000 --> 00:00:14.000]  到現在我還可以記得
[00:00:14.000 --> 00:00:16.000]  小時候背過的五個字
[00:00:16.000 --> 00:00:18.000]  五個字
[00:00:18.000 --> 00:00:20.000]  我都記得
[00:00:20.000 --> 00:00:22.000]  我記得
[00:00:22.000 --> 00:00:24.000]  我記得
[00:00:24.000 --> 00:00:26.000]  我記得
[00:00:26.000 --> 00:00:28.000]  我記得
[00:00:28.000 --> 00:00:30.000]  小時候背過的五篇
[00:00:30.000 --> 00:00:32.000]  不同的詩篇
[00:00:32.000 --> 00:00:34.000]  第一篇
[00:00:34.000 --> 00:00:36.000]  是其中
[00:00:36.000 --> 00:00:38.000]  我們都會
[00:00:38.000 --> 00:00:40.000]  看過
[00:00:40.000 --> 00:00:42.000]  讀過
[00:00:42.000 --> 00:00:44.000]  說什麼的
[00:00:44.000 --> 00:00:46.000]  或者你心裡會再想
[00:00:46.000 --> 00:00:48.000]  還有什麼好說的
[00:00:48.000 --> 00:00:50.000]  短短的六節
[00:00:50.000 --> 00:00:52.000]  這一篇的詩篇
[00:00:52.000 --> 00:00:54.000]  其實
[00:00:54.000 --> 00:00:56.000]  很清楚
[00:00:56.000 --> 00:00:58.000]  很清楚是分開
[00:00:58.000 --> 00:01:00.000]  上中下
[00:01:00.000 --> 00:01:02.000]  三個部分
[00:01:02.000 --> 00:01:04.000]  哦 兩節
[00:01:04.000 --> 00:01:06.000]  一個部分是不是
[00:01:06.000 --> 00:01:08.000]  不是
[00:01:08.000 --> 00:01:10.000]  其實我們錯過了
[00:01:10.000 --> 00:01:12.000]  這一首詩篇
[00:01:12.000 --> 00:01:14.000]  中間在第三節
[00:01:14.000 --> 00:01:16.000]  它是
[00:01:16.000 --> 00:01:18.000]  用了一個
[00:01:18.000 --> 00:01:20.000]  比喻
[00:01:20.000 --> 00:01:22.000]  畫了一幅圖畫
[00:01:22.000 --> 00:01:24.000]  比喻
[00:01:24.000 --> 00:01:26.000]  它要
[00:01:26.000 --> 00:01:28.000]  象一棵樹
[00:01:28.000 --> 00:01:30.000]  象
[00:01:30.000 --> 00:01:32.000]  就是說比喻
[00:01:32.000 --> 00:01:34.000]  很相似的
[00:01:34.000 --> 00:01:36.000]  不是真的人變了一棵樹
[00:01:36.000 --> 00:01:38.000]  但是這棵是什麼樹
[00:01:38.000 --> 00:01:40.000]  這幅圖畫是什麼圖畫呢
[00:01:40.000 --> 00:01:42.000]  詩篇第一篇
[00:01:42.000 --> 00:01:44.000]  在它中間的部分
[00:01:44.000 --> 00:01:46.000]  它所描寫的
[00:01:46.000 --> 00:01:48.000]  形容的
[00:01:48.000 --> 00:01:50.000]  或者
[00:01:50.000 --> 00:01:52.000]  活畫在我們眼前的
[00:01:52.000 --> 00:01:54.000]  其實就是
[00:01:54.000 --> 00:01:56.000]  從蒼世紀
[00:01:56.000 --> 00:01:58.000]  到曾義賢
[00:01:58.000 --> 00:02:00.000]  都有提及過
[00:02:00.000 --> 00:02:02.000]  的生命樹
[00:02:02.000 --> 00:02:04.000]  我們對生命樹的印象
[00:02:04.000 --> 00:02:06.000]  就是神話的印象
[00:02:06.000 --> 00:02:08.000]  有一條龍守住
[00:02:08.000 --> 00:02:10.000]  英雄要過五關
[00:02:10.000 --> 00:02:12.000]  斬六將
[00:02:12.000 --> 00:02:14.000]  然後才拿到
[00:02:14.000 --> 00:02:16.000]  那個很寶貴的果子
[00:02:16.000 --> 00:02:18.000]  才能夠
[00:02:18.000 --> 00:02:20.000]  獲得
[00:02:20.000 --> 00:02:22.000]  很寶貴的果子
[00:02:22.000 --> 00:02:24.000]  自己不會吃的
[00:02:24.000 --> 00:02:26.000]  回去當然是給病了的媽媽
[00:02:26.000 --> 00:02:28.000]  吃了之後
[00:02:28.000 --> 00:02:30.000]  長生不老
[00:02:30.000 --> 00:02:32.000]  此乃生命樹
[00:02:32.000 --> 00:02:34.000]  錯了
[00:02:34.000 --> 00:02:36.000]  這個完全不是聖經的教導
[00:02:36.000 --> 00:02:38.000]  這個完全不是聖經的教導
[00:02:38.000 --> 00:02:40.000]  這個只是我們
[00:02:40.000 --> 00:02:42.000]  民間傳說
[00:02:42.000 --> 00:02:44.000]  這樣的一個
[00:02:44.000 --> 00:02:46.000]  故事
[00:02:46.000 --> 00:02:48.000]  生命樹
[00:02:48.000 --> 00:02:50.000]  不是人人都能吃的
[00:02:50.000 --> 00:02:54.000]  只有那個最厲害的英雄好漢
[00:02:54.000 --> 00:02:56.000]  吃了之後
[00:02:56.000 --> 00:02:58.000]  長生不老
[00:02:58.000 --> 00:03:00.000]  聖經從來都不是這樣說的
[00:03:00.000 --> 00:03:02.000]  所以書篇第一篇
[00:03:02.000 --> 00:03:04.000]  怎樣形容
[00:03:04.000 --> 00:03:06.000]  這一棵生命樹
[00:03:06.000 --> 00:03:08.000]  它說
[00:03:08.000 --> 00:03:10.000]  它栽在溪水旁
[00:03:10.000 --> 00:03:14.000]  按時候結果指
[00:03:14.000 --> 00:03:20.000]  葉子也不覆蓋
[00:03:20.000 --> 00:03:24.000]  有生命的一棵樹
[00:03:24.000 --> 00:03:26.000]  不是聖誕樹
[00:03:26.000 --> 00:03:30.000]  香港每次來到年尾
[00:03:30.000 --> 00:03:32.000]  你去那些大商場
[00:03:32.000 --> 00:03:34.000]  香港去哪裏啊
[00:03:34.000 --> 00:03:36.000]  太古吧
[00:03:36.000 --> 00:03:38.000]  最近吧
[00:03:38.000 --> 00:03:40.000]  不是啊 還有個太古廣場的
[00:03:40.000 --> 00:03:42.000]  那個才是真的
[00:03:42.000 --> 00:03:44.000]  如果我們在九龍
[00:03:44.000 --> 00:03:46.000]  Festival Walk
[00:03:46.000 --> 00:03:48.000]  又一城 很多的
[00:03:48.000 --> 00:03:50.000]  每一個廣場
[00:03:50.000 --> 00:03:52.000]  都一定有棵很大的聖誕樹
[00:03:52.000 --> 00:03:54.000]  每輪每換
[00:03:54.000 --> 00:03:56.000]  我們教會有個弟兄
[00:03:56.000 --> 00:03:58.000]  每年都去拍這些聖誕樹的照片
[00:03:58.000 --> 00:04:00.000]  然後編了一輯
[00:04:00.000 --> 00:04:02.000]  這樣展示給我們看
[00:04:02.000 --> 00:04:04.000]  真的很漂亮
[00:04:04.000 --> 00:04:06.000]  但那些沒有生命的
[00:04:06.000 --> 00:04:08.000]  你知道吧
[00:04:08.000 --> 00:04:10.000]  我都試過以前在加拿大住一間大屋
[00:04:10.000 --> 00:04:12.000]  於是就買了棵很大的聖誕樹
[00:04:12.000 --> 00:04:14.000]  兩層樓高的
