
[00:00:00.000 --> 00:00:06.000]  各位朋友,各位姐妹,我是許仕源
[00:00:06.000 --> 00:00:09.000]  首先我感謝你們教會今天的邀請
[00:00:09.000 --> 00:00:12.000]  可以在主日跟大家分享神的話
[00:00:12.000 --> 00:00:17.000]  我今天選擇的題目是「領悔改的心」雙稱
[00:00:17.000 --> 00:00:22.000]  而經文取自《馬太福音》第三章1至12節
[00:00:22.000 --> 00:00:24.000]  而同一段類似的經文
[00:00:24.000 --> 00:00:30.000]  都可以在《路加福音》第三章1至12節找到
[00:00:30.000 --> 00:00:34.000]  首先請聽我讀出經文的內容
[00:00:34.000 --> 00:00:38.000]  那時有施洗的約翰出來
[00:00:38.000 --> 00:00:41.000]  在猶大的曠野傳道說
[00:00:41.000 --> 00:00:44.000]  天國近遼,你們應當悔改
[00:00:44.000 --> 00:00:47.000]  這人就知先知在那所說的
[00:00:47.000 --> 00:00:51.000]  他說在曠野有人喊著說
[00:00:51.000 --> 00:00:55.000]  預備主的道,修逆他的路
[00:00:55.000 --> 00:00:58.000]  這約翰身穿落陀墓的衣服
[00:00:58.000 --> 00:01:02.000]  腰束皮帶,是的是黃蟲野蜜
[00:01:02.000 --> 00:01:06.000]  那時耶路撒冷和猶大傳遞
[00:01:06.000 --> 00:01:08.000]  令約翰河一帶敵方的人
[00:01:08.000 --> 00:01:11.000]  都出去到約翰那裡
[00:01:11.000 --> 00:01:13.000]  承認他們的罪
[00:01:13.000 --> 00:01:16.000]  在約翰河裡受他的洗
[00:01:16.000 --> 00:01:21.000]  約翰看見許多法利塞人和撒該都人也來受洗
[00:01:21.000 --> 00:01:23.000]  就對他們說
[00:01:23.000 --> 00:01:28.000]  毒蛇的種類,誰指示你們逃避將來的神路呢?
[00:01:28.000 --> 00:01:33.000]  你們要結出果子來與悔改的心相承
[00:01:33.000 --> 00:01:35.000]  不要自己心裡說
[00:01:35.000 --> 00:01:39.000]  由阿伯拉罕為我們的祖宗
[00:01:39.000 --> 00:01:41.000]  我告訴你們
[00:01:41.000 --> 00:01:44.000]  神能從這些石頭中
[00:01:44.000 --> 00:01:47.000]  吸阿伯拉罕的氣質出來
[00:01:47.000 --> 00:01:50.000]  現在苦子已經放在樹根上
[00:01:50.000 --> 00:01:54.000]  凡不結好果子的樹就撼下來
[00:01:54.000 --> 00:01:56.000]  凋在火裡
[00:01:56.000 --> 00:01:58.000]  我試用水給你們施洗
[00:01:58.000 --> 00:02:00.000]  叫你們悔改
[00:02:00.000 --> 00:02:05.000]  但那在我耳後來的能力比我更大
[00:02:05.000 --> 00:02:08.000]  我就是給他提鞋也不配
[00:02:08.000 --> 00:02:12.000]  他要用聖靈火給你們施洗
[00:02:12.000 --> 00:02:15.000]  他手裡拿著的波機
[00:02:15.000 --> 00:02:17.000]  要正揚他的牆
[00:02:17.000 --> 00:02:20.000]  等物質收在倉裡
[00:02:20.000 --> 00:02:24.000]  把腔用不盡的火燒盡
[00:02:24.000 --> 00:02:28.000]  在我解經之前一個很簡短的祈禱開始
[00:02:28.000 --> 00:02:32.000]  我們求你開我們的心
[00:02:32.000 --> 00:02:34.000]  叫神你的道讓我們明白
[00:02:34.000 --> 00:02:36.000]  也可以放在我們心裡
[00:02:36.000 --> 00:02:40.000]  我們今天的祈禱奉祝耶穌的名
[00:02:40.000 --> 00:02:44.000]  今天這段經文可能大家已熟能詳
[00:02:44.000 --> 00:02:48.000]  特別是對一些在教會的日子的人來說
[00:02:48.000 --> 00:02:51.000]  約翰出來傳道的時候
[00:02:51.000 --> 00:02:54.000]  第一句話是天國近了
[00:02:54.000 --> 00:02:56.000]  你們應當悔改
[00:02:56.000 --> 00:02:59.000]  這段經文雖然大家可能熟悉
[00:02:59.000 --> 00:03:03.000]  但其實有很多重要的原則
[00:03:03.000 --> 00:03:07.000]  今天我希望將這些原則解釋出來
[00:03:07.000 --> 00:03:09.000]  這段經文雖然很簡單
[00:03:09.000 --> 00:03:13.000]  但有幾個問題我們可以留意
[00:03:13.000 --> 00:03:18.000]  第一,當時耶路撒冷是一個宗教中心
[00:03:18.000 --> 00:03:21.000]  但很多人竟然到耶路撒冷以外
[00:03:21.000 --> 00:03:25.000]  入白堂的地方找約翰施洗
[00:03:25.000 --> 00:03:28.000]  這是第一個奇怪的事
[00:03:28.000 --> 00:03:32.000]  第二,當這些法尼塞人和撒該都人
[00:03:32.000 --> 00:03:35.000]  去找約翰受洗的時候
[00:03:35.000 --> 00:03:37.000]  約翰罵他們
[00:03:37.000 --> 00:03:40.000]  大家想想,如果今天有人去教會
[00:03:40.000 --> 00:03:43.000]  承認自己的罪叫,牧師和他洗禮
[00:03:43.000 --> 00:03:46.000]  可能大家都已經很開心
[00:03:46.000 --> 00:03:50.000]  但當這些法尼塞人和撒該都人受洗的時候
[00:03:50.000 --> 00:03:52.000]  約翰就罵他們
[00:03:52.000 --> 00:03:56.000]  第三,這裡提到將來
[00:03:56.000 --> 00:04:02.000]  未來的位置,耶穌會用聖靈所給人施洗
[00:04:02.000 --> 00:04:05.000]  我會解釋這段經文
[00:04:05.000 --> 00:04:08.000]  但這段經文有很多詞彙
[00:04:08.000 --> 00:04:11.000]  例如天國、悔改、結果子等等
[00:04:11.000 --> 00:04:14.000]  都是我們很多時候在教會上用的詞彙
[00:04:14.000 --> 00:04:17.000]  但真正的意思是甚麼呢?
[00:04:17.000 --> 00:04:20.000]  今天希望跟大家解釋
[00:04:20.000 --> 00:04:23.000]  因為如果我們不明白悔改是很危險的
[00:04:23.000 --> 00:04:28.000]  上世紀斯托德牧師和幾位牧師都提過
[00:04:28.000 --> 00:04:31.000]  我們傳福音要很小心
[00:04:31.000 --> 00:04:34.000]  因為如果我們叫人信耶穌基督,做救主
[00:04:34.000 --> 00:04:38.000]  而不解釋真正悔改的意思
[00:04:38.000 --> 00:04:41.000]  其實就是我們在傳播廉價的宿孽
[00:04:41.000 --> 00:04:44.000]  因為真正的福音是極之昂貴
[00:04:44.000 --> 00:04:47.000]  是我們主耶穌基督,神的兒子
[00:04:47.000 --> 00:04:50.000]  來到這個世界為我們贖罪
[00:04:50.000 --> 00:04:54.000]  是付出極之沉重的代價
[00:04:54.000 --> 00:04:58.000]  所以如果我們不解釋悔改的意思
[00:04:58.000 --> 00:05:02.000]  很多人以為我信,口裡承認,心裡相信就行了
[00:05:02.000 --> 00:05:05.000]  已經得救了,我就有天國的門票
[00:05:05.000 --> 00:05:08.000]  就完全不明白聖經裏面
[00:05:08.000 --> 00:05:11.000]  神真正教訓我們的說話
[00:05:11.000 --> 00:05:15.000]  所以我今天會特別詳細解釋這些悔改的事
[00:05:15.000 --> 00:05:18.000]  師弟約翰出來的時候
[00:05:18.000 --> 00:05:22.000]  說的話的訊息和耶穌基督出來的時候
[00:05:22.000 --> 00:05:25.000]  說的訊息是一致的
[00:05:25.000 --> 00:05:28.000]  他說:天國近遼,你們要悔改
[00:05:28.000 --> 00:05:31.000]  叫人們要結出果子來
[00:05:31.000 --> 00:05:34.000]  如果不結出果子,就會被砍下來,丟在火裏
[00:05:34.000 --> 00:05:38.000]  如果我們從第三章看到第四章到第七章
[00:05:38.000 --> 00:05:41.000]  一提到耶穌基督開始傳道
[00:05:41.000 --> 00:05:44.000]  第一句說話是一樣的
[00:05:44.000 --> 00:05:47.000]  天國近遼,你們要悔改,和師弟約翰一樣
