
[00:00:00.000 --> 00:00:05.420]  各位親愛的姐妹 各位早安
[00:00:05.420 --> 00:00:08.700]  今天是8月8日
[00:00:08.700 --> 00:00:13.240]  在華人的地方 我們就叫做「芭芭節」
[00:00:13.240 --> 00:00:15.660]  今天我所傳講的經文
[00:00:15.660 --> 00:00:20.400]  也是十屆的第四講
[00:00:20.400 --> 00:00:25.120]  當孝敬父母 又和芭芭節重疊
[00:00:25.120 --> 00:00:31.760]  所以我們也說說父親節的起源
[00:00:31.760 --> 00:00:33.840]  剛才我們讀了一段經文
[00:00:33.840 --> 00:00:36.560]  當孝敬父母洗禮的日子
[00:00:36.560 --> 00:00:41.020]  在夜話:你神所賜你的地上得以長久
[00:00:41.020 --> 00:00:44.000]  這句話不單是對個人
[00:00:44.000 --> 00:00:49.200]  也是當時對整個以色列民族所說的
[00:00:49.200 --> 00:00:55.240]  孝敬父母不單是個人在地上得以長久
[00:00:55.240 --> 00:00:58.240]  其實是說國家 一個民族
[00:00:58.240 --> 00:01:02.300]  一個國家的民族如果在孝敬的事情上
[00:01:02.300 --> 00:01:04.800]  在家庭的穩定
[00:01:04.800 --> 00:01:07.680]  這個國家就可以得以長久
[00:01:07.680 --> 00:01:10.000]  如果家庭不穩定 被歷史攻擊
[00:01:10.000 --> 00:01:12.480]  如果家庭崩離式
[00:01:12.480 --> 00:01:15.800]  父不為父 母不為母 子不為子
[00:01:15.800 --> 00:01:19.680]  亂了大龍 國家的民族會滅亡
[00:01:19.680 --> 00:01:22.080]  所以這句話是超越個人的
[00:01:22.080 --> 00:01:26.200]  不過經文裏面也包括國文
[00:01:26.200 --> 00:01:30.440]  所以在《耳窟所書》第六章一到二節
[00:01:30.440 --> 00:01:34.480]  就特別將重點放在個人那裏
[00:01:34.480 --> 00:01:39.640]  「你們作兒女要在主裏聽從父母」
[00:01:39.640 --> 00:01:41.920]  這個就是個體的
[00:01:41.920 --> 00:01:43.440]  這個是理所當然的
[00:01:43.440 --> 00:01:48.200]  要孝敬父母使你得福在世長壽
[00:01:48.200 --> 00:01:51.320]  這是第一條大英許的誡明
[00:01:51.320 --> 00:01:57.120]  保羅就將十誡整理了之後
[00:01:57.120 --> 00:02:00.320]  就將原來一個比較大的
[00:02:00.320 --> 00:02:03.520]  就是比較高層次的一個國家民族
[00:02:03.520 --> 00:02:05.920]  耶和華所治理的地上的長久
[00:02:05.920 --> 00:02:08.960]  那個國家民族的穩定性
[00:02:08.960 --> 00:02:11.080]  就帶回到個體
[00:02:11.080 --> 00:02:13.840]  就是要在主裏聽從父母
[00:02:13.840 --> 00:02:17.920]  孝敬父母 得福在世長壽
[00:02:17.920 --> 00:02:21.520]  並且他說這是第一條大英許的誡明
[00:02:21.520 --> 00:02:23.440]  就是說是有上次的
[00:02:23.440 --> 00:02:26.680]  上次不單只是一個國家民族
[00:02:26.680 --> 00:02:28.400]  也是個人
[00:02:28.400 --> 00:02:33.680]  所以孝敬父母就是從個人開始說
[00:02:33.680 --> 00:02:38.320]  剛才說過今天是8月8日 爸爸節
[00:02:38.320 --> 00:02:41.680]  那我很簡單說說父親節的起源
[00:02:41.680 --> 00:02:43.680]  母親節就很多人說的
[00:02:43.680 --> 00:02:45.960]  父親節其實就沒有很多人說
[00:02:45.960 --> 00:02:48.680]  我有個同學他有六個小孫子
[00:02:48.680 --> 00:02:50.680]  他說他家裏沒有甚麼地位
[00:02:50.680 --> 00:02:54.240]  那些人的子女全部都疼媽媽
