
[00:00:00.000 --> 00:00:02.440]  今天要分享的題目
[00:00:02.440 --> 00:00:04.120]  就去到第幾呢?
[00:00:04.120 --> 00:00:05.320]  舊約瀑人傳
[00:00:05.320 --> 00:00:07.040]  去到第八了
[00:00:07.040 --> 00:00:11.400]  就講關於撒姆爾和蘇羅的一些關係
[00:00:11.400 --> 00:00:13.120]  上一次分享到
[00:00:13.120 --> 00:00:16.320]  以色列民眾竟然不要一個
[00:00:16.320 --> 00:00:20.040]  為他撲心撲命的撒姆爾
[00:00:20.040 --> 00:00:23.800]  和不要撒姆爾兩個不肖子
[00:00:23.800 --> 00:00:28.120]  其實民眾骨子裡是厭棄上帝
[00:00:28.120 --> 00:00:31.400]  他們不想再有士師這個制度
[00:00:31.400 --> 00:00:34.000]  而很想好像其他國家一樣
[00:00:34.000 --> 00:00:36.840]  有個元首 有個君王
[00:00:36.840 --> 00:00:39.800]  究竟新王是怎樣誕生的呢?
[00:00:39.800 --> 00:00:41.920]  這位新王就是蘇羅
[00:00:41.920 --> 00:00:45.480]  我們可以從蘇羅身上的優點
[00:00:45.480 --> 00:00:47.320]  可能有些弟兄姊妹會說
[00:00:47.320 --> 00:00:49.280]  蘇羅有優點嗎?
[00:00:49.280 --> 00:00:50.760]  因為一想起蘇羅
[00:00:50.760 --> 00:00:52.920]  可能就想到他是一個不好的人
[00:00:52.920 --> 00:00:54.360]  一個壞人
[00:00:54.360 --> 00:00:55.840]  他有優點嗎?
[00:00:55.840 --> 00:00:56.720]  有的
[00:00:56.720 --> 00:00:59.080]  雖然可能難找一點
[00:00:59.080 --> 00:01:01.240]  但發覺他身上的優點
[00:01:01.240 --> 00:01:02.760]  可以成為我們一個提醒
[00:01:02.760 --> 00:01:06.280]  或者是教你的孫子孫女
[00:01:06.280 --> 00:01:08.840]  教你的子女是挺好的
[00:01:08.840 --> 00:01:10.160]  我們一起去看看
[00:01:10.160 --> 00:01:13.280]  究竟這個蘇羅是甚麼人
[00:01:13.280 --> 00:01:15.040]  在以色列裡
[00:01:15.040 --> 00:01:17.560]  有個新王叫蘇羅
[00:01:17.560 --> 00:01:19.480]  我可以形容他為
[00:01:19.480 --> 00:01:21.520]  「富二代」
[00:01:21.520 --> 00:01:22.440]  「富二代」
[00:01:22.440 --> 00:01:23.040]  為甚麼這樣說呢?
[00:01:23.040 --> 00:01:23.760]  你看一看
[00:01:23.760 --> 00:01:25.800]  在《撒姆爾記》九章一節
[00:01:25.800 --> 00:01:27.960]  有一個變亞敏人
[00:01:27.960 --> 00:01:29.520]  名叫基氏
[00:01:29.520 --> 00:01:31.200]  你看到最後就說
[00:01:31.200 --> 00:01:34.200]  他是一個大能的勇士
[00:01:34.200 --> 00:01:35.960]  或者一個大財主
[00:01:35.960 --> 00:01:37.440]  即是蘇羅的父親
[00:01:37.440 --> 00:01:38.640]  是一個大財主
[00:01:38.640 --> 00:01:40.680]  或者一個大能的勇士
[00:01:40.680 --> 00:01:41.800]  他不單止
[00:01:41.800 --> 00:01:43.520]  蘇羅有一個有錢
[00:01:43.520 --> 00:01:44.720]  大能的父親
[00:01:44.720 --> 00:01:47.360]  他還有兩個我很羨慕的特質
[00:01:47.360 --> 00:01:50.000]  即是蘇羅有兩個特質我很羨慕的
[00:01:50.000 --> 00:01:52.960]  第一個是高大威猛
[00:01:52.960 --> 00:01:55.000]  第二個是英俊
[00:01:55.000 --> 00:01:56.560]  我想男士都羨慕的
[00:01:56.560 --> 00:01:58.680]  高大威猛和英俊
[00:01:58.680 --> 00:01:59.720]  在九章二節
[00:01:59.720 --> 00:02:01.040]  《撒姆爾記》上這樣說
[00:02:01.040 --> 00:02:03.440]  他有一個兒子名叫蘇羅
[00:02:03.440 --> 00:02:04.880]  又健壯
[00:02:04.880 --> 00:02:06.400]  又俊美
[00:02:06.400 --> 00:02:08.000]  在以色列人中
[00:02:08.000 --> 00:02:10.360]  沒有一個比得上他
[00:02:10.360 --> 00:02:10.840]  嘩
[00:02:10.840 --> 00:02:12.120]  即是最大隻
[00:02:12.120 --> 00:02:13.440]  最英俊
[00:02:13.440 --> 00:02:14.200]  還有
[00:02:14.200 --> 00:02:17.640]  身體比眾民高過一個頭
[00:02:17.640 --> 00:02:19.720]  一個頭即是多少度?
[00:02:19.720 --> 00:02:22.360]  幾多吋?
[00:02:22.360 --> 00:02:23.720]  十吋八吋?
[00:02:23.720 --> 00:02:25.280]  一個頭
[00:02:25.280 --> 00:02:26.240]  高一個頭
[00:02:26.240 --> 00:02:28.320]  又是整個以色列最英俊
[00:02:28.320 --> 00:02:30.000]  大家有沒有認識一些朋友
[00:02:30.000 --> 00:02:32.000]  高人一個頭的?
[00:02:32.000 --> 00:02:33.240]  有沒有?
[00:02:33.240 --> 00:02:33.960]  我有
[00:02:33.960 --> 00:02:35.800]  今天有香港來的朋友
[00:02:35.800 --> 00:02:37.280]  一說你就知道是誰了
[00:02:37.280 --> 00:02:39.360]  那個人我合作過幾次
[00:02:39.360 --> 00:02:40.760]  每次一起合作的時候
[00:02:40.760 --> 00:02:41.840]  去做講座
[00:02:41.840 --> 00:02:43.920]  我都說不要站著說
[00:02:43.920 --> 00:02:45.600]  我們坐著說
[00:02:45.600 --> 00:02:47.960]  即是開研討會的形式
[00:02:47.960 --> 00:02:48.960]  那個是誰呢?
[00:02:48.960 --> 00:02:50.880]  那個就是前警務處長
[00:02:50.880 --> 00:02:52.600]  李明逵先生
[00:02:52.600 --> 00:02:55.480]  李明逵先生他身高六尺四吋
[00:02:55.480 --> 00:02:58.960]  呂宇俊小全道身高五尺四吋半
[00:02:58.960 --> 00:03:01.240]  他足足高我十一吋
[00:03:01.240 --> 00:03:02.160]  即是一個頭
[00:03:02.160 --> 00:03:04.280]  他去做警察檢閱
[00:03:04.280 --> 00:03:06.320]  去到哪裡都是一個頭
[00:03:06.320 --> 00:03:08.160]  就是這樣
[00:03:08.160 --> 00:03:09.280]  那麼
[00:03:09.280 --> 00:03:11.280]  這個素來又英俊
[00:03:11.280 --> 00:03:13.240]  又是富二代
[00:03:13.240 --> 00:03:14.760]  他一出場的時候
[00:03:14.760 --> 00:03:15.760]  究竟是怎樣的呢?
[00:03:15.760 --> 00:03:19.320]  聖經怎樣介紹這個這麼有氣勢的人出場呢?
[00:03:19.320 --> 00:03:21.000]  原來一出場的時候
[00:03:21.000 --> 00:03:25.320]  這個富二代在找爐
[00:03:25.320 --> 00:03:26.800]  在找爐
[00:03:26.800 --> 00:03:29.160]  在找他爸爸不見了幾隻爐
[00:03:29.160 --> 00:03:30.280]  這段經歷
[00:03:30.280 --> 00:03:31.080]  剛才大家讀的
[00:03:31.080 --> 00:03:32.840]  其實我看過幾次
[00:03:32.840 --> 00:03:34.000]  我都沒什麼感覺
[00:03:34.000 --> 00:03:36.200]  但今天要預備這段經文的時候
[00:03:36.200 --> 00:03:37.480]  我突然間想到
[00:03:37.480 --> 00:03:42.880]  為什麼堂堂公子要找爐呢?
[00:03:42.880 --> 00:03:45.080]  他沒有其他事可以做的嗎?
[00:03:45.080 --> 00:03:47.880]  以前我也認識很多富二代
[00:03:47.880 --> 00:03:50.040]  富二代通常有兩類
[00:03:50.040 --> 00:03:52.360]  一類就是經常開著名車
[00:03:52.360 --> 00:03:53.960]  經常想著換名車
[00:03:53.960 --> 00:03:54.960]  經常想著購物
[00:03:54.960 --> 00:03:56.000]  一類
[00:03:56.000 --> 00:03:59.680]  另一類富二代就是接管了家族生意
[00:03:59.680 --> 00:04:00.960]  很精準的
[00:04:00.960 --> 00:04:03.600]  去到哪裡都很能幹的
[00:04:03.600 --> 00:04:06.360]  那麼究竟素來是哪一類呢?
[00:04:06.360 --> 00:04:08.520]  我們大家一起慢慢看一下
[00:04:08.520 --> 00:04:11.960]  在《撒慕爾記》上九章三至四節說
[00:04:11.960 --> 00:04:14.880]  素來的父親基事不見了幾頭爐
[00:04:14.880 --> 00:04:16.280]  他就吩咐兒子
[00:04:16.280 --> 00:04:17.800]  就說你幫我去找找
[00:04:17.800 --> 00:04:19.320]  那麼素來開始找了
[00:04:19.320 --> 00:04:22.280]  走過了以法連山地
[00:04:22.280 --> 00:04:23.920]  又過了以利沙地
[00:04:23.920 --> 00:04:24.880]  都找不到
[00:04:24.880 --> 00:04:26.800]  又去到沙林地
[00:04:26.800 --> 00:04:27.920]  又找不到
[00:04:27.920 --> 00:04:29.520]  又去到汴雅閩地
[00:04:29.520 --> 00:04:31.360]  都找不到
[00:04:31.360 --> 00:04:33.400]  那麼是不是表示素來是一個
[00:04:33.400 --> 00:04:35.840]  不可以委以重任的人呢?
[00:04:35.840 --> 00:04:37.040]  你慢慢看下去
[00:04:37.040 --> 00:04:38.920]  你應該也會有答案
[00:04:38.920 --> 00:04:40.760]  很多時候當說起素來
[00:04:40.760 --> 00:04:42.000]  大家都覺得
[00:04:42.000 --> 00:04:42.960]  壞人
[00:04:42.960 --> 00:04:45.200]  但其實他有好的一面
[00:04:45.200 --> 00:04:48.400]  至少在最初的時候
[00:04:48.400 --> 00:04:49.440]  當他一直找爐
[00:04:49.440 --> 00:04:51.440]  找到去蘇佛地的時候
[00:04:51.440 --> 00:04:52.480]  都找不到
[00:04:52.480 --> 00:04:54.080]  那麼他就跟僕人說
[00:04:54.080 --> 00:04:54.920]  哎呀
[00:04:54.920 --> 00:04:56.840]  不如我們回去吧
[00:04:56.840 --> 00:04:58.000]  原因是什麼呢?
[00:04:58.000 --> 00:04:59.440]  就是說我不想
[00:04:59.440 --> 00:05:03.120]  恐怕父親不是為爐掛心
[00:05:03.120 --> 00:05:07.120]  而是為我擔憂
[00:05:07.120 --> 00:05:08.720]  這個值得欣賞
[00:05:08.720 --> 00:05:10.600]  為什麼這樣說呢?
[00:05:10.600 --> 00:05:12.680]  我不知道大家以前小時候是怎樣
[00:05:12.680 --> 00:05:15.400]  我們小時候經常出去玩
[00:05:15.400 --> 00:05:18.240]  出去玩願不願意回家呢?
