
[00:00:00.000 --> 00:00:06.000]  在中國有一個故事
[00:00:06.000 --> 00:00:10.000]  有一個人未去過中國
[00:00:10.000 --> 00:00:14.000]  於是他就去中國
[00:00:14.000 --> 00:00:16.000]  坐Air China去中國
[00:00:16.000 --> 00:00:20.000]  在飛機上空中小姐服務
[00:00:20.000 --> 00:00:22.000]  有個空中小姐很苗條
[00:00:22.000 --> 00:00:33.000]  我拿了新枝推著食物一行一行推介給客人
[00:00:33.000 --> 00:00:36.000]  去到這個外國人那裏的時候
[00:00:36.000 --> 00:00:38.000]  他因為第一次去中國
[00:00:38.000 --> 00:00:39.000]  樣東西都新鮮的
[00:00:39.000 --> 00:00:40.000]  第一次坐Air China
[00:00:40.000 --> 00:00:41.000]  樣東西都好奇的
[00:00:41.000 --> 00:00:43.000]  他見一見食物
[00:00:43.000 --> 00:00:45.000]  他身材比較大
[00:00:45.000 --> 00:00:47.000]  見到份量這麼細
[00:00:47.000 --> 00:00:48.000]  他就好奇
[00:00:48.000 --> 00:00:52.000]  就喜歡和空中小姐聊天
[00:00:52.000 --> 00:00:53.000]  他就問
[00:00:53.000 --> 00:00:55.000]  指著一個像餅一樣的
[00:00:55.000 --> 00:00:56.000]  這是什麼來的
[00:00:56.000 --> 00:00:57.000]  用英文跟他說
[00:00:57.000 --> 00:00:59.000]  你知道早期的時候
[00:00:59.000 --> 00:01:01.000]  空中小姐的英文有限
[00:01:01.000 --> 00:01:03.000]  而且發音不準
[00:01:03.000 --> 00:01:05.000]  他看一看
[00:01:05.000 --> 00:01:07.000]  想一想
[00:01:07.000 --> 00:01:08.000]  他說
[00:01:08.000 --> 00:01:10.000]  這個好像月餅
[00:01:10.000 --> 00:01:11.000]  想一想
[00:01:11.000 --> 00:01:13.000]  Kick China
[00:01:13.000 --> 00:01:17.000]  然後西人就看一看
[00:01:17.000 --> 00:01:19.000]  指著另一樣東西
[00:01:19.000 --> 00:01:21.000]  這是什麼來的
[00:01:21.000 --> 00:01:23.000]  空中小姐看一看
[00:01:23.000 --> 00:01:25.000]  想一想
[00:01:25.000 --> 00:01:27.000]  Pizza China
[00:01:27.000 --> 00:01:29.000]  好像Pizza
[00:01:29.000 --> 00:01:33.000]  然後他一轉身去服務旁邊的人
[00:01:33.000 --> 00:01:35.000]  你知道在飛機裏
[00:01:35.000 --> 00:01:36.000]  時間長
[00:01:36.000 --> 00:01:38.000]  一轉身的時候
[00:01:38.000 --> 00:01:39.000]  很不幸
[00:01:39.000 --> 00:01:41.000]  就放了一個有聲的屁
[00:01:41.000 --> 00:01:44.000]  西人就看一看
[00:01:44.000 --> 00:01:46.000]  很尷尬
[00:01:46.000 --> 00:01:48.000]  空中小姐回頭一笑
[00:01:48.000 --> 00:01:49.000]  然後他說
[00:01:49.000 --> 00:01:51.000]  Air China
[00:01:51.000 --> 00:01:53.000]  說故事
[00:01:53.000 --> 00:01:57.000]  現場我可以用不同的角色
[00:01:57.000 --> 00:02:00.000]  不同的聲調來表達出來
[00:02:00.000 --> 00:02:01.000]  但是
[00:02:01.000 --> 00:02:03.000]  如果真正的來到
[00:02:03.000 --> 00:02:10.000]  在文字裏面去看故事的話
[00:02:10.000 --> 00:02:14.000]  你會發現有些地方是不同的
[00:02:14.000 --> 00:02:16.000]  什麼不同呢
[00:02:16.000 --> 00:02:19.000]  現在我們來看看
[00:02:19.000 --> 00:02:20.000]  現代的人
[00:02:20.000 --> 00:02:22.000]  你會發現是很特別的
[00:02:22.000 --> 00:02:26.000]  我們進入一個所謂後現代的時期
[00:02:26.000 --> 00:02:28.000]  什麼叫後現代呢
[00:02:28.000 --> 00:02:30.000]  後現代就是說
[00:02:30.000 --> 00:02:32.000]  大家都有手機
[00:02:32.000 --> 00:02:34.000]  大家都在資訊時代
