
[00:00:00.000 --> 00:00:05.660]  好 時代終結的徵兆
[00:00:05.660 --> 00:00:10.140]  這段經文其實就不是馬可福音
[00:00:10.140 --> 00:00:12.880]  兩年多前我還在北京的時候
[00:00:12.880 --> 00:00:16.700]  其實有些弟兄姐妹 其實不止一個 不止兩個
[00:00:16.700 --> 00:00:21.060]  弟兄姐妹問過 《馬太宗第24章》說
[00:00:21.060 --> 00:00:24.160]  嘩 好像現在整個世界的時局
[00:00:24.160 --> 00:00:26.560]  好像是不是主耶穌基督回來
[00:00:26.560 --> 00:00:29.220]  就去到一個時代的終結呢?
[00:00:29.220 --> 00:00:33.700]  那時候在小組有略略分享過《馬太福音》第24章
[00:00:33.700 --> 00:00:37.260]  但是一直不夠膽在講台上去分享
[00:00:37.260 --> 00:00:41.860]  直到有一個感動 去到《馬太福音》第13章
[00:00:41.860 --> 00:00:45.020]  想和大家分享這段經文
[00:00:45.020 --> 00:00:50.220]  不容易去理解 也不容易去吸收
[00:00:50.220 --> 00:00:55.700]  所以弟兄姐妹就說大家坐定 趕這段經文的時間
[00:00:55.700 --> 00:01:00.300]  這段經文很長 27節 很熟悉的
[00:01:00.300 --> 00:01:02.400]  我想大家讀一次 好嗎?
[00:01:02.400 --> 00:01:04.000]  我們有個概念
[00:01:04.000 --> 00:01:06.600]  好 第13章第一節開始
[00:01:06.600 --> 00:01:08.640]  耶穌從店裡出來的時候
[00:01:08.640 --> 00:01:11.060]  有一個門徒對他說 老師請看
[00:01:11.060 --> 00:01:14.500]  這是多麼美好的石頭 多麼美好的建築
[00:01:14.500 --> 00:01:18.780]  耶穌對他說 你看見這些偉大的建築嗎?
[00:01:18.780 --> 00:01:20.820]  出來必沒有一塊石頭留在
[00:01:20.820 --> 00:01:25.040]  另一塊石頭上面 每一塊都要插下來
[00:01:25.040 --> 00:01:28.760]  耶穌在橄欖山上面對聖殿坐著
[00:01:28.760 --> 00:01:32.240]  彼得、雅各、約翰和安德烈私下就問耶穌
[00:01:32.240 --> 00:01:35.420]  請告訴我們什麼時候會有這些事呢?
[00:01:35.420 --> 00:01:39.980]  這一切事將要成就的時候有什麼預兆呢?
[00:01:39.980 --> 00:01:43.920]  耶穌就告訴他們說 你們要小心 不要被人迷惑
[00:01:43.920 --> 00:01:46.920]  有許多人要來假冒我的名說
[00:01:46.920 --> 00:01:50.420]  我就是基督 並且要迷惑許多的人
[00:01:50.420 --> 00:01:53.240]  你們聽見戰爭的風聲也不要兵方
[00:01:53.240 --> 00:01:56.180]  這是免不了的 結局還沒有到
[00:01:56.180 --> 00:01:58.460]  一個民族要起來攻打另一個民族
[00:01:58.460 --> 00:02:00.920]  一個國家要起來攻打另一個國家
[00:02:00.920 --> 00:02:03.320]  到處要有地震、有饑荒
[00:02:03.320 --> 00:02:06.380]  這些不過是痛苦的開始
[00:02:06.380 --> 00:02:09.960]  但你們要小心 因為要你們加級工議會
[00:02:09.960 --> 00:02:12.400]  你們要在會堂裏被鞭打
[00:02:12.400 --> 00:02:16.120]  又要為我的員工站在總督和君王面前
[00:02:16.120 --> 00:02:21.780]  向他們作見證 然而福音必須先傳給五萬民
[00:02:21.780 --> 00:02:24.020]  人把你們抓去送官的時候
[00:02:24.020 --> 00:02:26.780]  用不著預先思慮要說什麼
[00:02:26.780 --> 00:02:30.140]  到那時候賜你們什麼話 你們就說什麼
[00:02:30.140 --> 00:02:34.340]  因為說話的不是你們 而是聖靈
[00:02:34.340 --> 00:02:37.220]  弟兄要出賣弟兄 父親要出賣兒子
[00:02:37.220 --> 00:02:39.260]  甚至把他們置於死地
[00:02:39.260 --> 00:02:41.740]  兒女要叛逆父母 害死他們
[00:02:41.740 --> 00:02:44.940]  你們為我的名要被眾人恨惡
[00:02:44.940 --> 00:02:48.860]  然而堅忍到底的必然得救
[00:02:48.860 --> 00:02:52.660]  當你們看見那造成荒涼的可憎者
[00:02:52.660 --> 00:02:57.060]  站在不該站的地方 讀者必須領悟
[00:02:57.060 --> 00:03:00.540]  那時住在猶太的應當屠刀山上
[00:03:00.540 --> 00:03:03.540]  在房頂的不要下來 也不要進到屋子裏
[00:03:03.540 --> 00:03:08.220]  拿什麼東西 在田裏的也不要回去取衣服
[00:03:08.220 --> 00:03:12.400]  當那些日子懷孕的和預養孩子的有禍了
[00:03:12.400 --> 00:03:17.220]  你們應當祈求不要讓這些事在冬天發生
[00:03:17.220 --> 00:03:19.020]  因為那些日子必有災難
[00:03:19.020 --> 00:03:22.340]  這是從神創世的開始到現在未曾有過的
