
[00:00:00.000 --> 00:00:06.160]  各位中華基督教會自立堂的弟兄姊妹
[00:00:06.160 --> 00:00:07.680]  主內平安
[00:00:07.680 --> 00:00:09.240]  我叫郭文慈
[00:00:09.240 --> 00:00:13.760]  在香港拍攝港獨的錄影
[00:00:13.760 --> 00:00:15.600]  來送過給大家
[00:00:15.600 --> 00:00:17.440]  多謝蔡牧師
[00:00:17.440 --> 00:00:19.480]  你們教會的牧者的邀請
[00:00:19.480 --> 00:00:23.880]  給我機會雖然是隔著這個空間
[00:00:23.880 --> 00:00:25.080]  不同的地方
[00:00:25.080 --> 00:00:27.200]  但是都可以透過現在的科技
[00:00:27.200 --> 00:00:29.800]  和大家分享上帝的說話
[00:00:29.800 --> 00:00:32.120]  其實蔡牧師邀請我的時間
[00:00:32.120 --> 00:00:33.560]  已經是一段時間
[00:00:33.560 --> 00:00:35.320]  我本來就應該早點拍攝
[00:00:35.320 --> 00:00:36.560]  但是因為種種原因
[00:00:36.560 --> 00:00:38.680]  要來到現在才和大家分享
[00:00:38.680 --> 00:00:40.560]  請大家見諒
[00:00:40.560 --> 00:00:45.480]  今天在崇拜的聚會裡面
[00:00:45.480 --> 00:00:48.480]  我打算和大家分享一段比較長的經文
[00:00:48.480 --> 00:00:49.560]  因為經文很長
[00:00:49.560 --> 00:00:52.880]  所以我就不打算在這裡由我來讀出
[00:00:52.880 --> 00:00:55.960]  我只是會把裡面的重點和大家分享
[00:00:55.960 --> 00:00:57.400]  這段經文記載一樣
[00:00:57.400 --> 00:01:00.920]  福音11章1到46節
[00:01:00.920 --> 00:01:03.040]  我叫的題目叫做
[00:01:03.040 --> 00:01:04.920]  處境危機
[00:01:04.920 --> 00:01:06.400]  與上帝的榮耀
[00:01:06.400 --> 00:01:07.880]  處境危機
[00:01:07.880 --> 00:01:09.800]  與上帝的榮耀
[00:01:09.800 --> 00:01:11.400]  我相信毫無疑問
[00:01:11.400 --> 00:01:13.720]  在過去這段的日子
[00:01:13.720 --> 00:01:15.560]  我們面對很多艱難
[00:01:15.560 --> 00:01:19.960]  首先我想將波渡神學院的平安
[00:01:19.960 --> 00:01:22.120]  民安帶給大家
[00:01:22.120 --> 00:01:25.320]  感謝主過去大約兩年的時間
[00:01:25.320 --> 00:01:28.400]  波渡神學院就由運作了
[00:01:28.400 --> 00:01:31.680]  很多年的九龍堂的校舍
[00:01:31.680 --> 00:01:33.680]  搬到美孚新村
[00:01:33.680 --> 00:01:35.480]  我相信在香港過去的頂姐妹
[00:01:35.480 --> 00:01:36.760]  都應該陌生了
[00:01:36.760 --> 00:01:40.400]  這裡就是我們一些小小的介紹
[00:01:40.400 --> 00:01:43.440]  現在我身處的地方
[00:01:43.440 --> 00:01:45.840]  拍攝這個錄影講道的地方
[00:01:45.840 --> 00:01:48.240]  是波渡神學院的禮堂的地方
[00:01:48.240 --> 00:01:50.720]  再一次我想將波渡神學院
[00:01:50.720 --> 00:01:53.800]  我們的師生的民安送上給
[00:01:53.800 --> 00:01:56.720]  中榮基教會致立堂的弟兄姊妹
[00:01:56.720 --> 00:01:57.520]  我剛才提過
[00:01:57.520 --> 00:01:59.080]  今天想講的就是
[00:01:59.080 --> 00:02:03.280]  危機和上帝的榮耀
[00:02:03.280 --> 00:02:04.960]  在
[00:02:04.960 --> 00:02:07.160]  相信大家有機會在港台聽到
[00:02:07.160 --> 00:02:08.720]  一個這樣的故事
[00:02:08.720 --> 00:02:11.880]  就是有兩個的
[00:02:11.880 --> 00:02:13.520]  大公司的職員
[00:02:13.520 --> 00:02:15.600]  去到非洲
[00:02:15.600 --> 00:02:17.680]  去做一個視察
[00:02:17.680 --> 00:02:21.480]  兩個職員都是一間大鞋廠的職員
[00:02:21.480 --> 00:02:22.600]  一個回來回顧就說
[00:02:22.600 --> 00:02:23.400]  我們沒得做了
[00:02:23.400 --> 00:02:25.520]  因為非洲人穿鞋子的
[00:02:25.520 --> 00:02:26.840]  另外一個就說
[00:02:26.840 --> 00:02:27.920]  我們一定有得做的
[00:02:27.920 --> 00:02:30.000]  因為非洲還沒有人穿鞋子
[00:02:30.000 --> 00:02:32.600]  所以我們有很多生意做
[00:02:32.600 --> 00:02:36.280]  兩個見到相同的環境
[00:02:36.280 --> 00:02:39.760]  但是有兩個很不同的心境和反應
[00:02:39.760 --> 00:02:41.840]  究竟面對困難的時間
[00:02:41.840 --> 00:02:45.000]  我們就看到那些危難困難
[00:02:45.000 --> 00:02:48.280]  還是有一個成長學習
[00:02:48.280 --> 00:02:52.520]  甚至是一個可以乘風破浪的轉機
[00:02:52.520 --> 00:02:56.240]  這個是一個商家面對一個這樣的處境
[00:02:56.240 --> 00:02:57.240]  做一個決定
[00:02:57.240 --> 00:02:59.320]  究竟要買鞋子還是不買鞋子
[00:02:59.320 --> 00:03:00.680]  結果大家知道了
[00:03:00.680 --> 00:03:01.720]  真實的情況
[00:03:01.720 --> 00:03:04.240]  我聽到中國看到這樣的情況之後
