
[00:00:00.000 --> 00:00:05.520]  很高興有機會在大家當中分享猜拳聯會
[00:00:05.520 --> 00:00:08.920]  我知道今天不只是你們猜拳聯會
[00:00:08.920 --> 00:00:13.440]  起碼城北宣道會這個週末都是猜拳聯會
[00:00:13.440 --> 00:00:16.500]  我自己也是剛剛從蘇利南回來
[00:00:16.500 --> 00:00:18.720]  上個星期的週末在蘇利南
[00:00:18.720 --> 00:00:24.520]  我們有一個加勒比區的聯合宣教大會
[00:00:24.520 --> 00:00:26.020]  大概有百多人
[00:00:26.020 --> 00:00:30.360]  都是加勒比區的很多不同的教會
[00:00:30.360 --> 00:00:32.160]  也包括一些歐洲的教會
[00:00:32.160 --> 00:00:34.980]  我們加拿大都有十幾個同工下去了
[00:00:34.980 --> 00:00:37.440]  我為了這個我們獻上禁忍
[00:00:37.440 --> 00:00:41.320]  因為宣道會很著重宣教
[00:00:41.320 --> 00:00:44.400]  不只是這間堂 其他的宣道會都是一樣
[00:00:44.400 --> 00:00:46.440]  但是好像星期五跟大家分享
[00:00:46.440 --> 00:00:49.480]  如果宣教只是一種的時功
[00:00:49.480 --> 00:00:53.020]  如我們不是有一個真的盡心的生命
[00:00:53.020 --> 00:00:56.340]  我們這些宣教不會熬得很久
[00:00:56.340 --> 00:00:59.540]  我們可能是出這種責任感來做宣教
[00:00:59.540 --> 00:01:02.220]  甚至可以說不好聽的就是釜猜
[00:01:02.220 --> 00:01:03.980]  但是如果我們生命真的常常
[00:01:03.980 --> 00:01:06.960]  連於元首基督的時候
[00:01:06.960 --> 00:01:09.660]  宣教只不過是一個生命的流露
[00:01:09.660 --> 00:01:12.360]  而宣教也不只是限於在海外
[00:01:12.360 --> 00:01:14.300]  也都在我們社區當中
[00:01:14.300 --> 00:01:16.360]  所以這次在大家的宣教聯會裡面
[00:01:16.360 --> 00:01:21.840]  我們用盡心生命和普世猜拳來做主題
[00:01:21.840 --> 00:01:25.640]  其實這兩個就是宣道會的屬靈遺傳
[00:01:25.640 --> 00:01:28.180]  所以盼望透過這個聯會
[00:01:28.180 --> 00:01:31.780]  讓我們不要覺得有一年
[00:01:31.780 --> 00:01:34.420]  又是一個宣教聯會 又是聽一些東西
[00:01:34.420 --> 00:01:37.100]  又是奉獻一些東西 那就完蛋了
[00:01:37.100 --> 00:01:39.540]  其實我希望這次的宣教聯會
[00:01:39.540 --> 00:01:42.040]  是make a difference
[00:01:42.040 --> 00:01:46.220]  特別在你和我身上 我們都能夠有一個突破
[00:01:46.220 --> 00:01:48.020]  今天我用的經文很簡單
[00:01:48.020 --> 00:01:50.420]  是《童子第一章》第八節
[00:01:50.420 --> 00:01:54.720]  是主耶穌親自向門徒所說
[00:01:54.720 --> 00:01:57.500]  你們要等聖靈降臨的時候
[00:01:57.500 --> 00:01:59.580]  你就能夠得出能力
[00:01:59.580 --> 00:02:02.260]  在耶路撒冷 猶太 全地 撒瑪利亞
[00:02:02.260 --> 00:02:04.520]  直到地極作我的見證
[00:02:04.520 --> 00:02:07.560]  這個很特別重要 就是作見證
[00:02:07.560 --> 00:02:09.900]  這個是神對我們的呼召
[00:02:09.900 --> 00:02:12.140]  在不同的地方裡面作見證
[00:02:12.140 --> 00:02:15.060]  在這裡講到 能力從聖靈而來
[00:02:15.060 --> 00:02:17.140]  如果聖靈有來的時候
[00:02:17.140 --> 00:02:19.420]  你知道我們的靈命盡心
[00:02:19.420 --> 00:02:22.780]  都不是我們的決心 我們的意志做的
[00:02:22.780 --> 00:02:25.720]  如果不是聖靈內在我們裡面
[00:02:25.720 --> 00:02:27.420]  我們根本上沒有這樣的能力
[00:02:27.420 --> 00:02:29.420]  可以生命更新
[00:02:29.420 --> 00:02:32.140]  所以我說無論你開Honda Toyota什麼都好
[00:02:32.140 --> 00:02:34.400]  原來你裡面有一個Ferrari
[00:02:34.400 --> 00:02:36.400]  裡面有一個Lamborghini
[00:02:36.400 --> 00:02:39.080]  但問題是你有沒有用得到聖靈的能力
[00:02:39.080 --> 00:02:40.800]  當聖靈的能力真的在你裡面
