
[00:00:00.000 --> 00:00:06.400]  我們繼續思想哈巴谷書的信息
[00:00:06.400 --> 00:00:11.000]  我們今天是去到哈巴谷書第二章五節至二十節
[00:00:11.000 --> 00:00:14.600]  我給的題目叫亂與治
[00:00:14.600 --> 00:00:19.460]  在2019年在台灣大選前夕
[00:00:19.460 --> 00:00:25.340]  台灣人選上亂這個字來形容今天這個世界的局勢
[00:00:25.340 --> 00:00:28.680]  事實上我們看看這一年所發生的大事
[00:00:28.680 --> 00:00:33.040]  比如中美貿易戰 香港反送中運動
[00:00:33.040 --> 00:00:37.900]  一百萬人跟著二百萬人上街抗議政府立惡法
[00:00:37.900 --> 00:00:42.000]  無數人被捕被起訴被打壓
[00:00:42.000 --> 00:00:46.340]  是香港開埠以來從未曾發生過的事
[00:00:46.340 --> 00:00:52.240]  到2019年尾更加開始爆發了這個所謂武漢肺炎
[00:00:52.240 --> 00:00:59.400]  到今天這個瘟疫席捲全球
[00:00:59.400 --> 00:01:05.300]  直到今天差不多有270萬人感染17萬人死亡
[00:01:05.300 --> 00:01:10.420]  其實可能這個數字是遠遠超過這個數目
[00:01:10.420 --> 00:01:15.800]  所以用這個亂字來形容今天的世界是非常恰當的
[00:01:15.800 --> 00:01:19.380]  我就想起唐詞有一個詩人叫做權德如
[00:01:19.380 --> 00:01:30.340]  寫過一首詩《十年塵一別,征路似相逢,馬首向何處,夕陽千萬風》
[00:01:30.340 --> 00:01:34.700]  從表面看來這首詩是寫兩個朋友久別重逢
[00:01:34.700 --> 00:01:37.760]  其實是各奔前程彼此分離
[00:01:37.760 --> 00:01:40.180]  而前面是一條什麼路呢?
[00:01:40.180 --> 00:01:47.860]  馬首向何處夕陽千萬風 既有千風在前
[00:01:47.860 --> 00:01:55.280]  又色夕又斜陽 日就要落 一片蒼茫的感覺
[00:01:55.280 --> 00:02:01.560]  人生在世在征路上離和合 別與逢
[00:02:01.560 --> 00:02:07.060]  幾熟偶然又是匆匆 更不知道前路如何
[00:02:07.060 --> 00:02:12.180]  是很難預料 有些令人黯然失傷
[00:02:12.180 --> 00:02:14.180]  今天我們讀起這首詩
[00:02:14.180 --> 00:02:18.020]  我就覺得相逢的並不是我的朋友
[00:02:18.020 --> 00:02:21.660]  而是這個亂局 我是讀歷史的
[00:02:21.660 --> 00:02:26.220]  分開這八年歷史 尤其是八年神州
