
[00:00:00.000 --> 00:00:02.000]  (字幕: 王先生)
[00:00:02.000 --> 00:00:05.500]  這世界要變成怎樣
[00:00:05.500 --> 00:00:08.600]  這是我希望一個新的系列
[00:00:08.600 --> 00:00:10.700]  有幾次聚會的時間
[00:00:10.700 --> 00:00:13.100]  跟大家一起去分享
[00:00:13.100 --> 00:00:15.600]  在聖經神自己的真理
[00:00:15.600 --> 00:00:16.800]  如果你還記得
[00:00:16.800 --> 00:00:19.700]  我們曾經在過去的一個系列裏面
[00:00:19.700 --> 00:00:24.200]  集中我們自己個人生命裏面的質素
[00:00:24.200 --> 00:00:26.600]  譬如我們要努力的
[00:00:26.600 --> 00:00:29.000]  小心的對付我們的怒氣
[00:00:29.600 --> 00:00:33.800]  然後可以重新找到
[00:00:33.800 --> 00:00:37.500]  神給我們的忍耐、寬容和恩賜
[00:00:37.500 --> 00:00:39.500]  我們看見自己
[00:00:39.500 --> 00:00:43.000]  現在我們試試放眼世界
[00:00:43.000 --> 00:00:46.200]  接下來這幾個講道的主題
[00:00:46.200 --> 00:00:50.100]  都是帶我們去看這個世界會變成怎樣
[00:00:50.100 --> 00:00:51.900]  這個世界究竟會變成怎樣呢
[00:00:51.900 --> 00:00:55.300]  很多人在我們心目中有一種很大的困惑
[00:00:55.300 --> 00:00:57.200]  這個世界好像越來越差
[00:00:57.200 --> 00:00:59.900]  事實上也令我們越來越失望
[00:00:59.900 --> 00:01:01.300]  鬧鬧、吵吵鬧
[00:01:01.300 --> 00:01:03.300]  而且越來越悲觀
[00:01:03.300 --> 00:01:06.600]  心裏要問的就是
[00:01:06.600 --> 00:01:07.500]  我怎樣呢
[00:01:07.500 --> 00:01:10.000]  我怎樣過每一天的日子
[00:01:10.000 --> 00:01:12.300]  怎樣面對一個這樣的世界
[00:01:12.300 --> 00:01:14.000]  這個就是我們今天
[00:01:14.000 --> 00:01:16.400]  跟大家一起開始的一個主題
[00:01:16.400 --> 00:01:21.100]  如果說到世界會快要變成怎樣
[00:01:21.100 --> 00:01:23.700]  我們要做一點
[00:01:23.700 --> 00:01:27.500]  真正認真去看的功夫
[00:01:27.500 --> 00:01:30.800]  不是隨便盲目的去估計
[00:01:30.800 --> 00:01:33.700]  在2000年1月
[00:01:33.700 --> 00:01:35.600]  我回頭看原來
[00:01:35.600 --> 00:01:37.700]  嘩!21年前真的很老
[00:01:37.700 --> 00:01:38.600]  覺得自己
[00:01:38.600 --> 00:01:40.200]  21年前
[00:01:40.200 --> 00:01:43.200]  那時候中文大學在2000年
[00:01:43.200 --> 00:01:45.700]  就是21世紀開始的1月
[00:01:45.700 --> 00:01:48.900]  請我講了一個主題的講座
[00:01:48.900 --> 00:01:52.400]  就叫做是慶賀抑或是休戚
[00:01:53.000 --> 00:01:56.000]  看看人類在21世紀的
[00:01:56.000 --> 00:01:58.300]  幾個關鍵性範疇上面
[00:01:58.300 --> 00:02:00.000]  會有些什麼的發展
[00:02:00.000 --> 00:02:01.700]  由那時候開始
[00:02:01.700 --> 00:02:04.000]  其實就興起了一種學問
[00:02:04.000 --> 00:02:06.000]  就叫做Futurology
[00:02:06.000 --> 00:02:07.500]  真的有這個字
[00:02:07.500 --> 00:02:09.100]  未來學
[00:02:09.100 --> 00:02:12.000]  未來學不是要觀星、上命
[00:02:12.000 --> 00:02:13.800]  這些亂猜的
[00:02:13.800 --> 00:02:16.400]  未來學是真的很認真的
[00:02:16.400 --> 00:02:20.000]  將我們手頭有的數據和趨勢
[00:02:20.000 --> 00:02:22.100]  做各方面的研究
[00:02:22.100 --> 00:02:23.800]  是比較準確的
