
[00:00:00.000 --> 00:00:05.000]  各位電影節目的各位朋友,你們好!
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.000 --> 00:00:15.000]  我們今天繼續思想大衛生平的信息
[00:00:15.000 --> 00:00:20.000]  我們今天來到第四講,經文是《薩姆爾基上》第十八章
[00:00:20.000 --> 00:00:25.000]  一節至九節,題目叫做活在今天
[00:00:25.000 --> 00:00:31.000]  未開始思想這段聖經之前,請我們同心低頭,同土告
[00:00:31.000 --> 00:00:36.000]  天父我們仍要多謝你,雖然我們不知道明日如何
[00:00:36.000 --> 00:00:40.000]  但我們知道你一直是引導著我們
[00:00:40.000 --> 00:00:44.000]  牽著我們的手走前面的道路
[00:00:44.000 --> 00:00:49.000]  求你就讓我們能夠學會,相信你,依靠你
[00:00:49.000 --> 00:00:54.000]  藉著你的話語去提醒,勸勉,教導,安慰,篤砸我們
[00:00:54.000 --> 00:00:59.000]  我們這樣討個奈何奉耶穌基督命求
[00:00:59.000 --> 00:01:06.000]  2003年,我太太君玉發現了她的淋巴癌復發
[00:01:06.000 --> 00:01:10.000]  醫生要和她進行骨髓移植手術
[00:01:10.000 --> 00:01:15.000]  醫生告訴我們,她有50%的機會可以得到痊癒
[00:01:15.000 --> 00:01:20.000]  從另一方面說,即是有50%的機會是得不到痊癒
[00:01:20.000 --> 00:01:26.000]  當她做完骨髓移植手術後,每隔一段時間就要接受電腦掃描
[00:01:26.000 --> 00:01:31.000]  看看身體內的癌細胞是否已經完全消滅
[00:01:31.000 --> 00:01:35.000]  還是她未有康復過來
[00:01:35.000 --> 00:01:43.000]  每次等待檢驗的報告,各種經歷,真是永世難忘
[00:01:43.000 --> 00:01:47.000]  在等候期間,非常難過
[00:01:47.000 --> 00:01:53.000]  有時想到她,如果完全康復,有好消息來到
[00:01:53.000 --> 00:02:00.000]  心裡大石就放下,但萬一她有復發怎麼辦呢?
[00:02:00.000 --> 00:02:05.000]  心裡不敢想下去,但又想到神是信實的
[00:02:05.000 --> 00:02:11.000]  我們目前遇到的生命中的哥利亞,我們無需要恐懼
[00:02:11.000 --> 00:02:19.000]  神既然幫助大衛打死了獅子和熊,一定面對哥利亞的時候可以戰勝
[00:02:19.000 --> 00:02:27.000]  我又想到神在我們身上也做過不少歧視,相信祂會對我們最好
[00:02:27.000 --> 00:02:34.000]  老子裡面時常盤算這些左思右想,那種忐忑不安的心情
[00:02:34.000 --> 00:02:39.000]  真是非不物所能形容,但我們仍要感謝神
[00:02:39.000 --> 00:02:45.000]  祂沒有告訴我們,祂沒有給我們一個魔鏡照照,將來是怎樣
[00:02:45.000 --> 00:02:50.000]  祂讓我們學習每天而活,活在今天
[00:02:50.000 --> 00:02:55.000]  教導我們真的懂得每天將我們的生命交給神
[00:02:55.000 --> 00:03:02.000]  明天如何你們還不知道,有關明天這個日子,聖經有不少地方提及
[00:03:02.000 --> 00:03:08.000]  而且非常有趣,亞國書第五章13至15節有說
[00:03:08.000 --> 00:03:14.000]  你們有話說,今天明天我們要往某城裡去,在那裡住一年,昨晚埋得來
[00:03:14.000 --> 00:03:18.000]  其實明天如何你們還不知道,你們的生命是什麼呢
[00:03:18.000 --> 00:03:22.000]  你們原來是一片雲霧,出現小事就不見了
[00:03:22.000 --> 00:03:27.000]  你們只當說主要願意我們可以活著,也可以作者事或作那事
[00:03:27.000 --> 00:03:32.000]  聖經明明告訴你們,明天如何,沒有人知道
[00:03:32.000 --> 00:03:39.000]  或者我們滿土計劃,在那裡做大生意,但其實明天如何你們還不知道
[00:03:39.000 --> 00:03:44.000]  有誰會想到,在這幾年香港轉變這麼大
[00:03:44.000 --> 00:03:48.000]  有誰會想到,這個疫症帶來這麼大的影響呢
[00:03:48.000 --> 00:03:56.000]  是呀,沒有人知道,沒有人知道我們生命裡面前面的道路怎樣
[00:03:56.000 --> 00:04:01.000]  原來我們是一片雲霧,出現小事就不見了
[00:04:01.000 --> 00:04:05.000]  唯有主要願意我們才可以作者事、作那事
[00:04:05.000 --> 00:04:08.000]  我們再看馬太福第六章34節
[00:04:08.000 --> 00:04:11.000]  耶穌如何告訴我,所以不要為明天憂慮
[00:04:11.000 --> 00:04:15.000]  因為明天只有明天的憂慮,一天的難處,一天多就夠了
[00:04:15.000 --> 00:04:19.000]  耶穌很清楚告訴你一個減壓的方法
[00:04:19.000 --> 00:04:23.000]  不要為未知的明天而憂慮
[00:04:23.000 --> 00:04:26.000]  不如為已經知道的今天而感恩
[00:04:26.000 --> 00:04:32.000]  明天我們會不會被炒油,明天會不會失去健康
[00:04:32.000 --> 00:04:35.000]  明天會不會感染到COVID-19
[00:04:35.000 --> 00:04:38.000]  沒有人知道,竟然不知道何必憂慮
[00:04:38.000 --> 00:04:45.000]  我們不是不計劃,只不過我們不會為不知道的事情去憂慮
[00:04:45.000 --> 00:04:51.000]  今天我們仍有功夫,仍有健康,仍可以走走,仍可以吃
[00:04:51.000 --> 00:04:55.000]  我們仍有我們一家,我們就要好好地感恩的
[00:04:55.000 --> 00:04:58.000]  盡情的,快樂的去過今天
[00:04:58.000 --> 00:05:02.000]  這就是耶穌給我們的減壓良方
[00:05:02.000 --> 00:05:05.000]  我又想到馬太福第六章11節
[00:05:05.000 --> 00:05:08.000]  我們日用的飲食,今日賜給我們
[00:05:08.000 --> 00:05:11.000]  這是耶穌教導們圖的圖文
[00:05:11.000 --> 00:05:15.000]  我們日用的飲食,今日賜給我們
[00:05:15.000 --> 00:05:20.000]  希臘文這個字是非常有趣的,叫Epiusios
[00:05:20.000 --> 00:05:23.000]  在傳本聖經這個字出現過一次
[00:05:23.000 --> 00:05:26.000]  起初人不知這是什麼意思
[00:05:26.000 --> 00:05:29.000]  古典希臘文也沒有這個字出現過
[00:05:29.000 --> 00:05:33.000]  後來考過家在葡萄希臘文裡面找到這個字
[00:05:33.000 --> 00:05:36.000]  原來是家庭主婦買菜的時候寫著
[00:05:36.000 --> 00:05:41.000]  今天我要買什麼東西,買豆腐、豉油,今日所需
[00:05:41.000 --> 00:05:44.000]  所以中文譯作今日所需都是非常正確的
[00:05:44.000 --> 00:05:49.000]  耶穌叫我們的祈禱是逐日來
[00:05:49.000 --> 00:05:52.000]  不是求一個月的糧,一年的糧餉
[00:05:52.000 --> 00:05:59.000]  是每日所需,逐一來,one day at a time
[00:05:59.000 --> 00:06:02.000]  我想到我開始領會耶穌所講
[00:06:02.000 --> 00:06:08.000]  活在今天,one day at a time
[00:06:08.000 --> 00:06:11.000]  不少人為了昨天的事情
[00:06:11.000 --> 00:06:15.000]  內疚、埋怨、洩氣,為什麼我最壞
[00:06:15.000 --> 00:06:17.000]  如果我一早買了房子就沒事了
[00:06:17.000 --> 00:06:20.000]  一早就做這個,是埋怨了
[00:06:20.000 --> 00:06:24.000]  昨天的事就癱瘓了你的今日
[00:06:24.000 --> 00:06:29.000]  一個英文字叫淚死人這個字
[00:06:29.000 --> 00:06:32.000]  art,我應該做什麼,我應該做什麼
[00:06:32.000 --> 00:06:35.000]  如果你經常想著這樣的時候
[00:06:35.000 --> 00:06:37.000]  你就有很多負義
[00:06:37.000 --> 00:06:41.000]  舊時的事就將你癱瘓了今日
[00:06:41.000 --> 00:06:44.000]  另外一個英文字也是弄死人的
[00:06:44.000 --> 00:06:49.000]  if, what if,如果明天我沒有工作怎麼辦
