
[00:00:00.000 --> 00:00:09.000]  我哋一齊讀路德記嘅經文呢,今日嚟到第三章啦。
[00:00:09.000 --> 00:00:20.000]  如果你係第一次讀路德記,又淨係讀第三章呢,可能你都會問,乜聖經講啲咁嘅嘢嘅。
[00:00:20.000 --> 00:00:22.000]  不過你唔敢講出聲,係咪?
[00:00:22.000 --> 00:00:29.000]  我哋係由第一章讀起㗎,所以如果你淨係第三章先開始入嚟呢,咁唔怪你。
[00:00:29.000 --> 00:00:44.000]  由第一章、第二章嚟到第三章呢,你應該會記得,其實呢一章同前面第二章係好似樣㗎。
[00:00:44.000 --> 00:00:57.000]  開頭、結尾都係路德同蘭俄米。路德同蘭俄米開頭,路德同蘭俄米結尾,記得嗎?
[00:00:57.000 --> 00:01:05.000]  第二章又係咁樣㗎,路德對婆婆說,我出去拾墨水,婆婆說,去啦!
[00:01:05.000 --> 00:01:18.000]  呢個開頭,結尾帶咗好多嘢返嚟食,婆婆好多嘢講,路德又試下佢,咁又結束兩個女人一齊住,直到修葛嘅季節完畢。
[00:01:18.000 --> 00:01:29.000]  第二章嘅中間最長嘅部分,就係路德喺麥田同波亞斯第一次嘅見面。
[00:01:29.000 --> 00:01:35.000]  兩個人有對白㗎,講咗兩次,大家講說話。
[00:01:35.000 --> 00:01:44.000]  然後最後波亞斯有一段說話同啲僕人講,吩咐唔准欺負佢,要特登拎啲出嚟畀佢。
[00:01:44.000 --> 00:01:55.000]  第三章又係㗎,中間呢一部分發生喺麥田,又係我哋話男女主角啫,路德同波亞斯。
[00:01:55.000 --> 00:02:02.000]  又係有兩段嘅對話,然後最後又係波亞斯有幾句讀白。
[00:02:02.000 --> 00:02:12.000]  所以成個嘅結構呢,係好有心思㗎,講故事你都要識講先得㗎,論論盡盡咁樣,甩頭甩骨咁樣,
[00:02:12.000 --> 00:02:25.000]  聽完之後都唔知你噏乜㗎,唔係㗎,聖經記載就算係一個咁樣嘅事件呢,佢背後係好小心。
