
[00:00:00.000 --> 00:00:05.000]  大家可以打開我們今天講道的大綱
[00:00:05.000 --> 00:00:10.400]  在你們的程序單裏面有一張這樣的回應
[00:00:10.400 --> 00:00:14.000]  你見到我今天跟大家講的題目是有點特別的
[00:00:14.000 --> 00:00:16.000]  有兩個特別之處
[00:00:16.000 --> 00:00:18.000]  第一個特別之處就是叫做
[00:00:18.000 --> 00:00:21.000]  肅靈氣質與福音使命的一
[00:00:21.000 --> 00:00:23.000]  即是有一當然有二
[00:00:23.000 --> 00:00:25.000]  有二有三不一定
[00:00:25.000 --> 00:00:27.000]  其實是真的
[00:00:27.000 --> 00:00:31.000]  我都很希望嘗試由今個月開始
[00:00:31.000 --> 00:00:34.000]  就是六月七月八月三個月
[00:00:34.000 --> 00:00:40.000]  我跟大家講這個可以說是一個主題的三個方面
[00:00:40.000 --> 00:00:42.000]  這個是第一個特色
[00:00:42.000 --> 00:00:43.000]  就是我只是
[00:00:43.000 --> 00:00:46.000]  不過這三堂當然是會有分開的
[00:00:46.000 --> 00:00:48.000]  是不需要連續的
[00:00:48.000 --> 00:00:52.000]  但是我就就著這個我們肅靈生命和我們的福音使命
[00:00:52.000 --> 00:00:55.000]  這個主題來跟大家分享
[00:00:55.000 --> 00:00:57.000]  第二個特色你會留意
[00:00:57.000 --> 00:01:01.000]  今天的分題我跟大家講從耶穌到法蘭西斯
[00:01:01.000 --> 00:01:03.000]  Francis of Assisi
[00:01:03.000 --> 00:01:08.000]  即是說不單單只是講聖經裏面神自己的說話
[00:01:08.000 --> 00:01:09.000]  當然這個很重要
[00:01:09.000 --> 00:01:11.000]  這是基礎
[00:01:11.000 --> 00:01:14.000]  其實這三次我都嘗試
[00:01:14.000 --> 00:01:16.000]  這個嘗試我沒有嘗試過
[00:01:16.000 --> 00:01:20.000]  不過看看會不會帶來一個更深刻的
[00:01:20.000 --> 00:01:23.000]  大家在肅靈上的學習
[00:01:23.000 --> 00:01:26.000]  就是我不單單只是講聖經
[00:01:26.000 --> 00:01:32.000]  這三次我會從聖經講到在歷史上一些很重要的
[00:01:32.000 --> 00:01:39.000]  在肅靈上令我們很多學習和成為榜樣的人
[00:01:39.000 --> 00:01:43.000]  所以今天我會和大家從耶穌基督
[00:01:43.000 --> 00:01:47.000]  從耶穌聖經裏面的肅靈氣質
[00:01:47.000 --> 00:01:51.000]  講到在十三世紀
[00:01:51.000 --> 00:01:53.000]  十二世紀十三世紀
[00:01:53.000 --> 00:01:59.000]  法蘭西斯或者我們比較天主教的叫法叫聖方濟
[00:01:59.000 --> 00:02:02.000]  不要緊我們就叫法蘭西斯
[00:02:02.000 --> 00:02:05.000]  這是意大利一個很肅靈的偉人
[00:02:05.000 --> 00:02:08.000]  他的體驗是怎樣
[00:02:08.000 --> 00:02:13.000]  下一次預告
[00:02:13.000 --> 00:02:17.000]  七月我就會講保羅
[00:02:17.000 --> 00:02:19.000]  今天講耶穌
[00:02:19.000 --> 00:02:21.000]  七月我會講到保羅
[00:02:21.000 --> 00:02:25.000]  從保羅到耶穌會
[00:02:25.000 --> 00:02:29.000]  耶穌會就是The Jesuit
[00:02:29.000 --> 00:02:35.000]  主題是保羅怎樣去享受
[00:02:35.000 --> 00:02:40.000]  傳揚神自己的大能和他的偉大
[00:02:40.000 --> 00:02:44.000]  從聖經的保羅我們講到耶穌會
[00:02:44.000 --> 00:02:49.000]  八月我們就會講彼得
[00:02:49.000 --> 00:02:55.000]  從彼得到內地會
[00:02:55.000 --> 00:02:58.000]  China Inland Mission就是戴德生
[00:02:58.000 --> 00:03:03.000]  或者跟著我們很多所認識的宣教士的內地會
[00:03:03.000 --> 00:03:07.000]  是講到受苦並不可怕
[00:03:07.000 --> 00:03:13.000]  是否在其中找到意義和尊嚴
[00:03:13.000 --> 00:03:17.000]  這都是我們屬靈生命中很重要的重點
[00:03:17.000 --> 00:03:22.000]  我會從聖經最深入最重要的三位
[00:03:22.000 --> 00:03:24.000]  耶穌保羅彼得
[00:03:24.000 --> 00:03:26.000]  他們的屬靈氣質
[00:03:26.000 --> 00:03:31.000]  賦予在歷代的聖徒
[00:03:31.000 --> 00:03:35.000]  他們的體驗作為一個互相的對照
[00:03:35.000 --> 00:03:42.000]  希伯來書說我們周圍見證人好像雲彩一樣圍繞著我們
[00:03:42.000 --> 00:03:44.000]  我的意思是想告訴大家
[00:03:44.000 --> 00:03:46.000]  聖經要求我們這樣
[00:03:46.000 --> 00:03:48.000]  聖經有這些榜樣
[00:03:48.000 --> 00:03:49.000]  耶穌保羅彼得
[00:03:49.000 --> 00:03:52.000]  但不只是屬於聖經
[00:03:52.000 --> 00:03:55.000]  在歷代歷史裡有人做得到
[00:03:55.000 --> 00:03:56.000]  大家明白嗎
[00:03:56.000 --> 00:03:58.000]  不要說這麼高貶
[00:03:58.000 --> 00:04:00.000]  什麼時候輪到我那些超人
[00:04:00.000 --> 00:04:02.000]  不是的,有人做到的
[00:04:02.000 --> 00:04:04.000]  我想告訴大家有血有肉的人
[00:04:04.000 --> 00:04:08.000]  曾經真的生活出聖經裡的要求
[00:04:08.000 --> 00:04:12.000]  我們在他的榜樣裡激勵我們自己
[00:04:12.000 --> 00:04:14.000]  既然他也是有血有肉的人
[00:04:14.000 --> 00:04:16.000]  和你和我一樣
[00:04:16.000 --> 00:04:20.000]  那時候我們也可以在神的面前努力提醒我們自己
[00:04:20.000 --> 00:04:22.000]  這是我自己的心意
[00:04:22.000 --> 00:04:24.000]  希望大家為我祈禱
[00:04:24.000 --> 00:04:27.000]  希望這三次可以這樣和大家一起來路
[00:04:27.000 --> 00:04:30.000]  我自己先學習和大家一起分享
[00:04:30.000 --> 00:04:33.000]  今天我們只說耶穌
[00:04:33.000 --> 00:04:35.000]  今天我們說耶穌基督
[00:04:35.000 --> 00:04:39.000]  我想和耶穌基督看這個慈悲
[00:04:39.000 --> 00:04:44.000]  即是說慈愛和悲憫的心
[00:04:44.000 --> 00:04:46.000]  當然關於耶穌基督有很多東西
[00:04:46.000 --> 00:04:52.000]  但今天我想集中在我們看耶穌基督的那個人詞
