
[00:00:00.000 --> 00:00:05.000]  各位兄弟姐妹 平安
[00:00:05.000 --> 00:00:11.000]  今日我們繼續出埃及記的訊息
[00:00:11.000 --> 00:00:15.000]  今日跟大家分享的是一個人
[00:00:15.000 --> 00:00:21.000]  他的家和國到底的GPS是怎樣的呢?
[00:00:21.000 --> 00:00:27.000]  曾經有家長跟我說
[00:00:27.000 --> 00:00:33.000]  自從她兒子結婚後她很擔心
[00:00:33.000 --> 00:00:39.000]  原因是夫妻之間經常有不同的爭執
[00:00:39.000 --> 00:00:45.000]  她問我:牧師你可否跟他們談談?
[00:00:45.000 --> 00:00:52.000]  我有一天約了這對年輕夫婦來談
[00:00:52.000 --> 00:00:57.000]  我們問他們認識了多久?
[00:00:57.000 --> 00:01:00.000]  他們說認識了四、五年
[00:01:00.000 --> 00:01:03.000]  你們是預備結婚?
[00:01:03.000 --> 00:01:05.000]  是預備了多久?
[00:01:05.000 --> 00:01:08.000]  我說:預備了一、兩年
[00:01:08.000 --> 00:01:10.000]  你們預備了甚麼?
[00:01:10.000 --> 00:01:13.000]  原來他們預備的是婚禮
[00:01:13.000 --> 00:01:15.000]  而不是他們的婚姻
[00:01:15.000 --> 00:01:19.000]  婚禮裏面到時我要穿甚麼?
[00:01:19.000 --> 00:01:20.000]  我們在哪裏?
[00:01:20.000 --> 00:01:22.000]  他們說:婚禮
[00:01:22.000 --> 00:01:23.000]  我們請甚麼嘉賓?
[00:01:23.000 --> 00:01:25.000]  誰幫我們拍照?
[00:01:25.000 --> 00:01:27.000]  我們去的酒店在哪裏?
[00:01:27.000 --> 00:01:29.000]  到蜜月要去哪裏?
[00:01:29.000 --> 00:01:32.000]  全部都是那方面
[00:01:32.000 --> 00:01:34.000]  是婚禮
[00:01:34.000 --> 00:01:37.000]  但對他們一生之久的婚姻
[00:01:37.000 --> 00:01:40.000]  他們極少關注
[00:01:40.000 --> 00:01:45.000]  我問他們有沒有參加過婚前輔導?
[00:01:45.000 --> 00:01:47.000]  他們說沒有
[00:01:47.000 --> 00:01:49.000]  有婚前輔導嗎?
[00:01:49.000 --> 00:01:54.000]  我問他們有沒有做性格測驗?
[00:01:54.000 --> 00:01:58.000]  看大家本身的強項弱項
[00:01:58.000 --> 00:02:03.000]  導致將來有可能衝突的地方在哪裏?
[00:02:03.000 --> 00:02:05.000]  有沒有做過?
[00:02:05.000 --> 00:02:08.000]  他們說:有得做嗎?
[00:02:08.000 --> 00:02:10.000]  教會裏面是有的
[00:02:10.000 --> 00:02:12.000]  為甚麼你沒有做?
[00:02:12.000 --> 00:02:16.000]  原來基本上他們參加的是
[00:02:16.000 --> 00:02:19.000]  一個剛剛成立的傳契
[00:02:19.000 --> 00:02:22.000]  傳契沒有跟他們說這些東西
[00:02:22.000 --> 00:02:24.000]  而帶來的結果
[00:02:24.000 --> 00:02:28.000]  全部集中在他們的婚禮
[00:02:28.000 --> 00:02:31.000]  包括嫁的時候
[00:02:31.000 --> 00:02:33.000]  禮金是多少
[00:02:33.000 --> 00:02:37.000]  然後男家出甚麼錢
[00:02:37.000 --> 00:02:38.000]  女家出甚麼錢
[00:02:38.000 --> 00:02:41.000]  各方面的事全部都是跟婚禮有關的
[00:02:41.000 --> 00:02:46.000]  我們今天就要和大家看看
[00:02:46.000 --> 00:02:52.000]  到底一個人、一個家庭、一個國家的GPS
[00:02:52.000 --> 00:02:55.000]  應該走的路線
