
[00:00:00.000 --> 00:00:07.580]  我们找到的时候一起读出来这四节圣经
[00:00:07.580 --> 00:00:16.240]  以忽所书第二章十九节至二十二节
[00:00:16.240 --> 00:00:18.240]  我们一起读
[00:00:18.240 --> 00:00:22.020]  这样你们不再作外人和客里
[00:00:22.020 --> 00:00:25.700]  恕圣徒同国是神加里的人了
[00:00:25.700 --> 00:00:29.820]  并且被建造在使徒和先知的根基上
[00:00:29.820 --> 00:00:32.740]  由基督耶稣自己为防国石
[00:00:32.740 --> 00:00:35.420]  国防靠他联络得合适
[00:00:35.420 --> 00:00:37.740]  渐渐成为主的圣殿
[00:00:37.740 --> 00:00:43.820]  你们也靠他同被建造成为神执着圣灵居住的所在
[00:00:43.820 --> 00:00:46.380]  今天和大家分享有四篇的信息
[00:00:46.380 --> 00:00:49.820]  建立神家合而为一
[00:00:49.820 --> 00:00:52.620]  各尽其职去旧迎新
[00:00:52.620 --> 00:00:54.860]  大家手上已经有这四堂的大纲
[00:00:54.860 --> 00:00:57.900]  其实每一堂里面有个重心的思想
[00:00:57.900 --> 00:00:59.500]  我和大家讲完
[00:00:59.500 --> 00:01:02.700]  第一堂要讲的是齐齐建多些
[00:01:02.700 --> 00:01:05.500]  第二堂要讲的是大家合作多些
[00:01:05.500 --> 00:01:08.140]  第三堂要讲的是个个做多些
[00:01:08.140 --> 00:01:10.940]  第四堂要讲的是人人改多些
[00:01:10.940 --> 00:01:12.940]  题目叫做多些些
[00:01:12.940 --> 00:01:17.740]  就是我们这次这四堂主要的重心
[00:01:17.740 --> 00:01:19.740]  教会是神的家
[00:01:19.740 --> 00:01:23.660]  但不是每间教会都在建造之中
[00:01:23.660 --> 00:01:25.660]  教会是神的家
[00:01:25.660 --> 00:01:26.860]  我们在神的家当中
[00:01:26.860 --> 00:01:30.780]  不是每一个人在神的家中都在建立神的家
[00:01:30.780 --> 00:01:32.780]  因为神爱我的缘故
[00:01:32.780 --> 00:01:33.820]  所以我来到神的家
[00:01:33.820 --> 00:01:35.180]  因为我爱神的缘故
[00:01:35.180 --> 00:01:37.180]  我留起神的家
