
[00:00:00.000 --> 00:00:09.000]  今次平均來說,過了六天左右,平均每一天講四小時
[00:00:09.000 --> 00:00:11.000]  平均每一天睡四小時
[00:00:11.000 --> 00:00:15.000]  所以都有點累,但都OK的
[00:00:15.000 --> 00:00:20.000]  曾經聽過一個牧師,他說曾經有一次做夢
[00:00:20.000 --> 00:00:23.000]  他只是說笑,做夢是在講道
[00:00:23.000 --> 00:00:27.000]  醒來的時候,真的在講道
[00:00:27.000 --> 00:00:32.000]  他只是說笑,我今天不會講到睡著了
[00:00:32.000 --> 00:00:34.000]  所以可以放心
[00:00:34.000 --> 00:00:39.000]  盼望大家也邀請大家今天晚上來聽聽我們的分享
[00:00:39.000 --> 00:00:43.000]  通常我在任何教會講道,都不會講我的事工
[00:00:43.000 --> 00:00:45.000]  如果你留意的話
[00:00:45.000 --> 00:00:49.000]  但今晚有個機會和大家分享過去25年
[00:00:49.000 --> 00:00:52.000]  在加拿大,在中國所做的事
[00:00:52.000 --> 00:00:55.000]  所以我很誠懇邀請大家
[00:00:55.000 --> 00:00:58.000]  今天晚上有時間的時候
[00:00:58.000 --> 00:01:00.000]  不應該說有時間的時候
[00:01:00.000 --> 00:01:02.000]  請大家今天晚上安排時間
[00:01:02.000 --> 00:01:05.000]  七點半來和我們一起分享
[00:01:05.000 --> 00:01:08.000]  好,我們先祈禱
[00:01:08.000 --> 00:01:11.000]  天父我們將以下的時間都帶到主的面前
[00:01:11.000 --> 00:01:14.000]  願意我們在這個話語當中有學習
[00:01:14.000 --> 00:01:17.000]  就是看見你怎樣索做你的工人
[00:01:17.000 --> 00:01:19.000]  每一個工人都有你給他們的使命
[00:01:19.000 --> 00:01:22.000]  每一個工人都有他的需要
[00:01:22.000 --> 00:01:27.000]  我們看見剛才聽到兩位工人的分享
[00:01:27.000 --> 00:01:29.000]  我們都為他們感恩
[00:01:29.000 --> 00:01:31.000]  求主你幫助我們每一個
[00:01:31.000 --> 00:01:34.000]  無論在工場上,在教會中,在職場上
[00:01:34.000 --> 00:01:36.000]  讓我們眾人都是你的工人
[00:01:36.000 --> 00:01:38.000]  有忠心,而且有榜樣
[00:01:38.000 --> 00:01:40.000]  有見識,又有良知
[00:01:40.000 --> 00:01:43.000]  帶領我們眾人在這些人物身上學習
[00:01:43.000 --> 00:01:45.000]  怎樣成為一個好的僕人
[00:01:45.000 --> 00:01:47.000]  因代我們以下聽你話語的時間
[00:01:47.000 --> 00:01:49.000]  聽我們祈禱,奉耶穌的名祈禱
[00:01:49.000 --> 00:01:51.000]  阿們
[00:01:51.000 --> 00:01:53.000]  昨天講了兩堂
[00:01:53.000 --> 00:01:57.000]  第一堂是講聰明笨白
[00:01:57.000 --> 00:01:59.000]  聰明為何又這麼蠢呢
[00:01:59.000 --> 00:02:03.000]  因為聰明反被聰明誤
[00:02:03.000 --> 00:02:05.000]  第二堂講到大能的弱者
[00:02:05.000 --> 00:02:08.000]  既然大能為何這麼弱呢
[00:02:08.000 --> 00:02:11.000]  他的弱是因為他比頭厲害
[00:02:11.000 --> 00:02:14.000]  參宣是很厲害,可惜也是很弱
[00:02:14.000 --> 00:02:17.000]  雅各是很聰明,但他也是很笨
[00:02:17.000 --> 00:02:20.000]  在雅各身上我們看到人生的得得失失
[00:02:20.000 --> 00:02:22.000]  人生的對對錯錯
[00:02:22.000 --> 00:02:24.000]  人生是會有得有失
[00:02:24.000 --> 00:02:26.000]  但人不可以不分對錯
