
[00:00:00.000 --> 00:00:08.560]  曾經有不少信徒問我這條問題
[00:00:08.560 --> 00:00:12.440]  我相信你也曾經遇見過這條問題
[00:00:12.440 --> 00:00:17.600]  就是應該怎樣選擇參加一間教會
[00:00:17.600 --> 00:00:23.400]  這條問題不單是我做牧者之後被問
[00:00:23.400 --> 00:00:27.480]  我自己在信主初期也問過這條問題
[00:00:27.480 --> 00:00:30.560]  因為我最初參加教會時
[00:00:30.560 --> 00:00:37.960]  我曾經對教會有些看法或認識
[00:00:37.960 --> 00:00:41.840]  當進入當時參加的教會時
[00:00:41.840 --> 00:00:44.560]  我發覺有很多東西不太相似
[00:00:44.560 --> 00:00:46.760]  我就開始問這條問題
[00:00:46.760 --> 00:00:49.600]  究竟怎樣選擇一間教會呢
[00:00:49.600 --> 00:00:51.600]  哪間才是教會呢
[00:00:51.600 --> 00:00:54.400]  甚至今早我的兒子也短訊我
[00:00:54.400 --> 00:00:59.920]  我問他爸爸我認識了另一間教會在多倫多市中心
[00:00:59.920 --> 00:01:02.920]  你可否告訴我這間教會是怎樣的
[00:01:02.920 --> 00:01:06.920]  他的回答是他比我這個爸爸更加相信
[00:01:06.920 --> 00:01:09.720]  其實我也不認識很多教會
[00:01:09.720 --> 00:01:12.520]  但至少他認識了我所說的教會
[00:01:12.520 --> 00:01:16.160]  這條問題其實是很普遍的
[00:01:16.160 --> 00:01:22.320]  也不應該說是在我們每個信徒的生命中
[00:01:22.320 --> 00:01:25.840]  因為無論在任何情況下
[00:01:25.840 --> 00:01:27.840]  你可能也需要做一些抉擇
[00:01:27.840 --> 00:01:31.520]  例如最簡單的就是去旅行
[00:01:31.520 --> 00:01:36.080]  去旅行時你會否返回崇拜
[00:01:36.080 --> 00:01:38.880]  我通常返回崇拜
[00:01:38.880 --> 00:01:43.200]  寧願預備少一點時間去參觀城市
[00:01:43.200 --> 00:01:45.200]  我都會找教會聚會
[00:01:45.200 --> 00:01:49.200]  因為我覺得這是整個旅程的一部分
[00:01:49.200 --> 00:01:55.600]  可以去那個地方去經驗一下和教會的弟兄姊妹交往
[00:01:55.600 --> 00:01:59.200]  也是旅程的一環節
