
[00:00:00.000 --> 00:00:06.080]  跟大家分享了兩年關於詩篇的教導
[00:00:06.080 --> 00:00:10.140]  現在就轉去《羅馬書》了 新的一年
[00:00:10.140 --> 00:00:11.980]  為什麼《羅馬書》呢?
[00:00:11.980 --> 00:00:15.680]  一方面上次講舊約 詩篇是舊約
[00:00:15.680 --> 00:00:18.920]  平衡了這次講新約
[00:00:18.920 --> 00:00:21.140]  除了這點之外
[00:00:21.140 --> 00:00:24.940]  其實在內容上都是一個挺好的平衡
[00:00:24.940 --> 00:00:31.240]  因為詩篇是講神的兒女的心境
[00:00:31.240 --> 00:00:36.460]  希望藉著過去兩年跟大家分享詩篇
[00:00:36.460 --> 00:00:40.760]  讓大家明白到其實詩篇是一本很坦白的
[00:00:40.760 --> 00:00:45.380]  一本禱告的經文
[00:00:45.380 --> 00:00:49.220]  無論你的心情是開心還是傷心
[00:00:49.220 --> 00:00:51.520]  憤怒或者很有抱負
[00:00:51.520 --> 00:00:53.440]  什麼心境都好
[00:00:53.440 --> 00:00:57.440]  其實詩篇裡面都有一些的禱告
[00:00:57.440 --> 00:00:59.520]  是反映你們的心境
[00:00:59.520 --> 00:01:02.640]  雖然我們暫時告別詩篇
[00:01:02.640 --> 00:01:05.080]  不知道在我人生的路上
[00:01:05.080 --> 00:01:08.660]  有沒有機會回來再講詩篇的系列
[00:01:08.660 --> 00:01:13.520]  不過希望你都繼續去尋索
[00:01:13.520 --> 00:01:17.400]  詩篇裡面怎樣在你不同的心境裡面
[00:01:17.400 --> 00:01:18.800]  其實都有一首詩
[00:01:18.800 --> 00:01:23.480]  總有一首詩篇好像聖靈一樣為你去代禱
[00:01:23.480 --> 00:01:26.580]  詩篇都是在為你去禱告
[00:01:26.580 --> 00:01:32.860]  不過如果詩篇是強調主觀的體會的表達
[00:01:32.860 --> 00:01:36.800]  羅馬書就強調客觀的福音
[00:01:36.800 --> 00:01:40.460]  到底神為我們做了些什麼呢?
[00:01:40.460 --> 00:01:42.620]  不是我自己的體會
[00:01:42.620 --> 00:01:43.880]  雖然那部份都重要
[00:01:43.880 --> 00:01:48.440]  但羅馬書強調的就是神做了些什麼
[00:01:48.440 --> 00:01:51.280]  我覺得兩邊都很重要的
[00:01:51.280 --> 00:01:55.740]  如果你只是頭腦上知道神做了些什麼
[00:01:55.740 --> 00:01:58.240]  但你心境上找不到一個聲音
