
[00:00:00.000 --> 00:00:05.300]  我從來沒有試過在講座裏面有這麼好的音樂
[00:00:05.300 --> 00:00:08.580]  令我忘記了我是港元
[00:00:08.580 --> 00:00:12.000]  我以為是來參加一個音樂會
[00:00:12.000 --> 00:00:16.900]  我必須要先講清楚
[00:00:16.900 --> 00:00:24.580]  這三晚不是《釋經》講道 是講座
[00:00:24.580 --> 00:00:27.080]  是我們一起來探討
[00:00:27.080 --> 00:00:34.240]  舊約聖經、文學、歷史和神學
[00:00:34.240 --> 00:00:38.600]  這三方面的互動結合
[00:00:38.600 --> 00:00:43.720]  所以這三晚我們將舊約聖經分開三個範圍
[00:00:43.720 --> 00:00:52.680]  今晚我們先來討論的是舊約裏面的記序、文學
[00:00:52.680 --> 00:00:59.080]  明晚我們會討論舊約聖經裏面的詩歌
[00:00:59.080 --> 00:01:04.960]  最後一晚我們進入到第三個範疇
[00:01:04.960 --> 00:01:09.320]  就是舊約的智慧、文學
[00:01:09.320 --> 00:01:15.720]  二十世紀的聖經、文學研究的開始
[00:01:15.720 --> 00:01:24.120]  其實是一個無心插柳的結果
[00:01:24.120 --> 00:01:31.800]  即是說不是由聖經學者來出發討論
[00:01:31.800 --> 00:01:37.800]  那是比較遲的發展
[00:01:37.800 --> 00:01:41.000]  第二次世界大戰期間
[00:01:41.000 --> 00:01:46.600]  一位猶太裔的學者他在德國長大
[00:01:46.600 --> 00:01:48.600]  Eric Auerbach
[00:01:48.600 --> 00:01:54.680]  他由Mabuch去到伊斯坦堡
[00:01:54.680 --> 00:02:00.200]  在土耳其的大學來教授
[00:02:00.200 --> 00:02:03.560]  當時大概不是叫做比較文學
[00:02:03.560 --> 00:02:05.560]  不過如果用今天的說法
[00:02:05.560 --> 00:02:10.440]  這個會是一個比較文學的概念
[00:02:10.440 --> 00:02:14.680]  這個會是一個比較合適的形容
[00:02:14.680 --> 00:02:19.240]  Eric Auerbach是一位文學家
[00:02:19.240 --> 00:02:24.920]  所以在他……不應該說滯留
[00:02:24.920 --> 00:02:30.600]  不過都是在歐洲的東面
[00:02:30.600 --> 00:02:35.240]  經過二次世界大戰的時期
[00:02:35.240 --> 00:02:42.200]  他就寫成了一本經典的著作
[00:02:42.200 --> 00:02:47.240]  後來是由到他47年去到美國之後
[00:02:47.240 --> 00:02:51.640]  他在耶魯大學任教10年
[00:02:51.640 --> 00:02:53.640]  1957年才離開世界
[00:02:53.640 --> 00:02:57.800]  所以這本著作翻譯成為英文
[00:02:57.800 --> 00:03:00.440]  首先在瑞士1946年出版
[00:03:00.440 --> 00:03:02.840]  後來到53年的時候
[00:03:02.840 --> 00:03:06.200]  在普林斯頓大學出版社幫他出版
[00:03:06.200 --> 00:03:09.400]  題目是用英文來說
[00:03:09.400 --> 00:03:17.640]  Mimesis the representation of reality in western literature
[00:03:17.640 --> 00:03:21.800]  Mimesis這個當然是希臘文
[00:03:21.800 --> 00:03:26.520]  是模仿的意思
[00:03:26.520 --> 00:03:28.520]  Auerbach在這本書裏面
[00:03:28.520 --> 00:03:37.960]  其實是想討論西方文學對於現實的描寫
[00:03:37.960 --> 00:03:44.120]  那個歷史的演變、發展
[00:03:44.120 --> 00:03:47.400]  他提到在打仗的期間
[00:03:47.400 --> 00:03:50.440]  伊斯坦堡的大學圖書館
[00:03:50.440 --> 00:03:55.640]  不是一個最理想做研究的場所
[00:03:55.640 --> 00:03:58.200]  特別沒有甚麼期刊
[00:03:58.200 --> 00:04:01.400]  所以寫不了很多註腳
[00:04:01.400 --> 00:04:03.960]  也都通訊有困難
[00:04:03.960 --> 00:04:07.320]  所以變成自己一個人埋頭苦幹
[00:04:07.320 --> 00:04:10.680]  有很多所謂critical text
[00:04:10.680 --> 00:04:13.960]  都沒有辦法拿到做參考
[00:04:13.960 --> 00:04:17.640]  不過他在道歉之餘
[00:04:17.640 --> 00:04:20.680]  他說可能也是因為這樣的原因
[00:04:20.680 --> 00:04:24.120]  才會寫得成這本書
[00:04:24.120 --> 00:04:25.160]  否則的話
[00:04:25.160 --> 00:04:31.880]  就可能迷失在無窮盡的注釋裏面
[00:04:31.880 --> 00:04:34.280]  Auerbach的這本書
[00:04:34.280 --> 00:04:41.320]  其實是全部用實際的例子
[00:04:41.320 --> 00:04:44.760]  在西方的文學作品裏面
[00:04:44.760 --> 00:04:49.080]  選出不同的片段
[00:04:49.080 --> 00:04:52.840]  很深入地去分析
[00:04:52.840 --> 00:04:58.200]  從古典到現代
[00:04:58.200 --> 00:05:04.600]  跟我們有關係的就是這本書的第一章
[00:05:04.600 --> 00:05:08.920]  Auerbach從古典文學
[00:05:08.920 --> 00:05:11.960]  希臘的史詩
[00:05:11.960 --> 00:05:15.000]  和舊約聖經
[00:05:15.000 --> 00:05:21.320]  創世紀作一個比較
[00:05:21.320 --> 00:05:28.040]  他將這兩種的記罪文體
[00:05:28.040 --> 00:05:34.600]  定為西方文學的主流發展
[00:05:34.600 --> 00:05:40.280]  兩個重要的代表
[00:05:40.280 --> 00:05:43.960]  所以作為一個實際的例子
[00:05:43.960 --> 00:05:45.240]  一個illustration
[00:05:45.240 --> 00:05:49.880]  來解釋西方文學發展的這兩條路
[00:05:49.880 --> 00:05:51.880]  其實Auerbach的目的
[00:05:51.880 --> 00:05:55.000]  不是要去做一個判斷
[00:05:55.000 --> 00:05:58.600]  或者做一個比較
[00:05:58.600 --> 00:06:01.560]  哪一方面是優勝
[00:06:01.560 --> 00:06:04.440]  哪一方面是不好
[00:06:04.440 --> 00:06:07.800]  雖然我們可能會有一點點懷疑
[00:06:07.800 --> 00:06:09.560]  他既然是猶太人
[00:06:09.560 --> 00:06:13.400]  一定是聖經比較好一點
[00:06:13.400 --> 00:06:19.640]  但是我們不應該有這樣先入為主的假設
