
[00:00:00.000 --> 00:00:05.520]  謝謝 謝謝謝謝 謝謝 謝謝
[00:00:05.520 --> 00:00:08.480]  中心堂的大型節目給我機會
[00:00:08.480 --> 00:00:10.860]  也謝謝謝謝謝謝謝謝謝謝謝謝
[00:00:10.860 --> 00:00:15.600]  特別是容許我可以不用戴口罩去講
[00:00:15.600 --> 00:00:17.720]  因為事實上外面是很熱的
[00:00:17.720 --> 00:00:20.000]  戴了口罩進來差不多窒息了
[00:00:20.000 --> 00:00:22.800]  現在再講兩個小時
[00:00:22.800 --> 00:00:25.080]  可能都不知道怎麼處理
[00:00:25.080 --> 00:00:26.700]  或者我先講一下
[00:00:26.700 --> 00:00:32.920]  我這次是想跟大家一起看這四張聖經
[00:00:32.920 --> 00:00:38.580]  安排原先在實體上大家可以見到面
[00:00:38.580 --> 00:00:44.260]  真人去見的 但是現在這樣安排
[00:00:44.260 --> 00:00:47.400]  變成大約是兩個小時左右
[00:00:47.400 --> 00:00:49.960]  今天講的 希望可以講到
[00:00:49.960 --> 00:00:53.180]  菲律賓大概的框架
[00:00:53.180 --> 00:01:00.660]  由於明天的堂是崇拜形式
[00:01:00.660 --> 00:01:04.480]  就會留一點點是第四章的
[00:01:04.480 --> 00:01:06.800]  明天的訊息主要是講第四章
[00:01:06.800 --> 00:01:08.620]  所以如果有時間
[00:01:08.620 --> 00:01:13.100]  弟兄姊妹你們今天看完這一個多小時
[00:01:13.100 --> 00:01:17.260]  明天崇拜的時候就可以好像組裝Lego一樣
[00:01:17.260 --> 00:01:19.180]  組裝四張聖經
[00:01:19.180 --> 00:01:22.260]  我是因著時間這樣安排
[00:01:22.260 --> 00:01:24.840]  我剛才跟牧師說 如果可以
[00:01:24.840 --> 00:01:28.700]  我就會捱得到一直講完
[00:01:28.700 --> 00:01:30.800]  今天這個多小時
[00:01:30.800 --> 00:01:33.540]  如果捱不到的時候我就會中途停一停
[00:01:33.540 --> 00:01:38.280]  因為我都很久沒試過連續講兩個小時了
[00:01:38.280 --> 00:01:40.760]  現在年紀大了都不敢誇口
[00:01:40.760 --> 00:01:44.740]  所以希望大家都是接受和原諒
[00:01:44.740 --> 00:01:46.780]  我就不知道教會用什麼聖經
[00:01:46.780 --> 00:01:48.260]  我預備的時候
[00:01:48.260 --> 00:01:51.180]  很多時候都有和合本和和修本的
[00:01:51.180 --> 00:01:54.620]  我自己也覺得有時候查考聖經的時候
[00:01:54.620 --> 00:01:57.260]  特別是對保羅的書信來說
[00:01:57.260 --> 00:02:00.660]  總是覺得看完《新漢語》、《易本》
[00:02:00.660 --> 00:02:03.260]  得著是大一點的
[00:02:03.260 --> 00:02:05.020]  而且《新漢語》、《易本》
[00:02:05.020 --> 00:02:06.960]  有些地方譯得好的地方
[00:02:06.960 --> 00:02:09.260]  還有它有個註腳幫到我
[00:02:09.260 --> 00:02:12.880]  看清楚究竟這個詞彙
[00:02:12.880 --> 00:02:14.780]  或者這幾句話的結構
[00:02:14.780 --> 00:02:18.420]  究竟是怎麼看比較方便一點
[00:02:18.420 --> 00:02:22.580]  我現在就開始先講第一章
[00:02:22.580 --> 00:02:27.080]  我記得Chris問我究竟有沒有給他一個大綱
[00:02:27.080 --> 00:02:28.420]  我就給他一個大綱
[00:02:28.420 --> 00:02:30.740]  我相信大家看的時候都會有一個大綱
[00:02:30.740 --> 00:02:32.340]  會參考一下
[00:02:32.340 --> 00:02:36.100]  不過我都和Chris稍微提醒了一點
[00:02:36.100 --> 00:02:38.760]  因為大綱是人們作下去的
[00:02:38.760 --> 00:02:41.100]  保羅不是按著這個大綱來寫的
[00:02:41.100 --> 00:02:45.180]  不用太緊張是不是有個大綱在這裡
[00:02:45.180 --> 00:02:46.820]  我自己看聖經的方法
[00:02:46.820 --> 00:02:51.860]  總之看到文意裡面講的東西
[00:02:51.860 --> 00:02:55.660]  你總是覺得它講得很順暢
[00:02:55.660 --> 00:02:57.560]  上文下理都順暢
[00:02:57.560 --> 00:03:01.020]  聽下去的時候很有力量
[00:03:01.020 --> 00:03:04.160]  和和作者講的東西一貫來說
[00:03:04.160 --> 00:03:08.420]  他講的理論、他的人生是很吻合的
[00:03:08.420 --> 00:03:14.540]  我覺得這個是比有一個很正的大綱更加穩固
[00:03:14.540 --> 00:03:16.680]  我怎樣去看呢?
[00:03:16.680 --> 00:03:21.060]  我想從菲律賓書個別的金句
[00:03:21.060 --> 00:03:26.420]  或者是特別吸引我們的句子來看
[00:03:26.420 --> 00:03:29.620]  所以每一章我都是抽這些句子來看
[00:03:29.620 --> 00:03:33.620]  一邊講的時候希望可以稍微涉獵到那一章
[00:03:33.620 --> 00:03:35.740]  或者是第二章的信息
[00:03:35.740 --> 00:03:39.500]  希望可以這樣容易一點入手
[00:03:39.500 --> 00:03:43.220]  我就先試一下從這樣的角度去看看
[00:03:43.220 --> 00:03:46.440]  如果大家看第一章聖經的時候
[00:03:46.440 --> 00:03:53.660]  因為有一句金句 都可以叫它很金的
[00:03:53.660 --> 00:04:00.580]  就是第六節 或者我讀和合本
[00:04:00.580 --> 00:04:04.900]  我深信那在你們心裡動了善功的
[00:04:04.900 --> 00:04:10.900]  必成全者功 直到耶穌基督的日子
[00:04:10.900 --> 00:04:11.920]  為什麼我讀和合本呢?
[00:04:11.920 --> 00:04:15.940]  因為通常我們金句都是從和合本開始學的
[00:04:15.940 --> 00:04:18.800]  比較認識多一點就是由和合本
[00:04:18.800 --> 00:04:22.500]  所以人們一聽到和合本就習慣了覺得它是金句
[00:04:22.500 --> 00:04:23.940]  這句聖經
[00:04:23.940 --> 00:04:28.440]  深信那在你們心裡動了善功的
[00:04:28.440 --> 00:04:35.300]  必成全者功 直到耶穌基督的日子
[00:04:35.300 --> 00:04:38.420]  很多時候我們都是在想什麼呢?
[00:04:38.420 --> 00:04:48.340]  就是我們中心堂擴展賣了單位
[00:04:48.340 --> 00:04:52.620]  賣了單位不過要供樓 最近經濟不好
[00:04:52.620 --> 00:04:55.000]  不過既然是神叫我們買單位
[00:04:55.000 --> 00:04:58.140]  那就必然會供得到的
[00:04:58.140 --> 00:05:01.660]  又或者我兒子想要娶這個姐妹
[00:05:01.660 --> 00:05:05.180]  他們都走得很近的了 他們都已經下訂了
[00:05:05.180 --> 00:05:07.860]  一定能娶到她的了
[00:05:07.860 --> 00:05:11.580]  很多時候都是用這樣的角度去看
[00:05:11.580 --> 00:05:14.460]  沒錯是挺有安慰的
[00:05:14.460 --> 00:05:16.780]  對人生的計劃來說是挺積極的
[00:05:16.780 --> 00:05:23.960]  但是我比較喜歡看聖經的時候將它收窄一點
