
[00:00:00.000 --> 00:00:03.000]  (主持人:是的)
[00:00:03.000 --> 00:00:08.400]  的確 貴教會有不少弟兄姐妹跟我去聖地
[00:00:08.400 --> 00:00:10.240]  你會知道我去聖地
[00:00:10.240 --> 00:00:13.680]  我喜歡先去約旦
[00:00:13.680 --> 00:00:19.240]  約旦就在約旦河和死海的東邊
[00:00:19.240 --> 00:00:20.760]  當我們去到約旦的時候
[00:00:20.760 --> 00:00:24.080]  我們會見到很多的曠野
[00:00:24.080 --> 00:00:28.960]  我們就不期然想起聖經裡面兩個人物
[00:00:28.960 --> 00:00:33.120]  這兩個人物當他活在世上的時候
[00:00:33.120 --> 00:00:38.800]  他活動的範圍很多時候是在河的東邊
[00:00:38.800 --> 00:00:42.600]  第一位我們會思想的就是摩西
[00:00:42.600 --> 00:00:44.920]  這位神特別揀選的伏人
[00:00:44.920 --> 00:00:48.080]  非常忠心 非常謙卑
[00:00:48.080 --> 00:00:51.960]  來到伏事神帶領以色列人出埃及
[00:00:51.960 --> 00:00:57.040]  在曠野兜兜轉轉走了四十年
[00:00:57.040 --> 00:00:59.560]  當我們研究他的一生的時候
[00:00:59.560 --> 00:01:02.560]  我們不禁要問兩個問題
[00:01:02.560 --> 00:01:04.680]  第一個問題就是
[00:01:04.680 --> 00:01:10.040]  他一生最高的目的就是要進去迦南地
[00:01:10.040 --> 00:01:13.040]  但是他自己竟然進不了
[00:01:13.040 --> 00:01:17.240]  到底摩西的一生是一個成功的一生呢
[00:01:17.240 --> 00:01:20.360]  還是一個失敗的一生呢
[00:01:20.360 --> 00:01:22.240]  第二個問題我們要問的就是
[00:01:22.240 --> 00:01:26.560]  神啊 你對摩西到底公不公平呢
[00:01:26.560 --> 00:01:29.120]  第二個我們會想起的人物
[00:01:29.120 --> 00:01:32.280]  就是我今天要講的施洗約翰
[00:01:32.280 --> 00:01:34.760]  也是一個神特別揀選的伏人
[00:01:34.760 --> 00:01:37.440]  也是一個忠心至死
[00:01:37.440 --> 00:01:41.280]  很謙卑地來到伏事神的人
[00:01:41.280 --> 00:01:43.840]  我們不禁要問的就是
[00:01:43.840 --> 00:01:47.040]  到底施洗約翰的一生
[00:01:47.040 --> 00:01:50.400]  是成功的一生還是失敗的一生
[00:01:50.400 --> 00:01:52.280]  我們也不禁要問神的就是
[00:01:52.280 --> 00:01:55.760]  神啊 你對這位這麼忠心的伏人
[00:01:55.760 --> 00:01:58.560]  你到底公不公平呢
[00:01:58.560 --> 00:02:01.240]  今早我們要默想施洗約翰
[00:02:01.240 --> 00:02:05.000]  我們要從五方面來著手
[00:02:05.000 --> 00:02:09.080]  第一方面我們要對他有一些的認識
[00:02:09.080 --> 00:02:12.000]  施洗約翰在四卷福音書裡面
[00:02:12.000 --> 00:02:13.880]  都有記載到他
[00:02:13.880 --> 00:02:16.480]  是一個很特別的人物
[00:02:16.480 --> 00:02:19.240]  也是一個很重要的人物
[00:02:19.240 --> 00:02:23.640]  第二我們要明白施洗約翰的使命
[00:02:23.640 --> 00:02:28.080]  第三我們要明白他的下場
[00:02:28.080 --> 00:02:29.880]  我用到下場這兩個字
[00:02:29.880 --> 00:02:33.280]  你馬上可以想到不是很好
[00:02:33.280 --> 00:02:34.800]  如果是好的結果
