
[00:00:00.000 --> 00:00:05.000]  我可以講到幾點?
[00:00:05.000 --> 00:00:09.000]  無論如何,我不是問這個,不要緊
[00:00:09.000 --> 00:00:13.000]  其實都很開心可以回到香港
[00:00:13.000 --> 00:00:15.000]  我等了很久
[00:00:15.000 --> 00:00:18.000]  今早的靈修分享都有提到
[00:00:18.000 --> 00:00:21.000]  1月5日我就回到多倫多
[00:00:21.000 --> 00:00:25.000]  後來知道疫情就發生
[00:00:25.000 --> 00:00:27.000]  一直都很期待今天
[00:00:27.000 --> 00:00:29.000]  我一直在想回來跟大家說些什麼
[00:00:29.000 --> 00:00:32.000]  我又很擔心我回不來
[00:00:32.000 --> 00:00:34.000]  我擔心沒有飛機
[00:00:34.000 --> 00:00:37.000]  我擔心全福堂說你不要來了
[00:00:37.000 --> 00:00:41.000]  很感恩到最後我都上到飛機
[00:00:41.000 --> 00:00:46.000]  我是在多倫多星期五凌晨1點15分起飛
[00:00:46.000 --> 00:00:51.000]  我是今早香港時間6點15分到機
[00:00:51.000 --> 00:00:54.000]  今次我不可以去其他地方講
[00:00:54.000 --> 00:00:59.000]  其實主要就是我不可以回到中國
[00:00:59.000 --> 00:01:05.000]  我上星期在多倫多港島都忍不住
[00:01:05.000 --> 00:01:09.000]  因為我很少敬拜唱不到詩
[00:01:09.000 --> 00:01:11.000]  上星期都唱不到
[00:01:11.000 --> 00:01:14.000]  我在國語教會講到
[00:01:14.000 --> 00:01:16.000]  其實我很想回去探望我的同工
[00:01:16.000 --> 00:01:19.000]  但是回不去,因為他們出不來
[00:01:19.000 --> 00:01:21.000]  他說徐大兄你不要來
[00:01:21.000 --> 00:01:23.000]  因為我們出不來見你
[00:01:23.000 --> 00:01:27.000]  很感恩香港還可以回來
[00:01:27.000 --> 00:01:29.000]  當我今早踏足香港
[00:01:29.000 --> 00:01:33.000]  我是很高興我能夠回來
[00:01:33.000 --> 00:01:37.000]  因為可以做的事很悠閒
[00:01:37.000 --> 00:01:41.000]  直播
[00:01:41.000 --> 00:01:48.000]  不過我OK的,過一會沒事
[00:01:48.000 --> 00:01:50.000]  大家可能都習慣了
[00:01:50.000 --> 00:01:57.000]  飛了15個小時,我會飛14個小時回到多倫多
[00:01:57.000 --> 00:01:59.000]  我星期六就會走
[00:01:59.000 --> 00:02:03.000]  回去之後我有14天的自我隔離
[00:02:03.000 --> 00:02:08.000]  我太太預備了一間房給我
[00:02:08.000 --> 00:02:11.000]  打算在房間外面寫著三個字
[00:02:11.000 --> 00:02:13.000]  叫做全福堂
[00:02:13.000 --> 00:02:16.000]  因為你們我才隔離
[00:02:16.000 --> 00:02:20.000]  同工都知道
[00:02:20.000 --> 00:02:26.000]  上星期都有人問我值不值得回
[00:02:26.000 --> 00:02:28.000]  我覺得很值得
[00:02:28.000 --> 00:02:34.000]  因為我覺得有時錦上添花容顏
[00:02:34.000 --> 00:02:40.000]  所以剛才我很用心換了一副衣服
[00:02:40.000 --> 00:02:44.000]  不好意思你們有實習神學生在
[00:02:44.000 --> 00:02:47.000]  我不是一個很好的榜樣
[00:02:47.000 --> 00:02:52.000]  這篇講道我準備了很久
[00:02:52.000 --> 00:02:54.000]  我很感恩神給我的題目
[00:02:54.000 --> 00:02:56.000]  我想一兩個星期前
[00:02:56.000 --> 00:02:59.000]  給了一個題目叫做萬萬走物亂跑
[00:02:59.000 --> 00:03:01.000]  其實經文一早已經有
[00:03:01.000 --> 00:03:03.000]  內容大概都有
[00:03:03.000 --> 00:03:06.000]  但這個題目我覺得都很適合
[00:03:06.000 --> 00:03:11.000]  我們先做個祈禱
[00:03:11.000 --> 00:03:14.000]  天父求主你真的安定孩子的心
[00:03:14.000 --> 00:03:18.000]  讓我能夠很專一、很專心、又能夠清楚
[00:03:18.000 --> 00:03:22.000]  將已不所需的訊息和弟兄姊妹分享
[00:03:22.000 --> 00:03:26.000]  特別我們明白你的話語是永生之道
[00:03:26.000 --> 00:03:31.000]  你的話語也是適切、適合我們今日使用
[00:03:31.000 --> 00:03:33.000]  所以求天父你幫助我們
[00:03:33.000 --> 00:03:37.000]  透過你的話語給我們鼓勵、安定、提醒
[00:03:37.000 --> 00:03:43.000]  叫我們不要亂、不要妄言、不要無奈
[00:03:43.000 --> 00:03:47.000]  而能夠更加在我們困境當中
[00:03:47.000 --> 00:03:50.000]  能夠破土而出
[00:03:50.000 --> 00:03:52.000]  能夠為主你發光
[00:03:52.000 --> 00:03:55.000]  能夠持守你給我們的使命
[00:03:55.000 --> 00:03:57.000]  能夠持定你給我們的盼望
