
[00:00:00.000 --> 00:00:08.540]  各位早晨 各位早晨 各位媽咪早晨
[00:00:08.540 --> 00:00:13.580]  很多謝林牧師給我機會在母親節講福音主義
[00:00:13.580 --> 00:00:18.120]  對我來說很有意義 我媽媽在三年前回到天家
[00:00:18.120 --> 00:00:22.840]  每一次母親節都在想 怎樣去懷念我媽媽呢
[00:00:22.840 --> 00:00:26.180]  今天沒好得過 我認識到很多這裡的會友
[00:00:26.180 --> 00:00:29.400]  也有一些新來的朋友 大家一起分享一下
[00:00:29.400 --> 00:00:35.120]  究竟我們所敬愛的媽媽 其實她的心願是什麼呢
[00:00:35.120 --> 00:00:39.100]  我們怎樣可以和她一起過一個很快樂的人生呢
[00:00:39.100 --> 00:00:46.700]  我在講的時候 我很想大家去想一想
[00:00:46.700 --> 00:00:50.780]  這個疫情令到我們很難回教會
[00:00:50.780 --> 00:00:53.700]  不知道為什麼好像天父特別給我們在母親節
[00:00:53.700 --> 00:00:56.580]  可以這麼多人坐在這裡
[00:00:56.580 --> 00:00:59.980]  沒有什麼是偶然的 每一件事都可能
[00:00:59.980 --> 00:01:03.780]  你今天坐在這裡第一次 可能你成為生命裡面
[00:01:03.780 --> 00:01:07.780]  一個永遠快樂的開始 永遠快樂的開始
[00:01:07.780 --> 00:01:11.540]  我媽媽很喜歡獎勵我讀書好
[00:01:11.540 --> 00:01:14.500]  多數一定是送簿子給我
[00:01:14.500 --> 00:01:17.300]  送了整個童年都是簿子
[00:01:17.300 --> 00:01:20.800]  所以我今天的講章都是寫在這本簿子上
[00:01:20.800 --> 00:01:25.100]  當作是我不放在電腦了 自己親筆寫
[00:01:25.100 --> 00:01:27.500]  你掛念我媽媽
[00:01:27.500 --> 00:01:31.620]  福音主教其實講的東西是講四樣東西
[00:01:31.620 --> 00:01:36.420]  就是人是有希望
[00:01:36.420 --> 00:01:39.900]  這個希望可以幫我們改變我們的生命
[00:01:39.900 --> 00:01:43.640]  第二是什麼呢 就是你要認識「復活」
[00:01:43.640 --> 00:01:46.140]  這兩個字的主角是誰
[00:01:46.140 --> 00:01:49.340]  第三樣東西就是你絕望的時候
[00:01:49.340 --> 00:01:53.340]  人是會經歷到「恩典」的
