
[00:00:00.000 --> 00:00:04.600]  各位觀眾 早安
[00:00:04.600 --> 00:00:08.700]  多謝馮吉士和我讀出這麼長的經文
[00:00:08.700 --> 00:00:13.700]  多謝施牧師和潘姑娘安排我連續兩個星期
[00:00:13.700 --> 00:00:15.100]  大家分口神的話
[00:00:15.100 --> 00:00:18.700]  今天我選的題目是約白記
[00:00:18.700 --> 00:00:22.700]  我分開兩部分 順境篇和逆境篇
[00:00:22.700 --> 00:00:24.700]  開始的時候我們一起祈禱
[00:00:24.700 --> 00:00:30.200]  祈求祢開我們的眼 開我們的心
[00:00:30.200 --> 00:00:32.200]  讓我們學習去敬畏祢
[00:00:32.200 --> 00:00:35.200]  學習去體貼神的心意
[00:00:35.200 --> 00:00:37.200]  從一切事上認定祢
[00:00:37.200 --> 00:00:40.200]  同主耶穌基督的名祈求
[00:00:40.200 --> 00:00:45.200]  約白記是整本聖經最早的一本書
[00:00:45.200 --> 00:00:48.200]  神學家估計約白這個人
[00:00:48.200 --> 00:00:54.200]  可能是在羅亞和阿伯拉罕之間的那段日子
[00:00:54.200 --> 00:00:59.200]  即是在公元前的三千年到公元前的二千年
[00:00:59.200 --> 00:01:01.200]  他是第一本智慧書
[00:01:01.200 --> 00:01:04.200]  所以如果我們看針研
[00:01:04.200 --> 00:01:09.200]  大衛和所羅門王大約是公元前的一千年
[00:01:09.200 --> 00:01:15.200]  即是約白記是早於針研一到二千年的時候
[00:01:15.200 --> 00:01:17.200]  我今天會和大家看
[00:01:17.200 --> 00:01:23.200]  可能所羅門王也看約白記才寫到這本書
[00:01:23.200 --> 00:01:28.200]  所以我今天會和大家分享順境的時候
[00:01:28.200 --> 00:01:31.200]  我想提出順境的意思
[00:01:31.200 --> 00:01:38.200]  不是像約白那樣變成一個地區的首富才叫順境
[00:01:38.200 --> 00:01:42.200]  我指的順境是和你和我都有關係的
[00:01:42.200 --> 00:01:46.200]  當我們過一個算是風平浪靜
[00:01:46.200 --> 00:01:49.200]  不是有很大的健康問題
[00:01:49.200 --> 00:01:53.200]  每天都可以飲食平安可以睡覺
[00:01:53.200 --> 00:01:56.200]  沒有很大的風浪都是順境
[00:01:56.200 --> 00:01:59.200]  所以今天說的道和我們都有關係
[00:01:59.200 --> 00:02:02.200]  我下一個星期會繼續說逆境
[00:02:02.200 --> 00:02:09.200]  特別我會強調我們怎樣可以在約白順境的時候
[00:02:09.200 --> 00:02:13.200]  看他怎樣敬畏上帝和逆境的時候怎樣敬畏上帝
[00:02:13.200 --> 00:02:18.200]  所以我今天講的道是和一般聽約白記的講道有些不同
[00:02:18.200 --> 00:02:21.200]  因為我們看約白記的講道
[00:02:21.200 --> 00:02:26.200]  很多講道是從約白記看人的苦難問題
[00:02:26.200 --> 00:02:29.200]  罪惡問題 為什麼會有魔鬼的問題
[00:02:29.200 --> 00:02:34.200]  這些講道可能在其他場合也出現過
[00:02:34.200 --> 00:02:37.200]  今天我的集中點就不是在這裡
[00:02:37.200 --> 00:02:39.200]  因為大家都知道
[00:02:39.200 --> 00:02:43.200]  本約白記神沒有解釋為什麼人有苦難
[00:02:43.200 --> 00:02:46.200]  用另外的方法讓你看到神的偉大
[00:02:46.200 --> 00:02:50.200]  變成我們有苦難的時候都知道上帝看著我們
[00:02:50.200 --> 00:02:53.200]  所以今天我反而在最後那句
[00:02:53.200 --> 00:03:01.200]  這兩堂講道是看看順境跟從神和逆境跟從神
[00:03:01.200 --> 00:03:07.200]  我今天的結構就是我首先會有一個比較長的介紹
[00:03:07.200 --> 00:03:12.200]  然後我會解釋約白記第一章的一到五節
[00:03:12.200 --> 00:03:17.200]  因為我們沒有了一到五節的內容
