
[00:00:00.000 --> 00:00:09.400]  從今個主日我們很高興能夠再次去到學習主的說話
[00:00:09.400 --> 00:00:12.800]  亦都很興奮的跟大家說
[00:00:12.800 --> 00:00:16.400]  我們今天會開始一卷全新的書卷
[00:00:16.400 --> 00:00:19.600]  這卷書卷在新約聖經裏面
[00:00:19.600 --> 00:00:23.800]  是我們非常容易接觸的第一卷書卷
[00:00:23.800 --> 00:00:25.200]  就是《馬太福音》
[00:00:25.200 --> 00:00:29.800]  我會用很一段時間和大家仔細去看
[00:00:29.800 --> 00:00:32.400]  《馬太福音》裏面的教導
[00:00:32.400 --> 00:00:37.200]  亦都從這段經文這卷書卷裏面
[00:00:37.200 --> 00:00:40.200]  讓我們能夠更明白主的心思意念
[00:00:40.200 --> 00:00:42.800]  我相信作為一個基督徒
[00:00:42.800 --> 00:00:46.600]  我們一定會明白到在聖經裏面
[00:00:46.600 --> 00:00:52.200]  總共是會有舊約聖經和新約聖經兩個部分
[00:00:52.200 --> 00:00:56.200]  但不知道大家有沒有同時間去留意到
[00:00:56.200 --> 00:01:02.800]  這兩約其實裏面都有很多類似的內容和結構
[00:01:02.800 --> 00:01:07.200]  是值得我們去仔細去掌握
[00:01:07.200 --> 00:01:10.400]  和去明白上帝的心意
[00:01:10.400 --> 00:01:15.800]  而如果用一個比較神學性的描述的話
[00:01:15.800 --> 00:01:20.800]  就是說我們去研究到究竟兩約之間的關係
[00:01:20.800 --> 00:01:26.800]  這正正就是我在多年去研讀聖經裏面
[00:01:26.800 --> 00:01:28.800]  一個最核心的問題
[00:01:28.800 --> 00:01:35.400]  就是舊約如何在新約聖經裏面的運用和意義
[00:01:35.400 --> 00:01:41.400]  從這個主題開始我們會去看的《馬太福音》
[00:01:41.400 --> 00:01:45.600]  亦都會同時去輕輕介紹一下
[00:01:45.600 --> 00:01:51.200]  這個所謂舊約和新約兩者之間的關係
[00:01:51.200 --> 00:01:55.200]  亦都從而去看看在新約聖經裏面
[00:01:55.200 --> 00:02:01.000]  如何和舊約的啟示能夠打成一脈相通
[00:02:01.000 --> 00:02:08.200]  這亦都正正是我希望在《馬太福音》的講讀裏面
[00:02:08.200 --> 00:02:10.200]  希望達成的目標
[00:02:10.200 --> 00:02:15.200]  今天我們會去看很短的一節的經文
[00:02:15.200 --> 00:02:20.200]  就是《馬太福音》的第一章的第一節
[00:02:20.200 --> 00:02:23.200]  阿伯拉罕的後裔
[00:02:23.200 --> 00:02:25.200]  大衛的子孫
[00:02:25.200 --> 00:02:28.200]  耶穌基督的家譜
[00:02:28.200 --> 00:02:32.200]  這節聖經是非常短的一節經文
[00:02:32.200 --> 00:02:36.200]  但是已經是值得我們要花很多的時間
[00:02:36.200 --> 00:02:43.200]  去用英文說unpack去解說這一句聖經裏面所介紹的陳述
[00:02:43.200 --> 00:02:46.200]  其實在個人我自己講到的裏面解釋
[00:02:46.200 --> 00:02:50.200]  《馬太福音》的第一章其實都講過很多次
[00:02:50.200 --> 00:02:57.200]  但是總是想找一個機會很仔細的和弟兄姐妹去了解一下
[00:02:57.200 --> 00:03:02.200]  《馬太福音》整卷的福音書裏面的陳述
[00:03:02.200 --> 00:03:04.200]  和那個寫作結構
[00:03:04.200 --> 00:03:09.200]  以及和我們整本聖經的關係是怎樣的一回事
[00:03:09.200 --> 00:03:15.200]  終於我們來到今天我們就可以仔細的去開始去看一下這個題目
[00:03:15.200 --> 00:03:22.200]  福音書在聖經裏面是一個很特別的一個文體
[00:03:22.200 --> 00:03:26.200]  我們很多時候去學習聖經的時候
[00:03:26.200 --> 00:03:31.200]  我們都會說究竟每一卷書究竟是屬於什麼類別
[00:03:31.200 --> 00:03:33.200]  什麼的文體
[00:03:33.200 --> 00:03:35.200]  英文叫genre
[00:03:35.200 --> 00:03:39.200]  其實在不同的書卷裏面
[00:03:39.200 --> 00:03:42.200]  其實都有它固定的一個文體
[00:03:42.200 --> 00:03:44.200]  即是說福音書都有
[00:03:44.200 --> 00:03:48.200]  我們熟悉的很多時候是書信或者先知書
[00:03:48.200 --> 00:03:54.200]  如果摩西的我們就說摩西五經五卷
[00:03:54.200 --> 00:03:59.200]  或者我們看到的就是小先知書十二卷
[00:03:59.200 --> 00:04:03.200]  剛剛才看完的若爾書就是其中一部分
[00:04:03.200 --> 00:04:06.200]  但福音書是一個很特別的一個類別
[00:04:06.200 --> 00:04:13.200]  因為福音書裏面去蘊藏的一些文體可以有多樣化
[00:04:13.200 --> 00:04:19.200]  而且它在裏面涉及於很多不論是機序的事情
[00:04:19.200 --> 00:04:24.200]  或者是一些我們說的智慧的說話
[00:04:24.200 --> 00:04:25.200]  好像智慧書卷
[00:04:25.200 --> 00:04:28.200]  好像舊約聖經裏面的一些的
[00:04:28.200 --> 00:04:32.200]  針形、傳道書、詩篇
[00:04:32.200 --> 00:04:35.200]  這類型的書卷的文體
[00:04:35.200 --> 00:04:38.200]  所以福音書其實可以構造成一個
[00:04:38.200 --> 00:04:43.200]  可以說是很獨特的一個特別的文體
[00:04:43.200 --> 00:04:45.200]  它既有一些的記序
[00:04:45.200 --> 00:04:52.200]  而且在裏面也都引用了很大量的一些舊約的經文
[00:04:52.200 --> 00:04:56.200]  從而讓我們看見原來新約的啟示
[00:04:56.200 --> 00:05:01.200]  和舊約聖經裏面的上帝的工作
[00:05:01.200 --> 00:05:05.200]  或者記載其實是有緊密的關係
[00:05:05.200 --> 00:05:08.200]  在這個馬太福音的一開始
[00:05:08.200 --> 00:05:14.200]  其實我們馬上會看見的就是有一個族譜的出現
[00:05:14.200 --> 00:05:18.200]  如果大家留意到我剛才所說到的
[00:05:18.200 --> 00:05:23.200]  其實在新約或者我們之前所提及到的舊約
[00:05:23.200 --> 00:05:30.200]  其實兩者之間都有很多很類似的內容和結構
[00:05:30.200 --> 00:05:35.200]  其中一個最大特色的地方就是族譜的出現
[00:05:35.200 --> 00:05:39.200]  那你說是嗎?牧師這麼特別的嗎?
[00:05:39.200 --> 00:05:42.200]  如果我們仔細去看回在聖經裏面
[00:05:42.200 --> 00:05:48.200]  在舊約聖經的第一卷書叫作《創世紀》
[00:05:48.200 --> 00:05:55.200]  《創世紀》其實在裏面已經蘊含了很多的族譜在裏面
[00:05:55.200 --> 00:05:58.200]  在《創世紀》裏面有一個獨特的字眼
[00:05:58.200 --> 00:06:00.200]  就叫做Tulidot
[00:06:00.200 --> 00:06:03.200]  Tulidot這個希伯來文
[00:06:03.200 --> 00:06:09.200]  在單單《創世紀》裏面已經用了13次之多
[00:06:09.200 --> 00:06:16.200]  這個可以說是《創世紀》裏面的其中一個主要的研究項目
[00:06:16.200 --> 00:06:20.200]  我們今天不是說舊約不是說《創世紀》
[00:06:20.200 --> 00:06:23.200]  如果大家有興趣的話可以去看回教會
[00:06:23.200 --> 00:06:30.200]  在之前湯寶源傳道曾經授課過《創世紀》
[00:06:30.200 --> 00:06:38.200]  他也花了一些時間去和大家介紹《創世紀》裏面的族譜這個題目Tulidot
[00:06:38.200 --> 00:06:41.200]  如果我們簡單的濃縮去看一看
[00:06:41.200 --> 00:06:46.200]  《創世紀》裏面基本上有四大部分的族譜
