
[00:00:00.000 --> 00:00:05.500]  各位同學、老師,大家好
[00:00:05.500 --> 00:00:10.000]  我們講到之前我們一起低頭祈禱
[00:00:10.000 --> 00:00:12.000]  主給你天賦我們感恩
[00:00:12.000 --> 00:00:17.000]  主我們都是被你揀選蒙召的人
[00:00:17.000 --> 00:00:18.500]  求主你幫助我們
[00:00:18.500 --> 00:00:20.500]  讓我們能夠可以透過
[00:00:20.500 --> 00:00:23.000]  你怎樣來到去呼召摩西
[00:00:23.000 --> 00:00:27.000]  能夠可以認識主你在揀選當中
[00:00:27.000 --> 00:00:32.000]  要對摩西講的說話和你自己的屬性
[00:00:32.000 --> 00:00:36.000]  我們這樣祈禱送耶穌基督得勝的密合
[00:00:36.000 --> 00:00:41.000]  會賓兩港請大家來看摩西的呼召
[00:00:41.000 --> 00:00:46.000]  我相信摩西的呼召大家都已經熟到爛
[00:00:46.000 --> 00:00:48.000]  想問一個問題
[00:00:48.000 --> 00:00:53.000]  你覺得有什麼對於神來說是最重要的
[00:00:53.000 --> 00:00:56.000]  當他呼召他的僕人的時候
[00:00:56.000 --> 00:00:58.000]  給大家一些選項
[00:00:58.000 --> 00:01:01.000]  第一,他的能力、他的恩賜
[00:01:01.000 --> 00:01:05.000]  第二,神是否很急需用人
[00:01:05.000 --> 00:01:07.000]  我們知道老闆請夥計
[00:01:07.000 --> 00:01:09.000]  如果很急的時候
[00:01:09.000 --> 00:01:11.000]  他不是很符合資格
[00:01:11.000 --> 00:01:13.000]  不要緊,先請了他
[00:01:13.000 --> 00:01:15.000]  神會不會這樣呢?
[00:01:15.000 --> 00:01:19.000]  第三,他的屬靈質素是最重要的
[00:01:19.000 --> 00:01:22.000]  即是他和神的關係好
[00:01:22.000 --> 00:01:25.000]  或者他對聖經的知識好的時候
[00:01:25.000 --> 00:01:27.000]  他侍奉很有經驗
[00:01:27.000 --> 00:01:30.000]  這對於神來說
[00:01:30.000 --> 00:01:32.000]  揀選他是最重要的
[00:01:32.000 --> 00:01:38.000]  第四,究竟他準備好了沒有呢?
[00:01:38.000 --> 00:01:40.000]  如果他準備好的時候
[00:01:40.000 --> 00:01:42.000]  神會呼召他
[00:01:42.000 --> 00:01:43.000]  如果他未準備好
[00:01:43.000 --> 00:01:45.000]  神是不會呼召他
[00:01:45.000 --> 00:01:48.000]  不會給大家答案
[00:01:48.000 --> 00:01:52.000]  在這裡透過摩西
[00:01:52.000 --> 00:01:54.000]  透過神呼召摩西
[00:01:54.000 --> 00:01:57.000]  來反思這個問題
[00:01:57.000 --> 00:02:00.000]  其實剛才那條問題都不容易回答
[00:02:00.000 --> 00:02:02.000]  大家同不同意嗎?
[00:02:02.000 --> 00:02:03.000]  有些人點頭
[00:02:03.000 --> 00:02:05.000]  不容易回答的
[00:02:05.000 --> 00:02:09.000]  甚至可能沒有答案
[00:02:09.000 --> 00:02:11.000]  未必有答案
[00:02:11.000 --> 00:02:12.000]  但又不是
[00:02:12.000 --> 00:02:14.000]  可能又有答案
[00:02:14.000 --> 00:02:18.000]  所以我們看完神呼召摩西的時候
[00:02:18.000 --> 00:02:19.000]  神呼召摩西
[00:02:19.000 --> 00:02:21.000]  第一件事
[00:02:21.000 --> 00:02:23.000]  神和摩西說的是什麼?
[00:02:23.000 --> 00:02:25.000]  如果神和摩西
[00:02:25.000 --> 00:02:26.000]  神呼召摩西的時候
[00:02:26.000 --> 00:02:28.000]  第一件事是最重要的
[00:02:28.000 --> 00:02:32.000]  如果這是一個典範的話
[00:02:32.000 --> 00:02:34.000]  神揀選他的僕人
[00:02:34.000 --> 00:02:38.000]  其中這件事可能是最重要的
[00:02:38.000 --> 00:02:42.000]  在這裡,神呼召摩西之後
[00:02:42.000 --> 00:02:44.000]  小摩西做什麼?
[00:02:44.000 --> 00:02:46.000]  脫鞋
[00:02:46.000 --> 00:02:48.000]  神的聖潔
[00:02:48.000 --> 00:02:50.000]  這個就是我的答案
[00:02:50.000 --> 00:02:53.000]  認識神的聖潔
[00:02:53.000 --> 00:02:55.000]  是神呼召他的僕人
[00:02:55.000 --> 00:02:56.000]  最重要
[00:02:56.000 --> 00:03:00.000]  如果每一個蒙召的僕人
[00:03:00.000 --> 00:03:02.000]  都明白神的聖潔的話
[00:03:02.000 --> 00:03:05.000]  教會就不會有那麼多醜聞
[00:03:05.000 --> 00:03:07.000]  神的榮耀
[00:03:07.000 --> 00:03:10.000]  神的名就不會有虧損
[00:03:10.000 --> 00:03:14.000]  我們會分兩點來看
[00:03:14.000 --> 00:03:16.000]  第一點是荊棘蟲的呼召
[00:03:16.000 --> 00:03:18.000]  第二點是認識神的僕兵
[00:03:18.000 --> 00:03:21.000]  其實要摩西脫鞋
[00:03:21.000 --> 00:03:24.000]  第一件事要摩西認識神的聖潔
[00:03:24.000 --> 00:03:26.000]  在這裡
[00:03:26.000 --> 00:03:29.000]  經文開始三章一節
[00:03:29.000 --> 00:03:33.000]  摩西牧羊他岳府
[00:03:33.000 --> 00:03:36.000]  米顛濟斯熱鐵羅的羊群
[00:03:36.000 --> 00:03:39.000]  一日領羊群往野外去
[00:03:39.000 --> 00:03:42.000]  到鳥神的山就是荷葉山
[00:03:42.000 --> 00:03:45.000]  在這裡牧羊是什麼?
[00:03:45.000 --> 00:03:47.000]  牧羊是分詞
[00:03:47.000 --> 00:03:50.000]  如果我們要看
[00:03:50.000 --> 00:03:52.000]  剛剛的希伯來文同學
[00:03:52.000 --> 00:03:55.000]  就會知道牧羊的用法是什麼
[00:03:55.000 --> 00:03:56.000]  牧羊的用法是
[00:03:56.000 --> 00:03:58.000]  這裡已經有一個verb
[00:03:58.000 --> 00:04:02.000]  其實是成為牧人
[00:04:02.000 --> 00:04:06.000]  但是用分詞的目的是慣性
[00:04:06.000 --> 00:04:08.000]  這是一個道理
[00:04:08.000 --> 00:04:09.000]  從一開始就說
[00:04:09.000 --> 00:04:11.000]  摩西就是一個牧羊人
[00:04:11.000 --> 00:04:14.000]  就是荒野僻羅打工
[00:04:14.000 --> 00:04:16.000]  一日漁民是沒有的
[00:04:16.000 --> 00:04:19.000]  是翻譯的人加進去
[00:04:19.000 --> 00:04:21.000]  通常加一日是什麼意思?
[00:04:21.000 --> 00:04:23.000]  那個不是慣常發生的事
[00:04:23.000 --> 00:04:24.000]  就會一日漁民
[00:04:24.000 --> 00:04:26.000]  我們講故事都是這樣
[00:04:26.000 --> 00:04:31.000]  在這裡釋經的難題在哪裡呢?
[00:04:31.000 --> 00:04:36.000]  就是摩西的岳府在米顛
[00:04:36.000 --> 00:04:40.000]  有沒有人知道米顛去荷列山有多遠?
[00:04:40.000 --> 00:04:47.000]  米顛去荷列山是二十五公里
[00:04:47.000 --> 00:04:49.000]  三天的路程
[00:04:49.000 --> 00:04:52.000]  牧羊放羊
[00:04:52.000 --> 00:04:55.000]  你不會將羊帶三天
[00:04:55.000 --> 00:04:57.000]  這是第一個問題
[00:04:57.000 --> 00:04:59.000]  野外是不好的
[00:04:59.000 --> 00:05:01.000]  野外如果讀了原文
[00:05:01.000 --> 00:05:03.000]  first year 滅疤是什麼意思?
[00:05:03.000 --> 00:05:07.000]  曠野是很土的
[00:05:07.000 --> 00:05:09.000]  貧瘠的地方
[00:05:09.000 --> 00:05:15.000]  牧羊人不會將羊帶到貧瘠無草的地方
[00:05:15.000 --> 00:05:17.000]  是不可能的事
[00:05:17.000 --> 00:05:19.000]  第三個問題
[00:05:19.000 --> 00:05:21.000]  留意這個不是問題
[00:05:21.000 --> 00:05:23.000]  這是幫我四個
[00:05:23.000 --> 00:05:25.000]  有一日嶺旺
[00:05:25.000 --> 00:05:27.000]  其實原文就是一個字
[00:05:27.000 --> 00:05:29.000]  什麼叫嶺旺呢?
[00:05:29.000 --> 00:05:31.000]  Nahak這個字
[00:05:31.000 --> 00:05:33.000]  就是Dry Feces
[00:05:33.000 --> 00:05:36.000]  趕羊
[00:05:36.000 --> 00:05:38.000]  這個不是放羊的動作
[00:05:38.000 --> 00:05:43.000]  趕羊符合牧羊走三天
[00:05:43.000 --> 00:05:46.000]  我引了一節經文用這個字
[00:05:46.000 --> 00:05:49.000]  這節經文讓我們看到
[00:05:49.000 --> 00:05:53.000]  這節經文告訴我們摩西在做什麼
[00:05:53.000 --> 00:06:08.000]  亞國要返返返返返返返返返返返返返返返返返返返返返返返返返返返返返返返返返返
[00:06:08.000 --> 00:06:13.000]  這個字有兩個很重要的目的
[00:06:13.000 --> 00:06:19.000]  第一是你要有一個目的地去
[00:06:19.000 --> 00:06:24.000]  而不是放羊去那裏找草
[00:06:24.000 --> 00:06:27.000]  也不是為了去找草
