
[00:00:00.000 --> 00:00:07.200]  大家好 想不到可以見到面很開心
[00:00:07.200 --> 00:00:12.040]  我以為都是自言自語地說了
[00:00:12.040 --> 00:00:14.760]  然後在家裏看 想不到見到你的樣子
[00:00:14.760 --> 00:00:20.080]  特別是剛才唱歌 很難有一百人一起唱歌
[00:00:20.080 --> 00:00:25.000]  這個日子已經不是很多 應該大家很興奮
[00:00:25.000 --> 00:00:29.680]  這個題目是一個很好的報道會的題目
[00:00:29.680 --> 00:00:33.520]  我曾經想過不用這個名字
[00:00:33.520 --> 00:00:36.240]  這個夫妻相處情趣
[00:00:36.240 --> 00:00:37.840]  我打算用一個名字叫做什麼呢?
[00:00:37.840 --> 00:00:43.440]  叫做《當John Gottman遇到所羅門》
[00:00:43.440 --> 00:00:47.160]  這個名字其實我擔心你看到這個名字你不理會
[00:00:47.160 --> 00:00:48.880]  你不知道我說什麼
[00:00:48.880 --> 00:00:51.440]  但是如果你在美國
[00:00:51.440 --> 00:00:55.560]  或者你是一個很喜歡研究心理學的人
[00:00:55.560 --> 00:00:56.920]  你一定會很感動
[00:00:56.920 --> 00:01:00.640]  就是當John Gottman遇到所羅門
[00:01:00.640 --> 00:01:02.600]  發生什麼事呢?
[00:01:02.600 --> 00:01:06.280]  John Gottman是全世界應該來講排第一
[00:01:06.280 --> 00:01:08.560]  是講婚姻心理的
[00:01:08.560 --> 00:01:12.040]  因為他40多年的研究 他現在還沒死
[00:01:12.040 --> 00:01:13.720]  40多年的研究
[00:01:13.720 --> 00:01:17.920]  他拿到婚姻成功的四個原因
[00:01:17.920 --> 00:01:24.400]  所羅門整本聖經裏面是講愛情最多的人
[00:01:24.400 --> 00:01:29.800]  如果我用一個世界上最知名的人講結婚是什麼
[00:01:29.800 --> 00:01:35.040]  然後用聖經最多講愛情的人是怎麼講法
[00:01:35.040 --> 00:01:37.320]  我試試用50分鐘來比較一下
[00:01:37.320 --> 00:01:38.560]  你聽一下
[00:01:38.560 --> 00:01:41.760]  你就知道為什麼你要信耶穌
[00:01:41.760 --> 00:01:44.640]  所以今天如果你
[00:01:44.640 --> 00:01:45.880]  我們知道錄音
[00:01:45.880 --> 00:01:49.040]  你可以傳給你的微信的親友聽
[00:01:49.040 --> 00:01:51.280]  是知之有味的
