
[00:00:00.000 --> 00:00:09.420]  各位網友 大家好 今天繼續和大家討論主題
[00:00:09.420 --> 00:00:14.160]  我平時早上起床就會看書
[00:00:14.160 --> 00:00:17.800]  今天早上起床 通常我早上七點就起床
[00:00:17.800 --> 00:00:24.060]  看了新聞和書 看到一件很有意思的事
[00:00:24.060 --> 00:00:35.200]  想起可以豐富今天的講章 於是我就把它放在PowerPoint改動
[00:00:35.200 --> 00:00:41.620]  是十誡第二 我想今天來播會是講第二堂課
[00:00:41.620 --> 00:00:47.200]  我就打開了十誡第二 加進去就很開心了 成功了
[00:00:47.200 --> 00:00:54.500]  來到之後就把十誡第二交給負責人 我已經忘記了
[00:00:54.500 --> 00:00:59.800]  因為我以為是講十誡第二 神很奇妙 神感動 神傳導
[00:00:59.800 --> 00:01:07.400]  他問我 六月會不會繼續講 我就說完了
[00:01:07.400 --> 00:01:13.280]  我說十誡嘛 他說不是 我們是講十誡 十誡就說完了
[00:01:13.280 --> 00:01:21.120]  原來你知道這叫什麼嗎? 新的名詞叫Cinema Moment
[00:01:21.120 --> 00:01:28.460]  就是有些東西忘記了 記錯了 所以身邊人記錯了要寬恕他
[00:01:28.460 --> 00:01:34.340]  神很奇妙 感動了 神傳導問我 他說不是講十誡 講主禱文
[00:01:34.340 --> 00:01:40.220]  我說是 講主禱文 不是講十誡 嚇了我一跳
[00:01:40.220 --> 00:01:44.900]  我馬上拿出電腦 問負責電腦
[00:01:44.900 --> 00:01:52.060]  不是這個 是溫播的主禱文第二 不是十誡第二
[00:01:52.060 --> 00:01:56.680]  神很奇妙 神都保守了 否則到時就很尷尬了
[00:01:56.680 --> 00:02:02.460]  因為我連講章都印了十誡第二 我都沒有印
[00:02:02.460 --> 00:02:06.680]  我馬上叫弟兄快點幫我印主禱文第二
[00:02:06.680 --> 00:02:11.720]  因為我每次都有講章 沒有記性 所以我提講章
[00:02:11.720 --> 00:02:19.600]  今天和大家看主禱文是第二課 完了 一切都在主的恩典下面
[00:02:19.600 --> 00:02:23.380]  剛才讀過了 我們就不再讀
[00:02:23.380 --> 00:02:31.540]  第二就是主禱文有兩部分 第一部分歸上帝 第二部分歸人
[00:02:31.540 --> 00:02:38.460]  今天講人的部分 就是我們日用的飲食 今日賜給我們
[00:02:38.460 --> 00:02:43.380]  日用的飲食這個字在當時希臘文是沒有的
[00:02:43.380 --> 00:02:48.060]  在聖經很獨特的馬太福音用這個字
[00:02:48.060 --> 00:02:54.060]  我的意思是原來在當時社會上流行的希臘文
[00:02:54.060 --> 00:02:58.360]  包括阿彌索德 埃塔 他們都沒有用這個字
[00:02:58.360 --> 00:03:05.220]  這個字是很特別的 在聖經裏面 特別是耶穌當時講或用這個字
[00:03:05.220 --> 00:03:09.120]  所以這個字就有很特殊的意義了
[00:03:09.120 --> 00:03:16.580]  直到近代在古卷碎片裏面找到一個婦人
[00:03:16.580 --> 00:03:22.220]  在她的購物單上發現了這個字
[00:03:22.220 --> 00:03:33.900]  這個字是甚麼呢 就是提醒她不要忘記今天要買的東西
[00:03:33.900 --> 00:03:42.320]  今天要買的東西就是食物所需要的東西 一天的
[00:03:42.320 --> 00:03:52.720]  原來日用這個字表示了日常的 每一天要用的
[00:03:52.720 --> 00:03:54.220]  是這麼奇妙的
[00:03:54.220 --> 00:03:59.620]  耶穌用這個字 或馬太當時用這麼特別的字
[00:03:59.620 --> 00:04:02.720]  不是經常用的 原來它有意思的
[00:04:02.720 --> 00:04:08.920]  它的意思是祈求上帝賜給我們所需要的東西
[00:04:08.920 --> 00:04:15.220]  每一天不要忘記向上帝祈禱
[00:04:15.220 --> 00:04:18.720]  我們不為自己去預備很多東西
[00:04:18.720 --> 00:04:21.420]  因為預備太多東西的時候 我們就不用依靠上帝了
[00:04:21.420 --> 00:04:24.220]  我們生命生活已經搞定了
[00:04:24.220 --> 00:04:28.720]  而這個字就表示了我們要的是今天
[00:04:28.720 --> 00:04:34.220]  不要忘記我們每一天早上起來祈求
[00:04:34.220 --> 00:04:36.620]  就是將今天交給祂
[00:04:36.620 --> 00:04:40.220]  就是我們今天所需要的東西不單止是食物
[00:04:40.220 --> 00:04:49.220]  給十元的平安回來 讓我丈夫能夠完成工作回來
[00:04:49.220 --> 00:04:58.420]  然後就一起在餐桌旁邊享用晚餐
[00:04:58.420 --> 00:05:01.220]  這個就是今天我所求的
[00:05:01.220 --> 00:05:04.520]  所以這個禱告是一個很溫馨的祈禱
[00:05:04.520 --> 00:05:10.420]  也是每天去做的 很重複
[00:05:10.420 --> 00:05:14.420]  但是就是每一天體驗上帝的恩典
[00:05:14.420 --> 00:05:21.820]  飲食這個字很簡單 就是剪麵包 一般
[00:05:21.820 --> 00:05:29.620]  而在當時的人 因為他們的工作是只有一天的薪水
[00:05:29.620 --> 00:05:32.920]  所以沒有工作就沒有飯吃
[00:05:32.920 --> 00:05:34.920]  基本上是一天的
[00:05:34.920 --> 00:05:39.720]  而這個祈求就是每天祈禱就不貪心
[00:05:39.720 --> 00:05:43.720]  他不貪心的意思就是說不會去求過多
[00:05:43.720 --> 00:05:45.720]  每天去依靠上帝
[00:05:45.720 --> 00:05:48.720]  在今天的社會我們就很難想像
[00:05:48.720 --> 00:05:52.720]  因為我們今天是會為我們不單止今天明天
[00:05:52.720 --> 00:05:55.720]  耶穌說不要為明天憂慮
