
[00:00:00.000 --> 00:00:04.340]  今天讀的經文 剛才主席已經讀了
[00:00:04.340 --> 00:00:09.400]  題目也宣佈了 上善若主
[00:00:09.400 --> 00:00:14.440]  我們都相信 中國人至少
[00:00:14.440 --> 00:00:19.400]  自有人類群居的現象 生活以來
[00:00:19.400 --> 00:00:22.340]  我們都相信 差不多善有善報 惡有惡報
[00:00:22.340 --> 00:00:25.600]  若然未報 時辰未到 知曉不知 知曉不知
[00:00:25.600 --> 00:00:28.140]  我們都相信 差不多善有善報 惡有惡報
[00:00:28.140 --> 00:00:31.820]  若然未報 時辰未到 之類的說法
[00:00:31.820 --> 00:00:33.920]  因為人與人總是會有衝突的
[00:00:33.920 --> 00:00:37.440]  可能是不穿的衝突 無論如何
[00:00:37.440 --> 00:00:41.340]  有衝突就有人有虧損 有人可能有得益
[00:00:41.340 --> 00:00:46.260]  可能兩邊都虧損的 尤其是不穿的那種虧損
[00:00:46.260 --> 00:00:48.940]  應該是有賠償的 所以我們就
[00:00:48.940 --> 00:00:51.900]  會有善惡報應的看法 又或者我們說
[00:00:51.900 --> 00:00:54.440]  為善追樂 福有由歸
[00:00:54.440 --> 00:00:57.920]  要人捐錢的時候 通常都會說這些話
[00:00:57.920 --> 00:01:03.780]  甚至是 如果大家聽過這句話
[00:01:03.780 --> 00:01:08.560]  是明初的時候 一個大嶼達文學家
[00:01:08.560 --> 00:01:11.120]  方孝嶼 我中學都讀過他的文章
[00:01:11.120 --> 00:01:13.240]  他有一句名句 叫做
[00:01:13.240 --> 00:01:20.000]  「交善者 道德成 善心者 家裡寧
[00:01:20.000 --> 00:01:23.160]  為善者 子孫輕」
[00:01:23.160 --> 00:01:26.520]  不過如果你知道方孝嶼的下場的話
[00:01:26.520 --> 00:01:31.600]  你就知道這些說話 這些說法其實是不太足信的
[00:01:31.600 --> 00:01:36.580]  方孝嶼是被明成祖凌遲死的
[00:01:36.580 --> 00:01:40.000]  他不是豬狗族 很出名的 他是豬十族
[00:01:40.000 --> 00:01:44.240]  連朋友都受豬連的
[00:01:44.240 --> 00:01:48.080]  所以我們在這些位置
[00:01:48.080 --> 00:01:53.880]  我們自己都發覺會有些情況
[00:01:53.880 --> 00:01:57.400]  是搬我們的約定俗成
[00:01:57.400 --> 00:02:03.680]  我們的俗語 成語 都有很多例外的
[00:02:03.680 --> 00:02:06.720]  一般來說我們說做教化用
[00:02:06.720 --> 00:02:11.040]  但是中間如果要講清楚 都極其多例外
[00:02:11.040 --> 00:02:13.040]  而我們剛才讀那段經文
[00:02:13.040 --> 00:02:16.480]  讓我發覺其實連彼得自己
[00:02:16.480 --> 00:02:20.560]  都不相信一個嚴格的因果之說
[00:02:20.560 --> 00:02:26.840]  從二章 從前面其實我們已經看得很清楚
[00:02:26.840 --> 00:02:32.400]  從前面 還有剛才我們第三章
[00:02:32.400 --> 00:02:34.800]  第13、14節 第一句
[00:02:34.800 --> 00:02:38.000]  你們若是熱心 我仍然是用舊和合本
[00:02:38.000 --> 00:02:41.120]  不過在這裡和修版和舊和合本是差不多的
[00:02:41.120 --> 00:02:42.560]  所以OK的
[00:02:42.560 --> 00:02:45.320]  你們如果熱心行善 有誰害你們呢
[00:02:45.320 --> 00:02:48.240]  第13節的假設就是說
