
[00:00:00.000 --> 00:00:08.000]  阿摩斯書是十二仙之書的第三本
[00:00:08.000 --> 00:00:12.000]  一共是九章的書,146節的經文
[00:00:12.000 --> 00:00:18.000]  我們講過第一部十二仙之書是荷西亞書
[00:00:18.000 --> 00:00:23.000]  主題是救贖,是要人歸向尋求耶和華
[00:00:23.000 --> 00:00:29.000]  第二部十二仙之書是若兒書
[00:00:29.000 --> 00:00:35.000]  若兒書的主題是主耶和華的日子,是講到審判
[00:00:35.000 --> 00:00:39.000]  所以暫時的積分是一比一
[00:00:39.000 --> 00:00:45.000]  一個是講審判,一個是講救贖,一正一負
[00:00:45.000 --> 00:00:48.000]  阿摩斯書究竟又是講什麼呢?
[00:00:48.000 --> 00:00:52.000]  我們先看看阿摩斯書的背景
[00:00:52.000 --> 00:01:01.000]  阿摩斯書一章一節,說當猶大王烏西亞以色列王約瓦斯的兒子耶羅波安的時候
[00:01:01.000 --> 00:01:09.000]  大地震前的兩年,提哥亞的木人中的阿摩斯德勒士論以色列
[00:01:09.000 --> 00:01:14.000]  這裡所講的是一場大地震
[00:01:14.000 --> 00:01:18.000]  相信這個地震是非常驚天動地
[00:01:18.000 --> 00:01:25.000]  因為在250年後,撒加利亞先知在撒加利亞書14章五節
[00:01:25.000 --> 00:01:29.000]  仍然提到這場地震
[00:01:29.000 --> 00:01:35.000]  這個地震發生的年份可能在公元前762年
[00:01:35.000 --> 00:01:40.000]  就是北國以色列滅國之前的40年
[00:01:40.000 --> 00:01:50.000]  這個經文告訴我們,是在耶羅波安二世的時候
[00:01:50.000 --> 00:01:55.000]  這是耶羅波安二世,不是我們熟悉的耶羅波安
[00:01:55.000 --> 00:02:03.000]  賀西亞和阿摩斯兩個都是在耶羅波安二世的時候作先知
[00:02:03.000 --> 00:02:12.000]  應該是公元前760年,也是猶大王烏西亞在位的時候
[00:02:12.000 --> 00:02:18.000]  耶羅波安二世統治了41年
[00:02:18.000 --> 00:02:27.000]  他享受著他父親約瓦斯王國所得來的太平盛世所得來的安定
[00:02:27.000 --> 00:02:37.000]  他的疆土在西面去到尼巴倫,北面沿著地中海去到阿蘭國
[00:02:37.000 --> 00:02:41.000]  以色列甚至是控制著阿蘭國的大馬色
[00:02:41.000 --> 00:02:45.000]  東南面去到摩亞
[00:02:45.000 --> 00:02:49.000]  約瓦斯他父親也戰勝了猶大國
[00:02:49.000 --> 00:02:54.000]  所以在以色列國的四周都有所謂的緩衝國
[00:02:54.000 --> 00:02:59.000]  什麼叫緩衝國呢?說得好聽一點就是緩衝國
