
[00:00:00.000 --> 00:00:07.000]  「心言」是一本不容易了解的詩
[00:00:07.000 --> 00:00:11.000]  雖然聽起來一句句好像很簡單
[00:00:11.000 --> 00:00:15.000]  但是你要把它想得深入
[00:00:15.000 --> 00:00:19.000]  將當中背後的意思整頓
[00:00:19.000 --> 00:00:24.000]  是需要相當多的精神和心機
[00:00:24.000 --> 00:00:30.000]  我自己也用了不少功夫
[00:00:30.000 --> 00:00:42.000]  將「心言」一些特別有深度和複雜的問題整理出來
[00:00:42.000 --> 00:00:48.000]  大家一天工作,下班後來這裡研究
[00:00:48.000 --> 00:00:51.000]  也是付上一定的代價
[00:00:51.000 --> 00:00:54.000]  不容易
[00:00:54.000 --> 00:00:59.000]  不過我相信如果我們用心機來看聖經
[00:00:59.000 --> 00:01:05.000]  留心發掘,是不會浪費的
[00:01:05.000 --> 00:01:10.000]  我們上一堂還沒講完人生的智慧
[00:01:10.000 --> 00:01:14.000]  我們今天會用這個時間來完結
[00:01:14.000 --> 00:01:20.000]  然後我們會進入家庭的部分
[00:01:20.000 --> 00:01:29.000]  在家庭的部分,剛才多謝次兒已經說出了我本來預備的內容
[00:01:29.000 --> 00:01:31.000]  已經列出了
[00:01:31.000 --> 00:01:36.000]  我預備的時候不知道會說得這麼長
[00:01:36.000 --> 00:01:41.000]  所以今天如果說不完,也不會勉強說完
[00:01:41.000 --> 00:01:48.000]  很可能關於理想女性賢妻
[00:01:48.000 --> 00:01:54.000]  真言第31章,比較獨特的章
[00:01:54.000 --> 00:02:00.000]  未必能說完,按照我的估計
[00:02:00.000 --> 00:02:07.000]  說不完,我將會在將來的錄音帶裡加進去
[00:02:07.000 --> 00:02:14.000]  這樣就不會少了,希望大家可以理解
[00:02:14.000 --> 00:02:20.000]  我上一次也說過,有時候你太過匆忙反而吸收不到
[00:02:20.000 --> 00:02:22.000]  就變得很表面
[00:02:22.000 --> 00:02:29.000]  我情願大家吸收到其中一些很重要又可以改變你生命的部分
[00:02:29.000 --> 00:02:33.000]  比你每樣都知道好一點,我每樣都說了
[00:02:33.000 --> 00:02:38.000]  但好像只是一些很表面的資料
[00:02:38.000 --> 00:02:43.000]  忘記了當中要給我們的生命改變
