
[00:00:00.000 --> 00:00:08.000]  馬太福音第十三章第一節到第二十三節
[00:00:08.000 --> 00:00:11.000]  我不用問如果有聖經
[00:00:11.000 --> 00:00:14.000]  因為大家在手冊上都印了出來
[00:00:14.000 --> 00:00:19.000]  我們一起同聲讀出聖經上的神話
[00:00:19.000 --> 00:00:26.000]  當那一天耶穌從房子裡出來坐在海邊
[00:00:26.000 --> 00:00:30.000]  有許多人到他那裡聚集
[00:00:30.000 --> 00:00:35.000]  他只得上船坐下,眾人都站在岸上。
[00:00:35.000 --> 00:00:40.000]  他用比喻對他們講許多道理說:
[00:00:40.000 --> 00:00:43.000]  有一個殺種的出去殺種,
[00:00:43.000 --> 00:00:47.000]  殺的時候有落在路旁的,
[00:00:47.000 --> 00:00:49.000]  飛了來吃盡了,
[00:00:49.000 --> 00:00:53.000]  有落在土淺石頭上的,
[00:00:53.000 --> 00:00:56.000]  有記不深,發苗最快,
[00:00:56.000 --> 00:00:58.000]  日頭出來一曬,
[00:00:58.000 --> 00:01:02.000]  因為沒有根就枯乾了,
[00:01:02.000 --> 00:01:05.000]  有落在荊棘裡的,
[00:01:05.000 --> 00:01:09.000]  荊棘長起來把它擠住了,
[00:01:09.000 --> 00:01:12.000]  有落在好土裡的,
[00:01:12.000 --> 00:01:15.000]  就結實有一百倍的,
[00:01:15.000 --> 00:01:17.000]  有六十倍的,
[00:01:17.000 --> 00:01:19.000]  有三十倍的,
[00:01:19.000 --> 00:01:25.000]  有耳可聽的就應當聽第十節。
[00:01:25.000 --> 00:01:27.000]  到第十節,
[00:01:27.000 --> 00:01:31.000]  耶穌說:對眾人講話,
[00:01:31.000 --> 00:01:33.000]  為什麼用比喻呢?
[00:01:33.000 --> 00:01:35.000]  耶穌回答說:
[00:01:35.000 --> 00:01:39.000]  因為天國的奧秘只叫你們知道,
[00:01:39.000 --> 00:01:41.000]  不叫他們知道。
[00:01:41.000 --> 00:01:44.000]  還要加給他,
[00:01:44.000 --> 00:01:46.000]  叫他有餘,
[00:01:46.000 --> 00:01:51.000]  凡沒有的,連他所有的也要奪去。
[00:01:51.000 --> 00:01:54.000]  所以我用比喻對他們講,
[00:01:54.000 --> 00:01:57.000]  是因他們看也看不見,
[00:01:57.000 --> 00:01:59.000]  聽也聽不見,
[00:01:59.000 --> 00:02:01.000]  也不明白。
[00:02:01.000 --> 00:02:05.000]  在他們身上正應了以塞亞的預言說:
[00:02:05.000 --> 00:02:09.000]  你們聽是要聽見卻不明白,
[00:02:09.000 --> 00:02:12.000]  看是要看見卻不曉得。
[00:02:12.000 --> 00:02:16.000]  因為這百姓遊夢了心耳朵發沉,
[00:02:16.000 --> 00:02:18.000]  眼睛閉著,
[00:02:18.000 --> 00:02:21.000]  恐怕眼睛看見,耳朵聽見,
