
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 主來平安
[00:00:02.000 --> 00:00:06.000]  在四月份
[00:00:06.000 --> 00:00:08.000]  防疫的過程當中
[00:00:08.000 --> 00:00:12.000]  很坦白說 平安並非必然
[00:00:12.000 --> 00:00:16.000]  不過靠著主的恩典
[00:00:16.000 --> 00:00:18.000]  我們仍然可以
[00:00:18.000 --> 00:00:20.000]  懇切的祈禱仰望
[00:00:20.000 --> 00:00:22.000]  雖然星期日
[00:00:22.000 --> 00:00:24.000]  主日崇拜
[00:00:24.000 --> 00:00:26.000]  要暫時不可以
[00:00:26.000 --> 00:00:28.000]  發動
[00:00:28.000 --> 00:00:30.000]  教會進行
[00:00:30.000 --> 00:00:32.000]  不過感謝神
[00:00:32.000 --> 00:00:34.000]  我們可以在網上
[00:00:34.000 --> 00:00:36.000]  仍然有敬拜
[00:00:36.000 --> 00:00:38.000]  有一同禱告
[00:00:38.000 --> 00:00:40.000]  祈求
[00:00:40.000 --> 00:00:42.000]  又一同等候
[00:00:42.000 --> 00:00:44.000]  神的說話
[00:00:44.000 --> 00:00:46.000]  今天我們選擇的
[00:00:46.000 --> 00:00:48.000]  舊約經文
[00:00:48.000 --> 00:00:50.000]  是
[00:00:50.000 --> 00:00:52.000]  聖經當中
[00:00:52.000 --> 00:00:54.000]  記載三次
[00:00:54.000 --> 00:00:56.000]  聖經
[00:00:56.000 --> 00:00:58.000]  記載三次
[00:00:58.000 --> 00:01:00.000]  瘟疫的事件
[00:01:00.000 --> 00:01:02.000]  的第一次
[00:01:02.000 --> 00:01:04.000]  這三次
[00:01:04.000 --> 00:01:06.000]  的經文記載
[00:01:06.000 --> 00:01:08.000]  分別兩次在
[00:01:08.000 --> 00:01:10.000]  文素記
[00:01:10.000 --> 00:01:12.000]  第三次最詳細的一次
[00:01:12.000 --> 00:01:14.000]  是在薩姆爾記
[00:01:14.000 --> 00:01:16.000]  或者同樣
[00:01:16.000 --> 00:01:18.000]  出現在歷代志
[00:01:18.000 --> 00:01:20.000]  大衛
[00:01:20.000 --> 00:01:22.000]  數典百姓是同一件事
[00:01:22.000 --> 00:01:24.000]  兩個的記載
[00:01:24.000 --> 00:01:26.000]  文素記的兩段
[00:01:26.000 --> 00:01:28.000]  瘟疫的記載是
[00:01:28.000 --> 00:01:30.000]  兩件不同的事情
[00:01:30.000 --> 00:01:32.000]  一件發生在
[00:01:32.000 --> 00:01:34.000]  曠野
[00:01:34.000 --> 00:01:36.000]  在文素記的第十六章
[00:01:36.000 --> 00:01:38.000]  今天我們要一同思想
[00:01:38.000 --> 00:01:40.000]  的經文
[00:01:40.000 --> 00:01:42.000]  另外第二段
[00:01:42.000 --> 00:01:44.000]  卻是出現在文素記的
[00:01:44.000 --> 00:01:46.000]  後半
[00:01:46.000 --> 00:01:48.000]  二十五章巴力皮爾
[00:01:48.000 --> 00:01:50.000]  的事件
[00:01:50.000 --> 00:01:52.000]  這樣看
[00:01:52.000 --> 00:01:54.000]  大概你就可以
[00:01:54.000 --> 00:01:56.000]  首先明白到
[00:01:56.000 --> 00:01:58.000]  瘟疫
[00:01:58.000 --> 00:02:00.000]  並非
[00:02:00.000 --> 00:02:02.000]  聖經一個很
[00:02:02.000 --> 00:02:04.000]  重要的主題
[00:02:04.000 --> 00:02:06.000]  有時我們一遇到
[00:02:06.000 --> 00:02:08.000]  什麼事情
[00:02:08.000 --> 00:02:10.000]  我們就回到聖經裏面
[00:02:10.000 --> 00:02:12.000]  想找答案
[00:02:12.000 --> 00:02:14.000]  找安慰
[00:02:14.000 --> 00:02:16.000]  找應許
[00:02:16.000 --> 00:02:18.000]  找金句
[00:02:18.000 --> 00:02:20.000]  沒錯
[00:02:20.000 --> 00:02:22.000]  有這樣的
[00:02:22.000 --> 00:02:24.000]  衝動
[00:02:24.000 --> 00:02:26.000]  不出奇
[00:02:26.000 --> 00:02:28.000]  也不應該指責
[00:02:28.000 --> 00:02:30.000]  不對,不應該這樣做
[00:02:30.000 --> 00:02:32.000]  不過我們都明白
[00:02:32.000 --> 00:02:34.000]  臨急抱佛腳
[00:02:34.000 --> 00:02:36.000]  這句說話
[00:02:36.000 --> 00:02:38.000]  聖經是神的話
[00:02:38.000 --> 00:02:40.000]  平日藏在心中
[00:02:40.000 --> 00:02:42.000]  去到
[00:02:42.000 --> 00:02:44.000]  急難的時候
[00:02:44.000 --> 00:02:46.000]  需要的時候
[00:02:46.000 --> 00:02:48.000]  我們有另外一句說話
[00:02:48.000 --> 00:02:50.000]  平日放行少
[00:02:50.000 --> 00:02:52.000]  真的,究竟
[00:02:52.000 --> 00:02:54.000]  聖經裏面哪一段的記載
[00:02:54.000 --> 00:02:56.000]  能夠對我說話呢
[00:02:56.000 --> 00:02:58.000]  聖靈是可以
[00:02:58.000 --> 00:03:00.000]  在我們的心中
[00:03:00.000 --> 00:03:02.000]  用
[00:03:02.000 --> 00:03:04.000]  我們平日
[00:03:04.000 --> 00:03:06.000]  所收藏的
[00:03:06.000 --> 00:03:08.000]  經文對我們說話
[00:03:08.000 --> 00:03:10.000]  所以
[00:03:10.000 --> 00:03:12.000]  當我們讀聖經的時候
[00:03:12.000 --> 00:03:14.000]  我們有這個衝動
